,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
10,"""Great place if youre lucky""",I worked at Apple full-time,"amazing benefits
great discounts
amazing benefits
great work environment (if youre lucky)
feedback culture","Long shifts
Seasonal hours cut
favoritism enabled environment for promotions
rude customers and their ineptness",5.0,5.0,3.0,5.0,5.0
11,"""Salary Review""",I have been working at Apple full-time,Great benefits and room for development,Erratic schedule and tough work life balance,3.0,5.0,5.0,5.0,4.0
12,"""Great company to work for""",I have been working at Apple ,Great environment. Professionals from all over the world designing the best products.,Can’t find any cons really.,5.0,5.0,4.0,5.0,4.0
13,"""Strong diversity of experience""",I have been working at Apple full-time for less than a year,Strong diversity of experience across finance teams,Upward mobility can be difficult at lower levels,,,,,
14,"""Great Company""",I have been working at Apple part-time for more than a year,"-good pay
-amazing benefits
-best management I've ever worked with","-retail hours
-schedule is not super flexible",3.0,5.0,5.0,5.0,5.0
15,"""High Highs and Low Lows""",I worked at Apple full-time for more than a year,"-Good pay BUT not consistent across all at the same job title/tenure
-Benefits available for full and part time employees
-Generous stock grants (RSUs)
-Good maternity/paternity leave policy
-I have been told the health insurance is great, although I did not personally use it so I can't say firsthand. 

Overall, Apple Retail has some high highs and low lows. I tried to document my experience as well as possible, and honestly ended up writing much more than I had originally intended. I do want to add the disclaimer that although there is a big block of text in the ""CONS"" section, I did enjoy working at Apple. I liked my job there, paid me well and I got valuable experience. Was it something I'd do as a career? No. Was it a good stepping stone in my professional development? Absolutely. I write this feedback not to slander Apple but to give a genuine account of my experience, prepare others who are considering joining Apple, and hopefully help Apple Retail improve for the sake of all Apple employees. 

At Apple, I had the privilege of meeting people with all kinds of different backgrounds, education levels, and experiences. Even now that I have moved on, several of my mentors at Apple continue to push me to improve. I can genuinely say that Apple was the most diverse company I have ever worked for, and yet it wasn’t a gimmick or to fill a quota. It felt like you could be your genuine self and I would say that I felt very welcome there. 

I experienced a tremendous amount of personal and professional growth during my time there. If you had asked me before I started, I would never have described myself as a leader and yet by the end of my time at Apple, I had led initiatives, coached/mentored my peers, and established myself as a leader, resource, and mentor. I learned how to talk about myself and the work I’m doing in a concise way (STAR / SBO). I learned how to collaborate with people with different work styles from my own, how to provide feedback in different ways based on how the person best receives it, and I learned how to challenge and be challenged without damaging my relationship with my colleagues. I learned a lot about my own worth as an employee and how to advocate for myself. I learned to seek to understand, to approach mistakes as opportunity for shared growth rather than an opportunity to place blame, and how to be empathetic even when it is easy not to be. 

Some of the best managers I’ve ever had were from Apple. These managers were not afraid to jump into the fray when we were at our busiest. They empowered my colleagues and I to make the call in a tough situation and backed us up on whatever we felt was best. They trusted us to do our jobs well and always sought to understand before giving feedback or calling out problems if they arose. They went to bat for us against managers who were quick to dismiss our talents.","For context, I was one of the top repair technicians and consistently rated within the top 3 in the store for repair quality and timeliness from the time I received my ACiT (Apple Certified iPhone Technician) certification. I passed my ACMT (Apple Certified Mac Technician) certification with a 97% (68 questions correct out of 70). In addition, I have prior experience building computers and have a solid grasp on how computers work / what hardware components do. 

No repercussions for calling off so it wasn’t uncommon for 5-6 people to call off a day.

At the Genius Bar, they consistently prioritized personality types over technical skill when considering candidates. Storewide, great candidates were consistently passed over in favor of more vocal candidates. It was also not uncommon for managers to play favorites, and some managers would actually do their best to undermine your development if they didn’t like you.

I believe that while skills can be taught, attitude is a key point of your personality and is not so easily changed. However, for this model of hiring the person, not the skill, there needs to be sufficient training to get the person up to a functional standpoint. I would say Apple has done a lackluster job when it comes to technician training the past few years. Genius (Mac technician) training consists of two weeks off the sales floor doing self-guided online trainings (few of which that actually apply to the service being provided), a certification assessment, and a week of repair shadowing. After that point, the new Genius can do their first repair ON A CUSTOMER'S MACHINE. Customers pay a lot of money for the products and a lot of money for repairs. It is absolutely unacceptable that the first computer a technician takes apart is a paying customer's machine. In addition, nearly all of the other Geniuses had no computer experience outside the Genius Bar. The troubleshooting process for most of my former peers is just pattern matching reported symptoms with support guides and regurgitating solutions. 

Despite being the youngest Genius on my team and the least tenured in the role, I regularly had to fix the mistakes of my peers. Some examples of repair mistakes include putting screws in the wrong location, not plugging in antenna / mic / camera / battery connectors before marking a repair as ready for customer pickup, not taking security precautions when dealing with batteries, leaving ESD sensitive components sitting out uncovered for hours at a time, bending a pin on a logic board, and more. I also had to reset customer expectations after one of my peers advised a customer that her new iMac wouldn’t run any faster than her 2013 iMac because they both had HDDs. The issue the customer was experiencing was no more related to the HDD than Java is related to Javascript (read: not related at all). In the end, I was able to fix the issue but the customer had clearly lost faith in the Genius Bar and honestly, I can’t blame her for that. 

The biggest issue though, in my opinion, was the inconsistency in management. The managers were either amazing or the worst, no in between. See my experience with the good ones in the “Pros” section. The bad managers, though, were awful. Micromanagement, lack of trust, and blatant favoritism were common. These managers clearly prioritized the customer in the store rather than the customer with a device awaiting repair. Mac repair consisted of 1-3 technicians (normally 1 on weekdays, 2 on fri/sat, 3 for special occasions), occurred only once per day for 2-3 hours maximum (normally 2), and yet at least one Mac technician was pulled to the floor early on a nearly daily basis causing a never-ending cycle of late repairs and angry customers. 

The store leader was the worst, in my opinion. They had no knowledge of Genius Bar processes yet frequently made (impossible) requests of the technicians. Example: a customer came in with a device with no accessible device identifier (missing SIM tray = no IMEI, would not turn on so no S/N, and the serial reader tool didn’t retrieve anything from the phone). The customer was advised that ideally the SIM tray would be needed or at minimum a proof of purchase to service the device as the internal ticketing system was tied to the device identifier (SN) and there was no way to create a repair / replacement for the device without it, even as a customer service exception. The customer started to escalate and get visibly upset, so the store leader got involved and after being informed of the situation, advised the technician to just replace the phone (a common exception when a customer is escalated). Except that there was no possible way to systematically replace the phone. Even if the technician took a phone off the shelf and gave it to the customer, there would still be a litany of issues preventing the customer from using the replacement. This is only one of countless examples.",5.0,3.0,3.0,5.0,3.0
16,"""Cool""",I worked at Apple part-time for less than a year,"Lunch break, Nice People, Fun","No breaks, Long shifts, Hot",5.0,5.0,5.0,5.0,5.0
17,"""Apple in Elk Grove""",I worked at Apple full-time for more than 10 years,"Busy, well compensated, great benefits",Can be a clicky environment  without a lot if recognition,5.0,4.0,3.0,5.0,4.0
18,"""The apple""",I have been working at Apple full-time for more than a year,"Great benefits, great pay, great people to be around",Things change quick and often,5.0,5.0,5.0,5.0,5.0
19,"""apple""",I have been working at Apple part-time for more than a year,good pay and benefits good,work can be stressful sometimes,2.0,3.0,2.0,5.0,2.0
20,"""Good company for a few years then time to move on""",I worked at Apple full-time,For initial employment the excitement alone makes it fun,After a few years opportunities for advancement are hard to come by,3.0,3.0,3.0,5.0,2.0
21,"""Very good""",I have been working at Apple part-time for less than a year,Personal is always nice to you,Sometimes a lot of pressure,4.0,4.0,4.0,4.0,4.0
22,"""Pretty cool place""",I have been working at Apple part-time for less than a year,Pretty cool place to work at,Not to bad actually If you are positive,4.0,5.0,3.0,2.0,5.0
23,"""Inspirational company, fantastic benefits""",I worked at Apple full-time for more than a year,"coworkers, benefits. what you work on","the bureaucracy, around equipment purchases, hiring",4.0,4.0,5.0,5.0,3.0
24,"""Great""",I have been working at Apple part-time for more than a year,"Benefits, Flexibility, People, Wage, Learning","Growth opportunities, Accommodation, Location, open positions",5.0,4.0,4.0,5.0,5.0
25,"""Great!""",I worked at Apple part-time,"Good pay, excellent coworkers, good food.",Can’t use android and Samsung devices at work.,4.0,3.0,4.0,4.0,4.0
26,"""Good Job Good Team""",I worked at Apple part-time for less than a year,"Fun environment and very Fast Paced
Good pay
Fun team",Not enough hours at times,5.0,5.0,1.0,5.0,5.0
27,"""Amazing""",I have been working at Apple full-time for more than 3 years,"Atmosphere, culture, career growth is excellent",None that I can think of,5.0,5.0,5.0,5.0,5.0
28,"""Good job, good company.""",I have been working at Apple full-time for more than 3 years,"Training, support, pay, management","Entitled customers, stack ranked scheduling (I don’t have a better option though)",3.0,5.0,5.0,5.0,5.0
29,"""Unmatched""",I worked at Apple ,Unmatched to be honest. Excellent work culture that really truly does encourage individuality.,Retail environment can be VERY stressful. Especially working full time. I would recommend rotating positions year over year if you are looking to stay in store for a while.,5.0,5.0,5.0,5.0,5.0
30,"""Great place to be""",I have been working at Apple ,"Management really cares about you
Flexible schedule",Closing shifts are not fun to work,5.0,5.0,5.0,5.0,5.0
31,"""Technical Recruiter""",I worked at Apple full-time for more than 3 years,Amazing place to work and network,Typical corporate things like CYA,3.0,5.0,3.0,5.0,5.0
32,"""Amazing company""",I have been working at Apple part-time for less than a year,Benefits are exceedingly exceptional. Environment is flexible if you are in college program.,Can be a bit repetitive at times.,4.0,5.0,4.0,5.0,5.0
33,"""Learned a lot""",I worked at Apple full-time for more than 3 years,Learn a lot and meet lots of interesting people,"Managers play favorites at times, too many hurdles for promotions at times",4.0,5.0,4.0,4.0,4.0
34,"""Great Place to Grow""",I have been working at Apple full-time for more than 5 years,Apple is a great place to grow and develop as a worker in the 21st century. A lot of the skills are transferable to other business’ and the fast pace environment prepares you for any other work environment.,"Work life balance is difficult at a retail level. This is just the nature of the retail beast, so be aware when beginning to work. The other con is that there isn’t a quarterly bonus or profit sharing structure for full time employees.",2.0,4.0,4.0,3.0,4.0
35,"""Stable Job""",I have been working at Apple full-time for more than 10 years,"Competitive benefit package, discounts, flexible schedule.","Lack of transparency re: salaries, hierarchal structure.",3.0,3.0,2.0,3.0,3.0
36,"""It is amazing!""",I have been working at Apple part-time,"Fun, welcoming, cares for employees, competitive pay",Growth.. may take time to move up if wanting to,,,,,
37,"""Not Bad""",I worked at Apple full-time,"Work schedule flexible, Great co workers","Benefits, Micromanaging, Sales, No raise",,,,,
38,"""Great company, especially if you live near Campus""",I worked at Apple full-time for more than 3 years,Great benefits and pay; Employee discount,Remote position makes it hard to grow within company but if you live near the campus you can grow easily,5.0,5.0,5.0,4.0,4.0
39,"""Review""",I have been working at Apple part-time,Scheduling Is very flexible here,Work life balance  is not good,,,5.0,,
40,"""Great Company""",I worked at Apple full-time for less than a year,Great flexibility in schedule. Cafe Macs for lunch. Discounts are pretty good,Can't really think of any.,5.0,5.0,3.0,5.0,5.0
41,"""OK for students""",I worked at Apple part-time for less than a year,"Decent benefits, exposure to apple products","Low pay, very competitiveto get in for what it actually is",3.0,4.0,4.0,3.0,3.0
42,"""Amazing opportunity for growing""",I have been working at Apple part-time for more than a year,"Benefits, Educational opportunities, recognitions, Amazing co-workers","Work life balance, metrics focused",5.0,5.0,5.0,5.0,5.0
43,"""Good reliable company, good people.""",I worked at Apple ,No stupid people. Screened well. Good benefits. Never delay for the payment.,"New technologies keep coming, sometimes with errors. Many people will be confused with its very unique programming culture when you support those app developers .",5.0,5.0,5.0,5.0,5.0
44,"""Fantastic Benefits; Incredibly Difficult to Get Promoted""",I have been working at Apple full-time for more than 8 years,"Benefits are amazing. 
Pay is incredible but if you do not get promoted, you will eventually pay cap.","Pay cap is frustrating due to lack of open positions for advancement.
Consistently mishandles employee development into management. 
Hires from outside for some management positions",5.0,5.0,3.0,5.0,3.0
45,"""I loved my time working at Apple""",I worked at Apple full-time for more than 3 years,"-Great benefits
-Pay was fair for the work
-Flexible hours",The downside to the type of work is also the benefit of flexible hours - with the lack of a stable schedule it's hard to have a stable family life.,3.0,5.0,5.0,5.0,4.0
46,"""Amazing company""",I worked at Apple full-time for more than 3 years,"Great benefits, great corporate culture and opportunities for promotions",Management should have more diversity and inclusion. Not many hispanics in the workplace.,4.0,3.0,4.0,5.0,3.0
47,"""great experience""",I worked at Apple part-time,"friendly environment, supportive team, fun place to work","work from home, short breaks",4.0,5.0,5.0,5.0,5.0
48,"""A Great Job""",I have been working at Apple full-time,While yes they look at results it's very lax in all the right ways,"None really, I really love it here",4.0,5.0,4.0,5.0,5.0
49,"""Incredible place to work!""",I have been working at Apple part-time for less than a year,Apple's workplace culture is pretty incredible!,Meeting some of the metrics can often be challenging,5.0,5.0,5.0,5.0,5.0
50,"""Awesome job, great benefits""",I have been working at Apple part-time for more than a year,"Direct connection with corporate leaders.  401k, Stock options, discounts, health benefits.",Remote position with little in-person interaction with coworkers.,,,,,
51,"""Great job awesome benefits""",I worked at Apple full-time for more than 5 years,Benefits were wonderful. Pay was ok but could have been a little better. Work life balance good.,"Management not always the best .
Very entitled customers",4.0,4.0,3.0,4.0,2.0
52,"""Senior Advisor""",I have been working at Apple full-time,"Great benefits
Good pay
Supportive management (varies)",Few opportunities for upward movement,,,,,
53,"""Design Team""",I have been working at Apple full-time for more than a year,"Safe, Good Salary, Good Bonus, Good RSU,","Insane amount of work, Lot of work",5.0,5.0,5.0,5.0,5.0
54,"""Great Company!""",I worked at Apple full-time for more than 3 years,"Wonderful People, Caring Company, Amazing Thinkers","Competitive Environment, Hard Upward Mobility",5.0,5.0,2.0,3.0,4.0
55,"""good""",I have been working at Apple full-time for less than a year,nice environment best wost must,low salary high  medium  cons,1.0,1.0,1.0,1.0,2.0
56,"""Good People, Hard to grow""",I have been working at Apple part-time for less than a year,The people at my store were great and it was a pleasure to work with them benefits are awesome even for part time.,Operations can get stressful (every area of the store can get stressful) especially during holiday. There isn’t much room to grow in the short term. You might be there for 2 years before you can get a full time role which is kinda crazy.,4.0,5.0,2.0,5.0,4.0
57,"""good""",I have been working at Apple full-time,"high quality with good
 performance",bad performance with low  efficiency,,,,,
58,"""Good""",I have been working at Apple full-time for more than 3 years,"Pay is pretty good, not bad",It's retail. Don't fool yourself to think that this is a tech job,4.0,4.0,4.0,4.0,4.0
59,"""Best company I have worked for""",I have been working at Apple part-time for more than a year,"Great company culture, they truly do value their employees and try to make it known. Best work environment I have worked in. There is opportunity to grow, learn, and move up as long as you are committed to that goal.","Even as a part time employee, work-life balance is hard to achieve for some reason. It can very easily and quickly begin to feel like you are there all day every day.",2.0,5.0,5.0,5.0,4.0
60,"""Bad Hours, good culture""",I worked at Apple full-time for less than a year,Culture and training are great,hours and flexibility.  retail managers are hit or miss,3.0,4.0,3.0,2.0,2.0
61,"""Great work environment to connect and grow.""",I worked at Apple part-time for more than 5 years,I was part of a great team of people who were passionate about their jobs and supporting eachother. Apple is also an exciting environment where you're always learning about new technology and how it can improve your life and others.,"With how large the company is, you're bound to run into some bureaucracy.",4.0,5.0,5.0,5.0,5.0
62,"""Cool Job""",I have been working at Apple part-time for more than a year,"Benefits, Stock, 401k plus more",The mangers play favoritisms sometimes and micromanage,4.0,4.0,5.0,5.0,2.0
63,"""Great Company Take wahat you will""",I have been working at Apple full-time for more than 8 years,"Soft Skill refinement, Opportunity, self development","Political, Brocentric promotions, emotion driven",4.0,4.0,4.0,4.0,4.0
64,"""Apple review""",I have been working at Apple full-time,Good place to work and grow,I hate the job i have,,,,,
65,"""Great Experience!""",I worked at Apple full-time for more than 3 years,"The benefits are great, and they are flexible with scheduling needs.",Very high paced and high stress environment.,2.0,5.0,3.0,3.0,4.0
66,"""Incredible place to work""",I worked at Apple part-time for more than 3 years,"Every store is different, but the people you work with are incredibly kind, creative, and supportive. Working at Apple is truly a unique experience.","Because there is decent competition within the stores, opportunities for growth are highly politicized and can be difficult to come by if you aren’t playing to your managers particular political motivations.",,,,,
67,"""Great Environment, Still Retail""",I have been working at Apple part-time for less than a year,"Great people to work with who’re happy to help you grow 
Nice pay considering it’s a retail position 
Good company to have on resume","Hours are very inconsistent when it’s not holiday season
Full time is very hard to achieve since almost everybody wants it
REALLY entitled customers can cause a headache",4.0,5.0,4.0,5.0,5.0
68,"""Good first job""",I worked at Apple part-time for less than a year,The pay is nice and the part time hours are nice,Hours can be difficult for a student and the job is very stressful and training can lack a lot of important information needed on the job.,4.0,5.0,5.0,5.0,4.0
69,"""Good first job""",I worked at Apple part-time for less than a year,The pay is nice and the part time hours are nice,Hours can be difficult for a student and the job is very stressful and training can lack a lot of important information needed on the job.,4.0,5.0,5.0,5.0,4.0
70,"""Great place to make a career""",I have been working at Apple full-time for more than a year,"Benefits, Culture, Training, Personal Growth, PTO!!",Pay depending on position. But honestly the starting wages are still good compared to other entry level positions.,3.0,5.0,4.0,4.0,5.0
71,"""Apple Core Values have changed in recent years""",I worked at Apple full-time for more than 10 years,"The people benefits (health, 401k, stock options, etc.) are still great.","Apple no longer values its people.  Tenured employees who once bled Apple are easily expendable when their career goals differ from what they are told.   Thinking different was once embraced, and yet now new ideas are silenced and  even reprimanded quickly and quietly.",3.0,2.0,2.0,5.0,1.0
72,"""Enriching lives through technologies.""",I worked at Apple full-time for more than 10 years,"Great gadgets, lively culture, empowering, great benefits, purposeful, fulfilled.",Retail management mentally can creeps in depends on who's in charge.  Falsely manipulated culture and higher management abuses are real and displayed.,4.0,4.0,4.0,5.0,1.0
73,"""Apple is a great place to work""",I worked at Apple part-time for less than a year,"friendly and supportive team, great benefits, great company culture",hours were all on the weekends,5.0,5.0,5.0,5.0,5.0
74,"""Apple Technical Expert""",I have been working at Apple part-time for more than a year,Good hours and nice people to work with,Angry customers can be very frustrating,5.0,5.0,3.0,4.0,2.0
75,"""Great""",I have been working at Apple part-time for more than a year,"Benefits, 401k, stocks, discounts, EPP",Long days standing on feet,3.0,5.0,5.0,5.0,5.0
76,"""Great job""",I have been working at Apple full-time for more than a year,Great benefits and stock options,Big teams and management seems to prioritize political relationships over talent when it comes to promotions,4.0,5.0,5.0,5.0,3.0
77,"""I loved it""",I worked at Apple part-time for more than a year,I loved most of my coworkers and it was like one giant family. The pay was definitely competitive and the environment there was amazing.,"Some people were a little overzealous and there were some subtle politics, but almost every work environment will have that. The only other con is that you have to deal with certain customers who are emotionally elevated.",4.0,5.0,4.0,5.0,5.0
78,"""Overall great college job""",I worked at Apple part-time for more than a year,"Great flexibility, amazing benefits, and overall a chill work environment",A type personalities tend to clash a lot and management pursues a lot of goals even though we don’t get paid more for it.,,,4.0,,
79,"""Lots of work, great benefits""",I worked at Apple full-time for more than a year,"Benefits, vacation, salary, interesting work","work hours,  not much positive reinforcement",1.0,5.0,5.0,5.0,4.0
80,"""Specialist""",I worked at Apple part-time,"great pay, learned a lot",intense work environment but good overall,,,,,
81,"""Head of Customer Insights and Data Sciences""",I have been working at Apple full-time for more than 10 years,"Start up culture, Great people",I see no particular cons,5.0,5.0,4.0,5.0,4.0
82,"""Great place to have fun""",I have been working at Apple full-time for less than a year,Great benefits and work environment,Pay isn't as much as I would like it to be.,4.0,5.0,3.0,4.0,5.0
83,"""Impactful place to work""",I have been working at Apple full-time for more than 10 years,Your work is deployed worldwide and it can happen faster than you think. Being detail-oriented is crucial to your performance and happiness here.,"The culture varies significantly among teams. Some teams support employees beautifully, while others do not.",4.0,5.0,4.0,5.0,5.0
84,"""Okay""",I worked at Apple full-time,Perks are pretty good 👍,Work life balance is okay,,,,,
85,"""Apple Tech Specialist""",I have been working at Apple part-time for more than 3 years,"Great work environment
Pro employee
Avid concentration on consumer and employee happiness
Good benefits for part-time and full time
Helps with education reimbursement
Stock Benefits","Growth can be difficult in larger environments
Depending on you're management there may be issues with growth as well",5.0,5.0,4.0,4.0,3.0
86,"""Definitely work here!""",I have been working at Apple full-time for more than 3 years,"Lots of support, both from colleagues and management",Difficult to get out of retail into corporate,5.0,5.0,2.0,3.0,5.0
87,"""Great stepping stone""",I worked at Apple full-time for more than a year,"Excellent training 
Priceless interpersonal skills taught here
Great discounts","Hours because it is retail
Management is stretched thin and busy",2.0,5.0,5.0,4.0,2.0
88,"""An inclusive company with great growth potential""",I worked at Apple full-time for more than 5 years,"-Great development
-Great Benefits
-Great People
-Company cares about local communities and often does volunteer work as stores and teams.",Retail - otherwise can't complain.,,,,,
89,"""Great place to work at""",I have been working at Apple part-time,"flexible schedules
great pay 
awesome benefits",requirements on how to do job can change pretty often,5.0,5.0,4.0,5.0,4.0
90,"""It’s what you make of it""",I worked at Apple ,"The biggest pro about working with Apple is the benefits.
Health insurance is top tier with nominal premiums.
RSUs, ESPP, EPP+, discounts on cell services, discounts with retailers and lots of other perks. 
Gym reimbursement if you don’t work on any of the campuses, bike reimbursement, or pays for commuter services.
The company is there for their employees during natural disasters, etc. 
Free legal advice if you’re going through matters outside of work.
Free therapy sessions if needed throughout the year.  
So many free or highly discounted services and products provided to us. 

In addition, the amount of opportunity for growth to corporate is unparalleled. If you leverage a career experience or mentor ship well enough, there’s no way you won’t open doors to corporate. (from a retail level)","At the retail level, it’s turned into a “good old boy” hierarchy. Market team leaders being brought in from clothing or big box retailers, hiring all their old buddies as lower leadership. It’s how our retail culture is being lost. Positive intent only thrives within employees that are considered “legacy” thinkers.  And “legacy” thinkers don’t get promoted. Work/Life balance does not exist within Apple Retail, even for part timers. 

At the corporate level, it’s a scramble to fill positions. So we’ve hired so many people that aren’t top tier talent anymore. Friends hiring friends for the sake of friendship, instead of how they can actually perform.  Pay is also not as competitive as other companies in SF/Bay Area/San Jose. 

They don’t like hiring from within for management positions.  There are some really great employees and people that I worked with that should’ve been management a long time ago, but they’re quickly passed over.",1.0,3.0,3.0,5.0,1.0
91,"""Great place to work""",I have been working at Apple full-time for more than 5 years,"Benefits package, 401K, stocks, medical insurance","Retail hours, work iLife balance is not as good as it could be,",3.0,4.0,5.0,5.0,5.0
92,"""Apple Rocks""",I have been working at Apple full-time for more than a year,"Amazing, smart, ultra driven people every place you look.  A sea of brilliance where the magic happens.  Everyone here is hungry and wants to do great work.  We all have our common mission and do what we can to accomplish that.  The campus is beautiful and we are fortunate to have shuttles and busses with getting us from one building to another in addition to serving us during commute times.



A few local gyms with membership that is more than affordable!  We have a few medical centers for Apple employees.  There is an optometry, dentist, acupuncturist and massage therapists.  Apple is thoughtful about the benefits and continues to evaluate them every year to make sure that the employees are taken care of.  

Very very very generous with the RSUs and refreshers.  I hear about numerous companies in the valley and see a big difference.","Not enough vacation time, unfortunately.  :-(",4.0,5.0,5.0,5.0,4.0
93,"""Decent job""",I have been working at Apple full-time for more than a year,Great team and benefits,"Tough at times, as in any other retail",,,,,
94,"""Great pay, smart people, high standards, but poor work-life balance, poor management, and lack of healthy culture""",I have been working at Apple ,"Highest paying employer in hardware by far. Mostly consists of smart and hardworking people, with very high standards for quality all around, which motivate you to work harder, more thoroughly, and think deeper than I ever have before. Apple also pushes you to learn how to be bold, demand highest quality in service and engineering work from coworkers and vendors, it promotes a culture of candid, instant feedback, and accountability. Working at Apple is fierce, can be militant like at times, but it will toughen you up and teach you a work ethic and approach of rigor likely unparalleled.","The demands for work load and quality are so high it can be extremely exhausting, stressful, and bad on your health and life outside of work. You are generally expect to not have a life outside of work during the work week. In some hardware groups you will be working until 10p-2am every night.",1.0,1.0,4.0,5.0,2.0
95,"""Great company""",I have been working at Apple full-time for more than 5 years,"Fast pace. Plenty of challenges for personal growth. Learn tons of transferable people skills. The people you work with are incredible. Apple hires brilliant, ambitious, innovative people, that put their people first. No other environment like it.","Not a huge amount of upward mobility within the retail environment. 
Cons are going to be based upon your own perspective and what you make of your own development and experience. You’ll have a great experience if you have a positive attitude 100% of the time.",,,,,
96,"""Not Bad for Retail""",I worked at Apple full-time for more than a year,High-quality people and in-house training. Pretty good starting wages without having any experience. Pretty great benefits package as well. Awesome health insurance and new-parent leave.,"Run very lean and efficient, so team members are stretched to the max. At the time, the store I worked at didn't promote often from within. Instead, many managers were hired from other retail companies when there were qualified internal candidates. Team members tend to be emotionally soft and seek ""safe spaces"". ""Diversity"" only seems to count if you agree with the company's political stances. To express a diverse opinion is to practically ostracize yourself.",4.0,4.0,3.0,5.0,3.0
97,"""Business Pro - Apple Retail""",I have been working at Apple full-time for more than 5 years,"Apple Retail gives you the ability to pursue or experience many different jobs and roles.  Also, if you're willing to move, you can get a job in any county that has a retail location. Great ""family"" aspect where you can make life-long friends. Apple Retail is a great starter job to fine tune certain competencies and areas of your personal and professional life.  Easy work environment with a large support system.","Retail work environment, which results in dealing with the public in a large capacity. Intense feeling of being treated like a child. No relocation packages for retail employees who wish to transfer.  High level of internal politics.  A ""blanket pay scale"" that doesn't take into account the specific duties and responsibilities of each job title or employee. No work-from-home benefits or free lunches.  No annual bonus for retail employees and a non-commission based salary.  Lack of incentives to maintain a high level of performance. Cult-like work environment - constant need to ""drink the cool-aid."" Specific roles within retail do not transfer well to other industries.",3.0,5.0,3.0,2.0,4.0
98,"""Rosy appearance declined as the company grew""",I worked at Apple full-time for more than 8 years,"Co-workers, discounts, flexibility in schedule","Loss of culture over the years as the company grew, definitely helps to be ""in"" with the leaders if you want growth.",4.0,3.0,3.0,4.0,4.0
99,"""Depends on Location""",I worked at Apple part-time for more than a year,Opportunity to learn a lot about tech,"You are a number, not a person.",4.0,3.0,3.0,5.0,2.0
