,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
24,"""Deby heavy and concentrating on being all things to all people""",I worked at Dell Technologies full-time for more than 8 years,BIG Company with huge portfolio,BIG Company with a huge portfolio focused soley on a low growth hardware business to reduce debt,2.0,2.0,2.0,1.0,1.0
25,"""Enjoyed my time at Dell""",I worked at Dell Technologies full-time,"Work/life balance, ability to work from home.",At times it seemed that there wasn't a clear picture of where people would be best utilized.,5.0,5.0,4.0,3.0,4.0
26,"""IT TECH SUPPORT""",I worked at Dell Technologies full-time for more than a year,Good Atmosphere and Good Comradery.,Assignment ended with No Notice.,5.0,5.0,4.0,4.0,4.0
27,"""Great!""",I have been working at Dell Technologies full-time,Get to learn lot of things,Not many software projects around,5.0,5.0,5.0,3.0,4.0
28,"""Great Company and Culture for such a large company""",I worked at Dell Technologies full-time for more than a year,"Was shocked at how much I enjoyed my time there, great leadership and there was a culture of improvement and doing business the right way.  I was in the Sales Enablement (Product Marketing) side so I cannot speak to the Sales side but I love the entrepreneurial mentality that they allowed us to have there.  Highly recommend the company and especially the Product Marketing side!","As with all huge companies, politics does get in the way sometimes and also there is a lot of processes (good or bad) that you have to follow that slow down your daily tasks and of course there are meetings upon meetings upon meetings so you're often distracted from doing your job.  That's what most large companies though...",2.0,4.0,4.0,4.0,4.0
29,"""Good opportunity; not for everyone""",I worked at Dell Technologies full-time for more than a year,"Benefits, can develop professionally, work/life balance","In sales, no real skills are developed. Politics are key and promotion doesn't seem to be based on merit.",4.0,3.0,4.0,4.0,3.0
30,"""good""",I worked at Dell Technologies full-time,learn new technology work from home,getting approval from senior mgmt is hard,,,,,
31,"""Great""",I have been working at Dell Technologies full-time,"Great culture, reasonable hours, great people",System &amp; processes quite outdated,5.0,5.0,5.0,4.0,5.0
32,"""Great Company to work for""",I have been working at Dell Technologies full-time for more than 5 years,one word .. Great to work for,na at this time of the year,4.0,5.0,3.0,4.0,5.0
33,"""Nice experience in general""",I have been working at Dell Technologies full-time,Work life balance is great,Career Growth is flat. Years to get promoted,,,,,
34,"""Be cautious....""",I have been working at Dell Technologies full-time for more than 8 years,"Great place to start a career, loads of opportunities to grow and develop if you take ownership to pursue them and make your own path.  Good benefits.","Culture and work/life balance is not consistent across the company.    You can be held back by internal movement policies and ""time in role"" requirements - regardless of performance.  Everything is very ""regulated"", so career advancement is limited as a consequence. Those earlier in their career seem to fare better overall.",1.0,3.0,1.0,4.0,4.0
35,"""Good company""",I worked at Dell Technologies part-time,Good company flexible schedule,Too much red tape in the conpany,,,,,
36,"""Good work life balance""",I have been working at Dell Technologies full-time for more than 8 years,"work-life balance,  benefits, career opportunities","compensation, legacy tools and technology",5.0,4.0,4.0,3.0,2.0
37,"""Great place to work""",I have been working at Dell Technologies full-time for more than 5 years,"Good work life balance
Good work culture
Exciting new technologies","Job security
Need better Product management direction",5.0,5.0,3.0,3.0,4.0
38,"""love the culture and people""",I have been working at Dell Technologies full-time,"lots of learning resources, work/life balance, great people",lots of cooks in the kitchen,,,,,
39,"""A good and fair company overall to work for""",I worked at Dell Technologies full-time for more than 3 years,"Dell is a very structured company, like IBM and HP.",A bit rigid and a little behind on disruptive technologies.,4.0,4.0,4.0,4.0,4.0
40,"""Over worked""",I worked at Dell Technologies full-time for more than 3 years,Remote work and  remote work.,Over sell technology and cant deliver cloud solutions as promised,2.0,2.0,2.0,3.0,1.0
41,"""Love Dell""",I have been working at Dell Technologies full-time,"- Work/Life Balance
- Unmatched Benefits
- Fantastic leadership",- Stagnant movement on smaller teams,5.0,5.0,,5.0,4.0
42,"""Great""",I have been working at Dell Technologies full-time for less than a year,Great place to work for anyone,I would have nothing negative to say,5.0,5.0,5.0,5.0,5.0
43,"""Bureaucratic, Overly Political""",I have been working at Dell Technologies full-time for more than 5 years,"Decent pay, good benefits, friendly colleagues for the most part, if you have a good director then you can have a great experience working here, depending on your team and where you start out you may have many opportunities for upward mobility, my job personally feels very secure","Directors lack experience in their functional areas, weak leadership skills overall, relationships between leaders overly political and highly toxic, lack of collaboration, lack of reliable data, too easy to get stuck working on very manual and/or data entry type projects and then watch better projects get outsourced or go to new workers without prior experience, I've seen tenured and experienced marketers leave because they were fed up with the petty politics and constant disorganization",4.0,2.0,4.0,4.0,2.0
44,"""Good, not great""",I worked at Dell Technologies full-time for more than 3 years,"Benefits, Work-Life Balance, Training, Industry Leader, and Resources",OKC Location. The sales org has toxic management with limited leadership or organizational skills.  Career advancement is based on cronyism and not merits.,4.0,2.0,2.0,2.0,1.0
45,"""Poor Management that fosters a poor environment""",I worked at Dell Technologies full-time for more than 10 years,"Decent compensation, work life balance","Poor working environment, insurance, security",3.0,1.0,1.0,3.0,1.0
46,"""Pretty good working here""",I have been working at Dell Technologies full-time for more than 5 years,"Work-life balance, remote working, pretty good healthcare insurance, great 401k match, paid training and conferences, great people","Extremely hard to get promoted, bonus structure sucks until you're at the top of your job family's grade level, no RSUs.  Dell at heart is a commodity hardware seller, and as such is often not on the cutting edge of technology.  If you want to stay current you'll have to put in a lot of the effort on your own.",5.0,5.0,4.0,4.0,4.0
47,"""Incredible Company full of Opportunities""",I have been working at Dell Technologies full-time for more than 3 years,"Benefits, Flexibility, Diversity, Great People, Rewards",Salaries are lower than the market,5.0,5.0,5.0,5.0,5.0
48,"""Flexibility and support as a working mother!""",I have been working at Dell Technologies full-time for more than 5 years,Flexible hours and remote work options really support my work life balance.,"Tuition reimbursement benefits are not great, for those looking to further their education to benefit the company.",5.0,5.0,5.0,3.0,4.0
49,"""Flexibility and support as a working mother!""",I have been working at Dell Technologies full-time for more than 5 years,Flexible hours and remote work options really support my work life balance.,"Tuition reimbursement benefits are not great, for those looking to further their education to benefit the company.",5.0,5.0,5.0,3.0,4.0
50,"""Dell""",I have been working at Dell Technologies full-time for more than 3 years,Company culture - working remote is highly encouraged,Dell is known for paying less than other companies.,5.0,4.0,4.0,3.0,3.0
51,"""Senior Advisor , Commodity Management""",I have been working at Dell Technologies full-time for more than 3 years,"Great learning , , Great learning, Great learning",Lack of team spirit and harmony,5.0,5.0,5.0,5.0,5.0
52,"""Great Pay and Benefits""",I worked at Dell Technologies full-time for more than 5 years,Great Pay and Benefits and felxible work schedule,Horrible Culture and very impersonal,3.0,2.0,5.0,5.0,2.0
53,"""Great benefits""",I have been working at Dell Technologies full-time for less than a year,"3 weeks time off,  additional sick leave, work from home options,  great insurance rates","Dell changes often.  Jobs, roles, account sets.  Be prepared for change.  With constant change training is not always the best or left to learn on your own.",4.0,3.0,3.0,4.0,3.0
54,"""Good place to work""",I worked at Dell Technologies full-time for more than a year,Tons of programs and benefits to take advantage of. Very good worklife balance .,Quota growth numbers and historical data did not seem align.,5.0,4.0,5.0,5.0,3.0
55,"""Typical corporate company with decent pay and good benefits""",I worked at Dell Technologies full-time for more than a year,"The company provides good benefits such as 401k, healthcare, transportation, etc.","The pay is decent, but not competitive with other large companies like Microsoft, HP, Oracle, etc.",3.0,3.0,5.0,2.0,3.0
56,"""Diversity is Key""",I have been working at Dell Technologies full-time for more than 10 years,Super smart people are very open to sharing ideas,none that come to mind,4.0,5.0,3.0,4.0,5.0
57,"""I work with very innovative engineers & the work is interesting but there is no growth.""",I have been working at Dell Technologies full-time for more than 3 years,The local team is very professional and skilled.  Its a joy to work with senior developers.,There is a lot of inhouse training but it doesn't amount to advancement. Leaders are hired from the outside and brought in from their univ. friends.,3.0,4.0,1.0,2.0,3.0
58,"""Ok company""",I worked at Dell Technologies full-time for more than 8 years,"Benefits , PTO, Work/Life balance","Lack of promotions, Who you know culture",5.0,3.0,3.0,4.0,1.0
59,"""Professional Services / Consulting""",I worked at Dell Technologies full-time for more than 8 years,"Learning new technologies
Decent salary
Smart colleagues","Not much visibility, need to be an extrovert and network online 
Travel 
Deep reporting structure",4.0,3.0,3.0,3.0,3.0
60,"""Cst""",I worked at Dell Technologies full-time for more than a year,"Growth , great staring pay , ability to work from home","Management , contractor, they tell you that their going to convert you to dell after 6 month working there but the never happens . Full of lies",5.0,1.0,5.0,4.0,1.0
61,"""Great Culture""",I have been working at Dell Technologies full-time for more than 3 years,"Work life balance
Career growth opportunities","Older workforce
Not as modern as most tech companies
Many silos due to large organization",5.0,5.0,5.0,5.0,5.0
62,"""Director Product Management""",I have been working at Dell Technologies full-time for more than 8 years,Great if you want to make something happen,Requires patience and internal people network,5.0,5.0,4.0,4.0,4.0
63,"""Harassment/Discrimination/Dishonesty - Welcome to Dell OKC Sales!""",I worked at Dell Technologies full-time for less than a year,"- High turnover so nobody cares if you leave. You shouldn't, either.
- Easy parking.","Ooh! What an awful slice of dated corporate hell this place is! 

I came in as a University Hire to the sales department, only once there, they had no positions to fill (after lying to us that they did for months), so after hooking us with a signing bonus, they put us doing cold calls 40 hours a week, with no chance at bonuses/commission or advancement. The SWAT sales people not in the University program get the same treatment, only no benefits and $15/hr. One guy had been there 10 months at this rate as they kept stringing him along to becoming a permanent employee, with no end in sight. 

""Culture"" is a word used solely to discriminate against those who are unsatisfactory -- be it due to race, sexual orientation, age, or general intelligence/business sense. Qualifications and experience mean nothing in favor of a low-cut blouse during the forced ""mentoring"" sessions with the piggish (nearly all) male managers. 

As for the bonus structure, Google ""Dell fraud"" and you'll find the company has violated tax laws and misreported it's numbers for TEN QUARTERS STRAIGHT! The ""numbers"" they pay you on and expect you to hit are complete and absolute fiction.

Avoid this place. The only people who succeed there are the ones who wouldn't anywhere else, which is why everyone you meet used to a be a ""shopgirl"" or ""waiter"" until working here. The (likely to be broken promise of) benefits got them hypnotized. This is not a good place to work for anyone with any actual earning potential. 

Since leaving, several hiring managers told me it was a good thing I left and it's actually a mark against you to have Dell on your resume in the tech world, as they have a reputation for not being able to fit in anywhere else. That fits, and since entering a position with decent management/transparency, I see what a truly negative and incompetently run experience this job truly was.",1.0,1.0,1.0,1.0,1.0
64,"""Cheap and hypocritical""",I worked at Dell Technologies full-time for more than 3 years,Flexible about working from home,Constant crisis mode; work is piled onto shrinking teams who cannot hire locally;  completely unreasonable expectations for leaders to cover job tasks PLUS team career guidance PLUS constant emergencies PLUS massive multi-year projects,2.0,1.0,1.0,1.0,1.0
65,"""Good""",I have been working at Dell Technologies full-time,Very Good Culture this company,No Cons for this company,,,,,
66,"""Great place to work and build a career""",I have been working at Dell Technologies full-time for less than a year,Benefits and programs are wonderful. Coworkers and Management all work as a Team. Dell invests heavily in training and making sure you have the skills and tools to do your job. Best onboarding experience I have ever had.,Not many cons. If anything it would be that the company is in the process of redefining itself and there is a lot of change going on.  But he changes are improvement changes so it is really not a con.,4.0,5.0,5.0,5.0,5.0
67,"""Good benefits but popularity contest culture""",I have been working at Dell Technologies full-time for more than 8 years,good benefits and I work at home.  Free t shirts/swag. I feel like the sales goals are attainable. I have learned a lot about IT and computers from this job.,"I have never been promoted.  Pay is bad because of lack of promotions. There are very little women who work there and even less that get promoted. In order to get promoted they tell you to work on your ""brand"" but what that means is to cozy up to the right people and drink with them, etc. Everything is a popularity contest. 1 woman for every 10 men. In management - 1/20. Don't ever engage the help of HR because retaliation  happens all the time.  If you don't hit your number, they don't  care why. You will be out fast.",3.0,2.0,1.0,1.0,1.0
68,"""Work/Life balance is great""",I worked at Dell Technologies full-time for more than 8 years,Great work life balance with employees' family in mind.,Big company mentality that may hinder incremental innovations.,5.0,3.0,3.0,3.0,3.0
69,"""Great Company to Work""",I have been working at Dell Technologies full-time,"Flexible working hours, challenging work",Hard to go to higher positions,5.0,5.0,3.0,3.0,4.0
70,"""Awesome jobs at the very high level, not so much beneath them""",I have been working at Dell Technologies full-time for more than 5 years,Large company with lots of irons in the fire,Large company so you are just another cog in the system,4.0,3.0,4.0,4.0,4.0
71,"""DellEMC PreSales Engineering""",I have been working at Dell Technologies full-time for more than 8 years,"Great people, positive work environment.",Company is shifting away from valuing presales engineering. I cannot recommend to presales engineers for long term.,3.0,2.0,3.0,4.0,2.0
72,"""Dell TA""",I have been working at Dell Technologies full-time for more than a year,"Work from home, good benefits","Hard to move up/get promoted, underpaid compared to other companies",3.0,3.0,2.0,3.0,3.0
73,"""Senior Analyst""",I have been working at Dell Technologies full-time,Work culture is awesome and very friendly,"Night shift, profile is very unique",,,,,
74,"""Data Center Account Executive""",I have been working at Dell Technologies full-time,"Flexible hours, good culture, good salary","Multiple account changes regularly, lack of visibility to company decisions",,,,,
75,"""Be Careful""",I worked at Dell Technologies full-time for less than a year,"fun perks - free food, vendors giving away stuff","zero help for past employees - have not sent out W2s and it's february 18th have received 1095-c, but talking to anyone that is an actual person is impossible. 

about the job - i was hired as inside sales being told this is ""inbound"" sales, but when i got through training it was a bait and switch then being told i would be a ""demand generation rep"" in other words, i was cold calling. their only form of training is ""dial more (not really but their training focused on selling and not their actual products) and you're constantly having to crawl over other employees who have already called the contacts you're given; i can not even begin to tell you how many times i've heard ""someone else called me two days ago saying they were my point of contact, what is going on over there?!""  you do NOT have set accounts you handle. people are snakes and will steal your sales and leads. people do not tag the customer profiles like you should, or there are 17 different accounts for each individual and someone tags a random obscure account, and you're both working the same account. they say ""scrub scrub scrub"" accounts but how are you supposed to be thorough when there are MULTIPLE accounts, using different phone numbers all for the same people. they need to clean up their accounts system.  you are guilted out of taking PTO. while i was there, they offered over time but quickly rescinded that offer because people actually used it like they asked and expected beause nothing is better than SALES SALES SALES, so they offer over time only to then take it away beause people used it.

i was at the nashville anniversary gathering for Dell, and it was weird that we were asked to scream and cheer for Michael Dell like he was some kind of God. he came out to an imagine dragons song to show that he was cool with the young guns.",1.0,2.0,3.0,3.0,1.0
76,"""Very dynamic fun team work""",I have been working at Dell Technologies full-time for more than a year,"These teams work on huge deals 
Their professionalism and skill sets are the highest I've had the pleasure to work with.

Dell's vision and strategy is powerful surpassing competive vendors with dominant market share and integrated solution sets.

The teams blend a range of deep experience and energetic highly trained young IT professionals. The intern program is the best I've seen.",I've experienced none so far,4.0,5.0,5.0,4.0,5.0
77,"""How is the company in terms of work life balance""",I worked at Dell Technologies full-time,One of the good companies to work for.,No cons that I faced when I was working,5.0,5.0,5.0,5.0,5.0
78,"""evaluation of time and work there""",I worked at Dell Technologies full-time for more than a year,"challenging work to be on, great business partners to work with",no real solid stable roadmap and plan,2.0,3.0,3.0,2.0,3.0
79,"""Good place""",I have been working at Dell Technologies full-time for more than 8 years,"Global firm, challenging work, impact","burnout, toxic culture, strategy not clear",5.0,4.0,4.0,5.0,2.0
80,"""Great American Company""",I worked at Dell Technologies full-time for less than a year,You know who still holds the most influence and direction of the company.  His name is still on the building and he is still active.  You can't say that for many companies these days...especially of this size.,large company that sometimes can turn on a dime as needed.,3.0,3.0,3.0,3.0,2.0
81,"""Vast range of tech available""",I worked at Dell Technologies full-time,The company has a large range of latest technologies available to work with.,Being a large corporation the internal organizations are not streamlined.,,,,,
82,"""Good Company if you want stable job""",I worked at Dell Technologies full-time for more than 8 years,Good Benefits and work life balance,Salary can be little better,4.0,4.0,2.0,2.0,2.0
83,"""Good company to work for""",I worked at Dell Technologies full-time for more than 3 years,"Opportunity for advancement, great training opportunities and continuous learning.  Ability to work remote",Working globally can require late hours and meetings,3.0,5.0,5.0,4.0,5.0
84,"""Great company and loved my stay there""",I worked at Dell Technologies full-time for more than 10 years,I worked in EMC's Content Management division (Documentum) for close to 17 years. I say it was one of the best places that I have ever worked and got to work and learn from the brightest minds. People were absolutely great and it felt like family!,I would have love to have more mentoring and opportunities to grow and do different things !,5.0,5.0,4.0,5.0,4.0
85,"""OK job, promotions based on seniority""",I worked at Dell Technologies full-time for more than a year,"Plenty of downtime, freedom to work on your own.","Promotions are solely based on seniority, not on quality of work.",4.0,3.0,2.0,4.0,2.0
86,"""Toxic""",I have been working at Dell Technologies full-time for more than 8 years,work life balance and remote work option,"Always layoffs, lack of direction",5.0,2.0,3.0,3.0,2.0
87,"""Great company""",I have been working at Dell Technologies full-time for more than a year,All around great company,No cons I can think of,5.0,5.0,5.0,5.0,5.0
88,"""Good Connected Workplace""",I have been working at Dell Technologies full-time for more than 10 years,Smart people and flexible work hours,Competitive environment and budget focus,,,,,
89,"""Good Connected Workplace""",I have been working at Dell Technologies full-time for more than 10 years,Smart people and flexible work hours,Competitive environment and budget focus,,,,,
90,"""Excellent Company with the BEST people""",I have been working at Dell Technologies full-time,"I've worked for several large companies and advertising agencies.  I believe, without a doubt, Dell is the best company to work for. The people I work for and with are outstanding, genuine and looking for ways of helping everyone succeed.  Not every day is roses, but to work for a company who is as focused in innovation and success as Dell is, allows everyone to be focused on the same goals. Most of Dell works remote 100% or at least 50%, this has made a huge impact on my work/life balance. I am able to work remotely at least 2-3 days a week. Excellent health and wellness benefits.","I've heard from others that it's too big of a company/people get lost in the largeness. I think you chose your own adventure.  If you want to be seen, make sure you are in front of leadership. Let your manager know that you are interested in other areas to grow in.",5.0,5.0,5.0,5.0,5.0
91,"""Dell Technologies has great people""",I have been working at Dell Technologies full-time for more than 10 years,Very knowledgeable and helpful people at Dell.  Culture is extremely flexible on work from home.  Volunteer opportunities are encouraged.,Layoffs seemingly every quarter.  Want to be agile in building IT infrastructure but have no idea what the demand is and the budget can't meet the demand.,4.0,3.0,3.0,4.0,3.0
92,"""Great work/life balance""",I have been working at Dell Technologies full-time for more than 3 years,"Great work/life balance. Lots of resources to get ahead in your career. Great benefits.
3 weeks vacation starting out, 1 week personal days.",They try to keep up a start up vibe but office space is a bit out dated.,5.0,3.0,4.0,5.0,4.0
93,"""Account Executive""",I worked at Dell Technologies full-time,Plenty of opportunities to move around the org. Large organization with plenty of financial leverage. Great benefits and potential for go getters in sales.,AE and DCSE need to work together and that is generally not the case.  Compensation alignment between both of those role  does not align correctly or effectively creating distention between teams.,5.0,4.0,5.0,5.0,4.0
94,"""Great job and great company""",I have been working at Dell Technologies full-time for more than 5 years,Great pay and employee benefits,No obvious cons I experienced,5.0,5.0,5.0,5.0,5.0
95,"""Could use some new blood""",I have been working at Dell Technologies full-time for more than 5 years,"Very talented individuals and supervisors.  Much work done to cultivate a culture of quality, morality, and innovation. Flexible work environments with the ability to work from home in many cases. Politics at a minimum (they are people, so there is some, but it's so much less than elsewhere). Really try to reward ideas and hard work.","Like any large, old company, Dell spends a lot of time buried in red tape.",5.0,5.0,3.0,5.0,3.0
96,"""The job was nothing like it was presented in the interview/recruitment process.""",I worked at Dell Technologies ,Family/work life is great. Community involvement. Blood drives on campus. Bank on campus.,The culture set during training was a bully culture from the “coaches”!  Lots of internal politics and favorites.,5.0,3.0,3.0,5.0,3.0
97,"""Grinding""",I worked at Dell Technologies full-time for more than 5 years,Company name is only pro,Everything else is a con,1.0,1.0,4.0,2.0,3.0
98,"""16+ Years experienced order processing and data analytics for sales forecasting""",I worked at Dell Technologies full-time for more than 10 years,Great working People. -Team building.,Alot of changes regarding software applications.,4.0,4.0,3.0,3.0,
99,"""A job if you need it""",I worked at Dell Technologies full-time for less than a year,Complete solutions to meet customer Requirements,Completely focused on the numbers and numbers only.,,,,,
100,"""My Dream Job""",I have been working at Dell Technologies full-time for more than 5 years,"Major manufacturing clients of Dell, in Everett, provide a wide variety of problems to solve for computer support. Doing the same job every day would get dull. Many many different areas to work in, lots of opportunity for people to start.",Moving up the ladder will be slow as leadership positions are filled and new leaders are not being added.,5.0,5.0,5.0,5.0,3.0
101,"""Products and services from the core to the edge""",I have been working at Dell Technologies full-time for more than 8 years,Complete IT shop for all products and services,Very large organization M&amp;A issues,4.0,5.0,5.0,5.0,4.0
102,"""Great company""",I worked at Dell Technologies full-time for more than a year,Great benefits for employees in the office,long working hours in the office,,,4.0,4.0,
103,"""One of the worst companies to work for""",I worked at Dell Technologies full-time for more than 10 years,Decent Salary and Bonus.  Also supports a good work at home policy,Career Killer.  All design work has been moved off shore. All local engineers are glorified admins,3.0,3.0,1.0,3.0,1.0
104,"""Excellent culture, decent pay""",I worked at Dell Technologies full-time for more than 8 years,The culture is second to none. Investment in employee resource groups and charities really help to show that Dell OKC cares about the people and community.,You can get sandbagged by leadership if you happen upon a manager that doesn’t assist you in advancement. This is hit or miss as some leaders are phenomenal but others are poor. Pay is decent but generally lower than market.,5.0,5.0,4.0,4.0,4.0
105,"""good company""",I have been working at Dell Technologies full-time for more than 3 years,good i like working here,I have none right now,4.0,4.0,4.0,4.0,4.0
106,"""Awesome and laid back""",I worked at Dell Technologies full-time,"work life balance, people, nice benefits","pay, lots of politics going on",,,,,
107,"""It was fine""",I worked at Dell Technologies full-time for more than a year,Good people and laid back environment.,Not much money. Advancement takes forever,4.0,3.0,1.0,2.0,3.0
108,"""NA""",I have been working at Dell Technologies full-time,"Flexible Work Benefits, Good Salary in relation to other industries, 3 Locations in Ireland to Work from, Stable work environment, Good Managers in some areas","Can be hectic at 1/4 and month end, remote managers in other countries sometimes dont understand the IRL work environment,",4.0,4.0,4.0,4.0,4.0
109,"""Best place to work""",I have been working at Dell Technologies full-time,The work environment over here is very nice,There is no Cons as such,,,,,
110,"""A Solid Ethical Company""",I have been working at Dell Technologies full-time for more than 5 years,"This is a great place to work. The Vista Station office feels nice and open.
The company is stable. Layoffs and reductions happen, but not often.",Missing some of the perks of a startup tech company.,5.0,5.0,5.0,4.0,5.0
111,"""Great Place To Work""",I have been working at Dell Technologies full-time for more than 10 years,Everything was great for ME. I don't have many complaints.,NONE. I love Dell!,5.0,5.0,5.0,5.0,5.0
112,"""Great Company""",I have been working at Dell Technologies full-time for more than 3 years,"Great company, peers, mgmt a and technology opportunities.","None, it's a great place to be right now",4.0,5.0,5.0,4.0,4.0
113,"""Dell EMC OEM is a great place to work, servicing OEM's with hardware solutions.""",I worked at Dell Technologies full-time for more than 10 years,"work-life balance, competitive salary &amp; commission structure","corporate environment, consistently challenging quotas",5.0,5.0,4.0,3.0,4.0
114,"""lacks leadership and management skills""",I worked at Dell Technologies full-time for more than 8 years,cutting edge technology and goodofffic hardware,"incompetent management, poor work life balance",2.0,1.0,1.0,3.0,2.0
115,"""Good company""",I worked at Dell Technologies full-time,Work-life balance great benefits good leaders,Technologically behind copared to other,4.0,3.0,4.0,5.0,5.0
116,"""Constant change,  Long Hours""",I have been working at Dell Technologies full-time for more than 10 years,Many different teams to work with and learn different job functions and thus opportunity to move around,"Long hours, and constant changes, so projects may get cancelled right before completion when  upper management decisions are made beyond your control",2.0,5.0,4.0,2.0,3.0
117,"""Good company""",I have been working at Dell Technologies full-time for more than 3 years,"Dell tends to hire great people, large network and people always willing to help, can be very fun.  Some of my favorite colleagues/friends are people I've met here.  I love the building, the atmosphere, the location.",I never have enough time to accomplish all that's required.,4.0,4.0,4.0,3.0,4.0
118,"""Great Compang""",I worked at Dell Technologies full-time for less than a year,"Fantastic work environment, incredible people to work with, absolutely fantastic experience.","It’s a corporate job, that’s it. Not much to say in the way of cons.",4.0,5.0,5.0,5.0,5.0
