,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
24,"""Exciting company, toxic culture""",I have been working at Alibaba Group full-time,"-Exciting initiatives
-Fast moving
-Opportunity to switch roles internally","-Extremely political, zero sum game culture
-No middle management
-Emphasis on appearance over results",,,,,
25,"""Tight, aggressive""",I worked at Alibaba Group ,"Faster growth, good learning tools","Imbalance work and life, Tiring",1.0,3.0,4.0,2.0,4.0
26,"""Good company, good colleagues""",I have been working at Alibaba Group ,Colleagues are really nice and there are a lots of opportunities to learn new stuff,Too much workload. Ready to work overtime.,4.0,4.0,4.0,4.0,4.0
27,"""Good Benifits but work lif balance is bad""",I worked at Alibaba Group full-time,Benifits is good and salary is good too.,the work life balance could be better,,,,,
28,"""neutral""",I have been working at Alibaba Group full-time,It can provide good opportunity to upgrade yourself. You can learn a lot from it.,The relationship between colleagues is too complicated.,2.0,4.0,5.0,4.0,3.0
29,"""Data Analyst""",I worked at Alibaba Group full-time,Friendly environment and hard working employees,None I can think of,,,,,
30,"""Discrimination at work and limited opportunities if you are not based in headquarters""",I have been working at Alibaba Group full-time for more than a year,"Large company that does very interesting things in China
One of the most cutting-edge companies in retail
If you are from China, this is one of the best companies you can work for
Good compensation","Where do I start? 
If you are based anywhere outside of headquarters, it is very difficult to get anything done. Responsibilities change, top people change, business priorities change abruptly every 2-3 months. If you are not from China, you will face discrimination. This company is good for someone from China or for someone who is committed to China in the long-term.  If those two don't apply to you, stay away.",2.0,1.0,1.0,3.0,1.0
31,"""Reviewer""",I have been working at Alibaba Group ,it is a company build on dream,there are no downsides about,,,,,
32,"""senior engineer""",I have been working at Alibaba Group ,"high payment, friendly people , good",I do not like my manager,4.0,4.0,5.0,5.0,5.0
33,"""Fast Pace""",I have been working at Alibaba Group full-time,Competetive salary and good working environment,overtime too much. 9 hours per day working time without weekend.,,,,,
34,"""Senior Software Quality Assurance Engineer""",I worked at Alibaba Group full-time for more than 8 years,"Great company! More opportunities for a person, good work environment and great culture and value.",more balance between work and life,4.0,5.0,5.0,5.0,5.0
35,"""Product Manager""",I worked at Alibaba Group full-time,"High Salary,  passionate environment, the meaningful job which has a great impact on the marketplaces and consumers; great promotion opportunities; excellent training system; nice teams and co-workers.",challenging as you will meet new changes and every co-worker is brilliant and diligent.,4.0,5.0,5.0,5.0,5.0
36,"""Marketing manager""",I worked at Alibaba Group full-time,Great working environment. Competitive salary,"Traffic, excessive overwork. Chaotic at sometimes",1.0,3.0,4.0,5.0,3.0
37,"""Stone Age company""",I worked at Alibaba Group ,Really hard to think of any.,"Terrible hours, absurd employee turnover, not ready for business outside of China.",1.0,2.0,1.0,1.0,1.0
38,"""big company, less human care""",I worked at Alibaba Group full-time for less than a year,"one of the best company in china, could learn a lot; high efficiency",not for work-life balance; location isn't good,1.0,3.0,5.0,4.0,2.0
39,"""working for Alibaba""",I worked at Alibaba Group full-time for more than 3 years,"innovative, fast-pace, strong company culture, flat organization structure, high sense of achievement, huge company with lots of internal opportunities, a truly game-changer","work-life balance may be hard, better have some Asian background",4.0,5.0,5.0,5.0,5.0
40,"""Great place to work""",I worked at Alibaba Group  for less than a year,employees are full of passion for the internet industry,cannot find any cons,4.0,5.0,4.0,5.0,4.0
41,"""A lot potentials""",I have been working at Alibaba Group full-time for more than 3 years,"No doubt about founders' vision. Truly amazing. Carrying the mission of changing the world.
A lot of opportunities inside the company led by the fast growing business and founders' vision. I've been learning a lot both technically and non-technically.
Feel overall benefits are pretty good.","depending on how you see it. fast pace and org changes frequently. Conduct result-oriented work environment, which means work overtime quite often.",2.0,4.0,5.0,5.0,5.0
42,"""alibaba review""",I worked at Alibaba Group full-time for more than a year,"Good team, coworkers or managers are all very good","In my opinion, it's quite a good place to work in.",,,,,
43,"""A great company for working""",I worked at Alibaba Group full-time,"1. You will learn a lots of thing in short time
2. You face one of the biggest challenge in the word",1. You need to work very hard,2.0,4.0,5.0,5.0,4.0
44,"""Not a good place to work for""",I worked at Alibaba Group full-time for less than a year,There are Some good people to work with.,"It's not a startups culture, it is disorganized and has no strategies.  The decision making is top down, HQ doesn't know the US market but involved deeply for everything. 
Don't try to suggest any new ideas, you will get punished and your manager will exclude you from the works.
Very Chinese type company in a negative way doing business. Doesn't care about employee benefit, salary is lower than the market but you are required to travel more than 30% and non stop working at night, the kitchen area is dirty most of the time,  No free company parking lots, you will need to pay for parking out of your pocket $125 per month. Facility always tell you HQ cut the budget...IT has no ideas about many IT issues, you need to work with HQ to fix the issue. If you don't know Chinese you will have hard time to use the internal system.",1.0,1.0,1.0,1.0,1.0
45,"""Amazing company""",I worked at Alibaba Group ,Persistance is a must. Great company culture. Still function like a startup.,Changes are too many and too often.,2.0,5.0,3.0,4.0,3.0
46,"""Exciting company, poor management""",I have been working at Alibaba Group full-time,"Fast growth, industry leader, innovative, lots of opportunities, diverse business, exciting","No work life balance, top down decision making, political, cut throat",,,,,
47,"""HR Director""",I have been working at Alibaba Group full-time,the key role in business decision making,"no work-life balance,  frequently overtime during weekend",1.0,5.0,5.0,5.0,5.0
48,"""work""",I have been working at Alibaba Group full-time for less than a year,"work hours are very flexible, can come and go anytime.","alot of overtime, low pay, very political, have to know the right person to climb up.",1.0,2.0,2.0,3.0,2.0
49,"""good experience""",I have been working at Alibaba Group full-time for more than 3 years,beautiful work place; nice colleagues; big challenge for everyone but will learn a lot experience,work overtime in some rush projects；have to face big pressure; KPI in a hard thing,4.0,4.0,4.0,4.0,4.0
50,"""interior designer""",I worked at Alibaba Group ,"good environment to work, clean atmosphere, friendly coworker","conflicts at environment office, less paid. no vacation.",,,,,
51,"""data""",I worked at Alibaba Group ,learn a lot from this position,Not essay to get return offer,5.0,5.0,5.0,5.0,5.0
52,"""Senior SDE""",I worked at Alibaba Group full-time,"I was impressed at the cross-functional, cross-departmental, network of help at Alibaba. We want each other to succeed and to succeed as a company.",It turns out the company has lots of redundant project and teams. It's not clear how some people get promoted while others don't.,2.0,3.0,3.0,3.0,3.0
53,"""HR""",I have been working at Alibaba Group ,"Talented and friendly employees, good office support team, comfortable environment. And good opportunity to work on valuable project, which is really meaningful","Not much, just like here. May be the work life balance can be something to improve. But I don't really care about.",3.0,5.0,5.0,5.0,5.0
54,"""Internship experience at Alibaba""",I worked at Alibaba Group ,"The internship at Alibaba as a software engineer is my first internship experience.
Pros are:
1). Standard development process;
2). Large volume of users;
3). State-of-art Java technologies.","1). Common issues in large Internet companies;
2). Less mentorship to interns;
3). Food is bad.",4.0,3.0,4.0,3.0,3.0
55,"""Alibaba Group, SDE2""",I have been working at Alibaba Group full-time,"Good salary, A lot of challenges","Too much pressure, 10% of employee will not receive any bonus.",1.0,2.0,4.0,5.0,3.0
56,"""It is a great position.""",I worked at Alibaba Group full-time,The hours can be long.,Great company culture and treats employees well,,,,,
57,"""intern""",I worked at Alibaba Group ,"covers travel costs, food, living costs for the program.",long working hours for full time positions.,4.0,4.0,3.0,4.0,4.0
58,"""Web Security Engineer""",I worked at Alibaba Group ,"High salaries, free meal and competitive work environment.","Heavy workload, often work to late at night",3.0,4.0,4.0,5.0,4.0
59,"""SDET""",I worked at Alibaba Group full-time for more than 3 years,"Good people, big platform, new technologies, keep learning and growth","heavy business, need more efficiency",4.0,5.0,4.0,4.0,4.0
