,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
18,"""Great Place to Work!""",I have been working at Lenovo full-time for less than a year,"- Collaborative 
- Unified mission
- Supportive team and management
- Great benefits
- Awesome workplace amenities",- So many teams and projects it can be confusing understanding everything going on with the company,5.0,5.0,5.0,5.0,5.0
19,"""Great for disciplined, innovative minds""",I have been working at Lenovo full-time for more than 3 years,"Tons of vacation days (like unlimited), depending on your manager you'll have a lot of freedom to define your hours + tasks for a general, big deliverable (which can be a double-edged sword)","Not the most competitive salary, job security is constantly at risk if targets are not met, (for those that get distracted easily) open office layout, career growth is not very clear depending on your track and organization",5.0,5.0,3.0,4.0,3.0
20,"""Good Company to work for""",I have been working at Lenovo full-time for more than a year,"Unlimited holidays,  majority of people are open for collaboration, option to work from home",a little more flexibility to changes,4.0,4.0,4.0,3.0,3.0
21,"""Great Work Life Balance and Very Friendly People""",I have been working at Lenovo full-time for more than 5 years,I have been with Lenovo for a while. People here build a very friendly workplace. It puts you in good mood almost every day. Everyone is helpful when you need help to get work done. They all treat you with a lot of respect no matter if they're executive or not.,Moving up is not easy.,5.0,5.0,4.0,5.0,4.0
22,"""Best place to kick-start your professional career""",I have been working at Lenovo full-time for less than a year,"You get to know the ins and outs of the business from the world's leading PC manufacturer. There's a lot of transformation that has happened in the way Lenovo functions today as compared to the traditional IBM days. Focus is more on creating smart devices, ecosystems, and solutions for customers, along with finding those disruptive innovations, that allow Lenovo to challenge the status quo. Along with that, Lenovo is a great place for a collaborative, respectful, and non-micromanaging work environment. Everyone is super welcoming and trustworthy, it feels like a way of life and you never feel that you are on a job.","If you are not a fan of open offices, then it might be the only downside here. The organization is long done with the cubicle-like work environment to allow everyone easy access to the leadership teams and their managers. Also, nobody feels left out on an open floor. Just invest in a nice pair of noise-canceling headphones and everything will be sorted.",5.0,5.0,4.0,4.0,4.0
23,"""Great Company Most of the Time""",I have been working at Lenovo full-time for more than 8 years,"Great health benefits, competitive pay, nice facilities, onsite health clinic.","Have to commute to office, no work life balance sometimes.",2.0,4.0,5.0,4.0,4.0
24,"""Really great place to work!""",I have been working at Lenovo full-time for more than a year,"Company is doing VERY WELL which translates to great compensation and good work environment, tons of smart people, not very bureaucratic for a company it's size (very lean), opportunity to travel around the world","Compartmentalized especially between the different businesses (Motorola vs. PC vs. Data server), cafeteria is pretty bad and expensive",3.0,5.0,5.0,4.0,5.0
25,"""Supportive company, great benefits!""",I have been working at Lenovo full-time for more than a year,"Supportive and diverse culture
Great leadership
6 Month paid Maternity Leave 
Unlimited Vacation 
Collaborative spaces","Can be high stress at times, like any sales position.",5.0,5.0,5.0,5.0,5.0
26,"""Overall Wonderful Company""",I have been working at Lenovo full-time for more than 3 years,"Flexibility, Good People, Wonderful Managers(in my experience),  Eco-friendly Company, Benefits","A bit disorganized company wide, need better processes for information sharing between departments, need better on-boarding experiences",4.0,5.0,5.0,5.0,3.0
27,"""Great Company!""",I have been working at Lenovo full-time,"Lenovo truly cares about their customers and employees. They listen to feedback and make adjustments! Benefits are amazing as well as the work culture and flexibility. Last but definitely not least is Lenovo's reputable, industry leading products.","Not many con's to this company! Usual Con's of a large company is communication - as sellers we're sometimes the last to hear of extension in special pricing (via email) which is silly.  Would be nice to have those special pricing in a central location - one update and everyone is notified and can access it immediately, at anytime without relying on emails being forwarded.",5.0,5.0,5.0,5.0,5.0
28,"""Overall a good place to work at!""",I have been working at Lenovo full-time for more than a year,"Good benefits, nice environment, lots of learning.",Things aren't that streamlined which makes navigating through the organization a big challenge.,3.0,5.0,5.0,4.0,5.0
29,"""Lenovo is a great employer""",I have been working at Lenovo full-time for more than 10 years,"Fit for purpose solutions that are often 1st to market. Trusted in the market with years of forged credibility in compute hardware solutions. Incredible brand recognition. Fun, fast-paced environment where all ideas are welcomed and success is celebrated as a team effort. Leadership wants to help and will go ""elbows deep"" in the trenches to help forward progress. The people you work with @ Lenovo are kind, humble, respectful, thankful, and brilliant.","With Lenovo NA's HQ in NC, their presence is more felt in East and Central vs Western NA. It would be nice to have a ""brick &amp; motor"" presence in Southern CA (LA or Orange County areas).",4.0,4.0,4.0,4.0,4.0
30,"""Lenovo is a great employer""",I have been working at Lenovo full-time for more than 10 years,"Fit for purpose solutions that are often 1st to market. Trusted in the market with years of forged credibility in compute hardware solutions. Incredible brand recognition. Fun, fast-paced environment where all ideas are welcomed and success is celebrated as a team effort. Leadership wants to help and will go ""elbows deep"" in the trenches to help forward progress. The people you work with @ Lenovo are kind, humble, respectful, thankful, and brilliant.","With Lenovo NA's HQ in NC, their presence is more felt in East and Central vs Western NA. It would be nice to have a ""brick &amp; motor"" presence in Southern CA (LA or Orange County areas).",4.0,4.0,4.0,4.0,4.0
31,"""Great company""",I worked at Lenovo full-time for more than 3 years,"good work environment, great leaders",IT systems used need improvement,,,,,
32,"""Inside sales rep""",I have been working at Lenovo full-time,Benefits are great and the culture.,I feel as though the pay could be better,,,,,
33,"""Great""",I have been working at Lenovo full-time,Strong inside sales team and management,Some roles require starting as a contractor,,,,,
34,"""So So""",I have been working at Lenovo full-time,New to DCG great at PC business,Learning DCG in American not same as China,2.0,4.0,3.0,4.0,1.0
35,"""""Great company""""",I have been working at Lenovo full-time for more than 10 years,"Great work life balance, unlimited vacation days, and very diversified.",some team don't work well together need more collaboration.,5.0,5.0,5.0,5.0,4.0
36,"""DCG Project Manager""",I worked at Lenovo full-time for more than 5 years,"good base pay
potential for bonus
unlimited PTO","lack of leadership
strategy is not well defined and constantly changes
organizations work in silos
low employee morale",4.0,2.0,3.0,4.0,2.0
37,"""Worst Experience I've had leaving a company""",I worked at Lenovo full-time for less than a year,No Pros that outweighed my negative experience on the way out the door.,"When it came time for me to leave the company, Lenovo treated me terribly, I've never experienced anything like it. They clearly wanted me to experience financial pain by withholding my final paycheck for 1 month.",3.0,1.0,3.0,2.0,1.0
38,"""Good Company""",I worked at Lenovo full-time for more than 5 years,"Strong Benefits, 401k match, Lots of swag",less than ideal collaboration with China HQ - Round the clock work schedule sometimes causes work life balance issues.,2.0,4.0,2.0,4.0,3.0
39,"""Constant Turmoil""",I worked at Lenovo full-time for more than 10 years,Competitve salary with decent benefits.,"Poor management of Executive Assistants, constant turnover and little if any loyalty to senority.",3.0,2.0,2.0,4.0,2.0
40,"""Workstations growing INSPITE of leadership""",I worked at Lenovo full-time for more than 3 years,"Decent pay and benefits, but net $/hour worked lower than industry due to 60hr+ workweeks.","Lenovo's PC business has smart, hard working people, but they are hamstrung by incompetent leadership.  Nowhere is this more true than in the workstation business.  One such leader in a sales conference asked his audience if they would ""grow old with him"". Clearly he does not understand sales people want to get rich not old. One reportedly has anger management issues, and once threw a whiteboard marker at an employee for which he was demoted.  This person continues to use his bully pulpit to threaten, force out or demote people who stand up to him. 

To make up for his shortcomings Lenovo management rushed in a former top HP guy who was booted off his job there within a year. He seems to be poaching from HP as revenge on his former employer.  The chosen few still run the place hogging resources because the leadership is powerless to stop them.

Most of Lenovo's growth comes from cheap ""workstation branded"" desktops sold into the channel.  There were reported attempts to fake market share by reporting these desktop computers as workstations. Competitors caught them in the act, complained to IDC and Lenovo's share was knocked down. 

Dell, HP if you're listening, here's another Chinese company competing on price and about to flame out.  There is only one way to go for a business like this... down.  Look after your customers!",1.0,1.0,1.0,3.0,1.0
41,"""Director""",I have been working at Lenovo full-time for more than 3 years,"Diversify, flexibility, nice place to work",16 hrs per day,3.0,4.0,4.0,4.0,3.0
42,"""Solid Company""",I have been working at Lenovo full-time for more than 5 years,"Good salary, good people, lots of career advancement or lateral move options.  Bonuses can be huge if your business unit performs well (this is rare).  Unlimited vacation is nice as long as you have a manager that lets you take the time.","Layoffs, layoffs layoffs.  That and the regular reorgs.  People you've worked with for years are one day just gone, or half your team gets cut and you have a new job with a new manager that you have no say in.  The churn keeps you on edge and hurts team morale.",4.0,5.0,4.0,4.0,3.0
43,"""overview""",I worked at Lenovo part-time,"lots of facilities, good college","kind of under pressure with limited time, small office",,,,,
44,"""Good company to work for""",I have been working at Lenovo full-time for more than 5 years,work/life balance; long maternity leave,leadership changes frequently; downward trend industry,,,,,
45,"""good company""",I worked at Lenovo full-time for more than 5 years,great work enviorment at the office,it was a great experience and work life balence,5.0,5.0,5.0,5.0,5.0
46,"""software test engineer""",I worked at Lenovo full-time,work life balance and friendly envrionment.,sometimes workload is big but we can handle it.,5.0,5.0,5.0,5.0,5.0
47,"""Broken Trust with Employees""",I worked at Lenovo full-time for more than 5 years,"I can't think of anything good, it is a toxic environment.","I worked for Motorola/Lenovo for about 5 years. I started in the office in another country where I am a citizen. I was given the opportunity by Lenovo to transfer to the US on an L1 VISA program sponsored by them. I accepted their relocation and sponsorship offered to move from my home country to the US where I wanted to work and live long term anyway. I sold most everything I had and shipped the rest to my new place in the US. Once in the US, Lenovo started the process of naturalization through the immigration process. Very thankful for this opportunity, but things took a turn for the worse.
Six months into my new work life in the US, Lenovo had ANOTHER mass round of layoffs impacting myself but the rest of my team. Lenovo dropped the immigration process and sponsorship and now that I was only on an L1 VISA no other company could sponsor me and I had 2 months to return to my home country with no assistance from Lenovo. They turned their back on me and many of my other co-workers in the same situation giving us no options to stay in the US. With little money to my name I almost lost everything all the while Lenovo just says goodbye, sorry our business needs have changed. Lenovo's business needs and leadership change every six months trying to pivot to the next",1.0,1.0,1.0,1.0,1.0
48,"""Good experience""",I worked at Lenovo full-time for less than a year,"- Manager and team are very supportive
- Very flexible and nice company culture",Can't think about any yet,5.0,4.0,4.0,4.0,4.0
49,"""DCG business is beyond mediocrity, stay away unless you're desperate!""",I worked at Lenovo full-time for more than 10 years,"Decent health benefits, good co-workers, unlimited vacation (ironically you can't fully take advantage of it if you're trying to sell on company's behalf).","DCG executives can't seem to grow former IBM x86 server business's market shares and revenues quarter-over-quarter, year-over-year consistently.   Financials are manipulated to paint a rosy picture.  North America top executive changes every 2 yrs because revenues and profits (PCON) aren't growing at acceptable pace.  Sales quotas are delivered towards the end of the quarter once Mgt has a good idea where most deals will land to keep sales teams from overachieving revenue objectives and commission payouts.  Current sales compensation plan penalizes and or forces sales reps to go negative/pay back commission draws (which are forced upon them to accept at the beginning of the fiscal year) if they don't hit 50% quota target if/when they leave the company does not motivate and retain good sales people.   Morale is already quite low on DCG, but much different on PCG business.   Find a job within PCG if you want to align with potential success.",3.0,2.0,2.0,3.0,1.0
50,"""No direction , no clear communication""",I worked at Lenovo full-time for more than 3 years,Nothing really positive to say about Biz.  But the people I worked with is the only stand-out.,no clear communication of direction.  Employees constantly feel being kept in the dark,3.0,3.0,2.0,3.0,2.0
51,"""Difficult to move things forward""",I worked at Lenovo full-time for more than a year,Friendly work environment and good morale,Too much bureaucracy. Low to make a decision. Incapable VP level management,3.0,3.0,3.0,3.0,2.0
52,"""Really great solutions""",I have been working at Lenovo full-time for more than 3 years,"* Lots of solutions to offer customers
* Solid hardware platforms and innovations","* Leadership needs to better understand how to sell into today's economy vs. what worked in the last decade at monolithic organizations. You can't leverage our IBM heritage selling today (their results are proof enough)
* Classroom training with all the solutions we sell is weak",3.0,4.0,4.0,4.0,3.0
53,"""Almost There!""",I worked at Lenovo full-time for more than 5 years,Good work culture.   Lots of cutting edge benefits.,"DCG hasn't proven it can make money.  I'd wait another year to see if they can become financially viable, before considering employment.",4.0,3.0,3.0,4.0,1.0
54,"""Good place to work""",I have been working at Lenovo full-time for more than a year,"Great work environment and benefits, always learning, supportive management","Work life balance, almost daily evening calls",2.0,5.0,3.0,5.0,3.0
55,"""A good place to work""",I have been working at Lenovo full-time for more than 3 years,Continuous on the job training,Open workspace can be distracting.,4.0,5.0,4.0,4.0,4.0
56,"""The place is a joke""",I worked at Lenovo full-time for more than 8 years,The people I met and worked with in this toxic environment and was in the same boat I was.,"Possibly too many to name, horrible hours, leadership that is completely delusional.  the people in charge still think that the mobile phone division is irrelevant they have no idea that the world doesn't care.  So they still run the place like it's a Fortune 500 big shot company but in reality it's a joke.  The turnover and layoffs are horrendous.  I read a book once and it described combat as mundane periods of really not doing much punctuated bye moments of sheer terror and when they're over a bunch of your friends are gone.  That's pretty much this place in a nutshell due to all the layoffs, of which I made it through seven of them.  Despite having to constantly lay people off you'd think at some point they would rethink how they do business but they never learn and they just keep making the same mistakes over and over and over.  I worked for Motorola at first and when Lenovo took over it got worse.  the products turn to garbage the treatment of the employees got worse, layoffs ramped up.  most of the people I know that are still there are just biding their time waiting for their severance packages and not working real hard at anything and I think that definitely shows in their latest products.",1.0,1.0,2.0,4.0,1.0
57,"""Nice work environment""",I worked at Lenovo full-time for more than 3 years,"Good location, acceptable salary, good benefits including 401K match (6%), flexible working time, friendly co-workers","No free snacks and lunch, discounts on Lenovo's products are very low (e.g. about 5% off on laptops)",5.0,4.0,5.0,4.0,5.0
58,"""Inside Account Manager""",I have been working at Lenovo full-time,Great management team looking to help individuals advance their career.,Compensation could be a little better.,5.0,5.0,5.0,2.0,5.0
59,"""Good Company to work""",I have been working at Lenovo full-time,Good things to learn during job,Stability Issue with respect to position and department,,,,,
60,"""Hard work""",I worked at Lenovo full-time for more than 3 years,Work life balance than normal.,No much on uplifting opportunity,3.0,2.0,2.0,3.0,2.0
61,"""If you like verbal abuse, ignorance and incompetence""",I worked at Lenovo full-time,Great PC team with high performance products.,Lack of collaboration fills  every effort with drama,1.0,1.0,1.0,1.0,1.0
62,"""Good company to work for""",I worked at Lenovo full-time for more than 3 years,"I did not need supervision, thus not requiring micromanagement, allowing me to do my job effectively",A lot of changes within management which could bother some,4.0,5.0,4.0,5.0,5.0
63,"""Good job""",I have been working at Lenovo full-time,good job most of the time,sometimes a bad job..butother times good,,,,,
64,"""Exciting company to work for with lots of autonomy""",I worked at Lenovo full-time for more than 3 years,Lots of trust and autonomy.  Always willing to try something new.  Future-focused with a very bold vision for the value the company can bring.,Culture of alliances and resource actions like you might see on the TV show Survivor.,4.0,3.0,4.0,5.0,5.0
65,"""Little opportunity in DCG for US-based software engineers""",I have been working at Lenovo full-time for more than a year,"- Good coworkers
- ""Unlimited"" vacation
- Decent work-life balance","- In DCG, there has been a trend of moving much of the software engineering / development overseas and laying off employees in the US to reduce costs.
- At the Morrisville site, the office is being converted into an open workspace which they touted as being a good thing just because it is ""new"", ""modern"", and will ""attract new talent"". But in reality, this is being done, so that they can cram more people into each building - once again, a cost reduction measure.",4.0,3.0,1.0,4.0,1.0
66,"""Nice Place to work""",I have been working at Lenovo full-time for more than 3 years,Great commitments from management and have good vision on road maps.Good package.,Management keeps changing more often and every new person comes with his version of product interests.,5.0,5.0,4.0,5.0,4.0
67,"""Good benefits, bad job security""",I have been working at Lenovo full-time,"Great benefits all around. Great people. Didn't seem like there was much work, I had a lot of free time.",Layoffs every year. I was affected by the most recent after only working for a few months. Really makes you question the management. Why hire several people if you plan on laying them off 3 months later?,5.0,3.0,4.0,5.0,1.0
68,"""It is just a matter of time before everything implodes!!""",I worked at Lenovo full-time for more than 3 years,Great benefits!  Very collaborative work environment.,"There is a serious ""lack of continuity"" at Lenovo.  

Constant layoffs on a yearly basis.

Frequent reorganizations within business units. 

Way too many ""experienced workers"" are being cut and their jobs are being off-shored to other countries for ""cheaper labor""   

Constant budgeting problems 

No work/life balance for employees due to the ever increasing workloads. 

Unrealistic goals set by the executives.  

Numerous slips in project schedules due to a serious ""lack of resources"".   

It is completely ""point-less"" to fill out ""Lenovo Listens"" surveys because none of the employees' concerns are taken seriously by management.  It is just a total waste of time.  

The cafeteria food is lousy and overpriced!!  

Too much of the ""IBM culture"" still exists at Lenovo.  

Not a good company for those seeking long-term employment.",1.0,2.0,2.0,5.0,2.0
69,"""DCG Layoffs make it difficult to see a future here""",I worked at Lenovo full-time for more than 3 years,"My immediate manager and team were great to work with.
Lots of flexibility when it comes to working from home.
Many networking opportunities.","Recently removed the cubicles and switched to an open layout.
Second RA in less than a year",4.0,4.0,3.0,4.0,2.0
70,"""Has been a great place to work in the field,  getting rough....""",I have been working at Lenovo full-time,"People, skills, benefits, potential, legacy, technology, innovation","Leadership changes, non-stop changes, inflated quotas, transparency to their employees, listening to their employees, disorganized",5.0,4.0,2.0,3.0,1.0
71,"""Great culture, management issues""",I worked at Lenovo part-time,"Great culture and events
Work life if very fun and interesting","Management seems to fight with each other
Lots of politics. Some managers won't work with each other or will pull out of projects or resist helping managers in the same division.
A lot of managers are great to their employees but not so much to managers of other divisions.",5.0,5.0,3.0,4.0,2.0
72,"""Too big to fail unfortunately.""",I worked at Lenovo full-time for more than 5 years,Cons outweigh the pros so no need to share anything.,Passive aggressive culture at Exec Director and above.  The trick to moving up there is to outlast all the good people that quit.  I am not saying the people on top are not smart.  They are and are quite savvy bureaucrats that know how to protect their fiefdoms.  Make no mistake moving up is about be selfish but being perceived as a collaborator.,3.0,1.0,3.0,4.0,1.0
73,"""Excellent company""",I worked at Lenovo full-time for more than a year,Great place to work.  Good benefits and great working atmosphere,"Long hours. 
sometimes hard to achieve work/life balance",3.0,4.0,3.0,4.0,4.0
74,"""Good Co-op program""",I have been working at Lenovo ,"Great people
Learn a lot",Sometimes you will be facing really repetitive tasks,,,,,
75,"""Exciting but heavy at the top""",I have been working at Lenovo full-time for more than 8 years,"Great technology, lots of great people who care. Some that just kiss up.",Fuzzy leadership not willing to get dirty and be involved in real decisions. Way too much churn.,3.0,3.0,3.0,4.0,2.0
76,"""worked as a contractor""",I worked at Lenovo full-time,"supportive team, great manager, solid company",if your a contractor you are disposable,2.0,3.0,3.0,3.0,3.0
77,"""Flexible position""",I have been working at Lenovo full-time,"Awesome work-life balance
Friendly team
Interesting work",Can be a bit slow paced,,,,,
78,"""Great Company with huge potential""",I have been working at Lenovo full-time for more than 10 years,"Good culture, Great Products, Awesome growth and work","Frequent leadership changes, lacking vision",4.0,5.0,4.0,3.0,5.0
79,"""large company""",I worked at Lenovo full-time for more than 3 years,Fair working environment and career development,Company Culture  management skill level need improve,3.0,4.0,5.0,4.0,5.0
80,"""Good from far, far from good""",I worked at Lenovo full-time for more than 3 years,One of the leaders in laptop design,"Despite their claims of dual HQ the US does not operate autonomously. Most direction is heavily influenced by Senior Mgt in Beijing.  They've done a poor job at retaining good talent. Layoffs occur frequently.  If you're one who has bounced between, HP,  Lenovo and Dell I'd recommend to make a career change. There's only so much share-shift you can do.",3.0,1.0,2.0,3.0,2.0
81,"""Great environment, growing company and fun products and colleagues""",I have been working at Lenovo full-time for less than a year,"Great working condition in line with most silicon Valley jobs, colleagues all competent and professional, free drinks/coffee.  No limit on vacation days!","Long hours, sometimes over weekend, but flexible hours. Most colleagues in Beijing and Raleigh, so we have work three time zones.",4.0,5.0,5.0,5.0,5.0
82,"""Great company to work for!""",I have been working at Lenovo full-time for more than 3 years,"Unlimited PTO, Maternity/Paternity leave, Competitive salary","Everchanging strategy and environment, confusing internal processes.",5.0,5.0,5.0,5.0,5.0
83,"""Field Sales""",I have been working at Lenovo full-time for more than 3 years,"Big Company, Highly Respected in the Industry, Innovative Products, Super Employee Support, Great Co-workers, Pathways to promotions if you work in HQ","Large Company so it takes time to make decisions, Cryptic systems and very hard to navigate organization if you start in the field. Some sales incentives seem to benefit the company more than the rep and I'm not always sure I'm compensated for SPIFFS and/or bonuses",4.0,4.0,2.0,4.0,3.0
84,"""Director Marketing for major PC OEM""",I have been working at Lenovo full-time for more than 8 years,Great place to be able to do many things,I really have no cons.  I really enjoy the job.,4.0,4.0,4.0,4.0,3.0
85,"""Lenovo is a good, not great company""",I worked at Lenovo full-time for more than 3 years,"Company views itself as market disruptor.
Has strategic cost advantages it can exploit.
Willing to adjust strategy quickly.","Management has struggled to promote from within.
Historical mistakes on exploiting acquisitions.",4.0,3.0,3.0,4.0,3.0
86,"""Senior Manager Global University and Diversity Recruiting""",I have been working at Lenovo full-time for more than 5 years,"People, Growth Opportunity and Benefits and working in consumer market things are always changing","Work hard, play hard environment.  Be ready for both.",4.0,5.0,5.0,5.0,5.0
87,"""Great place to work, but not if you are looking for a career path""",I worked at Lenovo full-time for more than 3 years,Cross-functional learning in a multinational company,Lack of opportunities to grow,5.0,3.0,3.0,4.0,4.0
88,"""Not a good long term career choice, learn and move on.""",I worked at Lenovo full-time,"Flexible, determined, team culture.  Chinese  company wanting to succeed. Benefits good.","Spend too much on building products with  marketing  dollars insufficient  to build equity, awareness and consideration. Consequence is thay always move product by lower prices rather than must have status. Highly fragmented  nature of company means nothing moves strategically as local geos , individuals have more authority  than those trying to change company. Hard to get things done. Top jobs all chinese.",3.0,3.0,2.0,4.0,2.0
89,"""Lenovo's Data Center Group""",I have been working at Lenovo full-time for more than 5 years,"* Very faced paced and great people.
* Great benefits, decent pay.
* Lenovo is hungry.","* The HW business is profit challenged.
* The Data Center Group is dependent on key industry partnerships.
* Unrealistic goals from executives creates unreasonable pressure.",2.0,4.0,3.0,4.0,2.0
90,"""Company is struggling.""",I worked at Lenovo full-time for more than 3 years,Good work life balance due to less products.,Not many opportunities to grow...Everybody inside are looking for new projects that few here n there.,3.0,2.0,2.0,2.0,1.0
