,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
32,"""Good company to work""",I have been working at Microsoft full-time for more than a year,MS probide good flexibility at work,Not awared properly at work,3.0,4.0,4.0,3.0,4.0
33,"""Stressful but learned a lot""",I worked at Microsoft full-time for more than a year,"Best benefits, and pays quite okay.",Can be stressful at work,1.0,4.0,4.0,4.0,3.0
34,"""Wonderful Company""",I worked at Microsoft full-time,The people are great and the innovation being driven is amazing,High pressure and high stress,,4.0,3.0,5.0,5.0
35,"""Meh... Just another company...""",I have been working at Microsoft full-time for more than 10 years,"Smart people. 
Some interesting projects.
Good benefits.","Most management decisions are gut reactions trying to get parity with the competition. 

Performance review *still* uses forced stack ranking: we still must choose people to be labeled under-performance, no matter what.

Management likes to imitate Facebook or Google in what saves money, such as open offices, but not on what makes them great, such as their performance review system.",4.0,3.0,2.0,3.0,3.0
36,"""Great Culture. Boring Job""",I have been working at Microsoft full-time for less than a year,Culture and compensation is great,Job is boring. I got to work on a boring DI part. Basically using Power BI and querying through telemetry data.,5.0,5.0,4.0,5.0,5.0
37,"""Product Advisor at Microsoft""",I have been working at Microsoft part-time for more than 3 years,"Great benefits, flexible schedule, and great work environment","Dealing with angry customers, you need to have patience to work in retail. For professional growth, work here if you are persuing a career related to technology/business.",3.0,5.0,5.0,5.0,3.0
38,"""The only thing constant at Microsoft is ""Change""""",I worked at Microsoft full-time for more than 3 years,"Work and life balance, nice perks.",Constant reorg and/or change of directions; bureaucratic politics,5.0,2.0,3.0,4.0,1.0
39,"""Growth Mindset""",I worked at Microsoft full-time for more than 8 years,Senior Leadership strategy is compelling and inspiring.,Everyone at the company no matter the position is seen as replaceable.,,,,,
40,"""The only thing constant at Microsoft is ""Change""""",I worked at Microsoft full-time for more than 3 years,"Work and life balance, nice perks.",Constant reorg and/or change of directions; bureaucratic politics,5.0,2.0,3.0,4.0,1.0
41,"""Growth Mindset""",I worked at Microsoft full-time for more than 8 years,Senior Leadership strategy is compelling and inspiring.,Everyone at the company no matter the position is seen as replaceable.,,,,,
42,"""Good employer""",I have been working at Microsoft full-time for more than 3 years,"Work-life balance
Working culture is great 
Good cafe","Designer is not project driver. 
UI UX is split",5.0,5.0,5.0,4.0,5.0
43,"""underpay""",I worked at Microsoft full-time for more than 3 years,"learned a lot, some teammates are very friendly",pay too less and work extra hours,3.0,3.0,4.0,3.0,3.0
44,"""Great""",I worked at Microsoft full-time,The best benefits here allow you to thrive,Can't think of any  that stand out,,,,,
45,"""Great place to work at""",I have been working at Microsoft full-time,"You can always find some interesting areas to work on inside Microsoft. Also, it has good work-life balance","Sometimes, dependent on teams, the pace is kind of slow",5.0,5.0,5.0,5.0,5.0
46,"""It could be worse""",I have been working at Microsoft full-time for more than 5 years,It could be worse.  Above average employer.,"Less than perfect, but above average employer.",3.0,3.0,4.0,4.0,3.0
47,"""Can be comfortable""",I worked at Microsoft full-time,"benefits, perks, location parking, facilities","workload, food, comp, facetime, vacation",,,,,
48,"""I want everyone I know to work at Microsoft. It’s that good.""",I have been working at Microsoft ,Great Atmosphere. Learning environment. Diversity and inclusion. The cultural change is real. Great leadership drive.,I hear lunch price is keep going up.,,,,,
49,"""Great place to work""",I have been working at Microsoft full-time for more than 10 years,"Great compensation, benefits, work environment and opportunities",Experience varies by team and position.,5.0,4.0,4.0,4.0,4.0
50,"""Good opportunities, not as extravagant as FAANG""",I have been working at Microsoft full-time for more than 10 years,"-Good training opportunities
-Diversity of engineering positions and domains in the company
-Upper management is making solid strategic plays, not too many big mistakes","-Internal transfer process is more complicated than hiring to other companies
-Seasoned engineers are undervalued vs big tech companies, which put much more of a premium on expertise.",4.0,5.0,4.0,4.0,5.0
51,"""Great""",I worked at Microsoft full-time for more than 3 years,Pay Perks Bonus Time off work from home,Nothing wrong with this company,5.0,5.0,4.0,5.0,5.0
52,"""good company""",I worked at Microsoft full-time for more than 8 years,"good benefits, nice people there","lower-side pay,  less motivated",5.0,5.0,4.0,5.0,5.0
53,"""Great Company""",I have been working at Microsoft full-time for less than a year,Couldn't ask to work any where better.,Not much negatives. Its a very big company so experience varies from team to team.,5.0,5.0,5.0,5.0,5.0
54,"""Great culture, some exception, lower pay that top employers""",I have been working at Microsoft full-time,"culture, people, benefits, executive leadership","pay
hiring bar variable and depends upon the team",,,,,
55,"""Good place to work""",I have been working at Microsoft full-time,Best work environment. Work life balance. good health insurance,sometime Microsoft is moving slow,5.0,4.0,4.0,4.0,4.0
56,"""Awesome""",I have been working at Microsoft full-time,"Pay, staff, shifts, the opportunity to work around technology","Time management, management, no flexibility",,,,,
57,"""Great place to learn and grow""",I worked at Microsoft full-time for more than a year,Amazing collaborative work culture that promotes innovation and sharing of ideas,The pay is competitive but sometimes it becomes challenging to manage work life balance,4.0,5.0,5.0,4.0,4.0
58,"""Great company with awesome work life balance and benefits""",I have been working at Microsoft full-time for more than 10 years,"Lots of options to work products across different domains, personas and technology requirements. Focuses on long-term growth and retention of employees. Top of the class benefits.",Can be political and bureaucratic for someone new to adjust to.,5.0,5.0,4.0,4.0,4.0
59,"""Great Benefits""",I worked at Microsoft full-time for more than 3 years,Lots of Opportunity for advancement,Bureacracy at times but depends on manager,4.0,4.0,4.0,5.0,3.0
60,"""good""",I have been working at Microsoft full-time,work life balance is good,"no free food, lower salary",,,,,
61,"""Good job""",I worked at Microsoft part-time,pay was good but work was hard,work was hard but good pay,5.0,4.0,5.0,5.0,4.0
62,"""Hard to grow""",I worked at Microsoft full-time for more than 5 years,Job Security is promising and you feel safe,It is hard to grow since they only ask you to do your job and you don't get so many chances to show your expertise,2.0,3.0,3.0,4.0,3.0
63,"""Great company, amazing CEO""",I have been working at Microsoft full-time for more than 3 years,"Lots of smart people, good challenges, improved culture",Still some left over bad manager from the Ballmer era that needs to weeded out.,4.0,5.0,5.0,3.0,4.0
64,"""Great Company""",I have been working at Microsoft full-time,Great Perks and Great Benefits,Less Relocation Bonus and Joining Bonus,5.0,5.0,5.0,5.0,5.0
65,"""Average but boring""",I have been working at Microsoft full-time for more than 3 years,"Pay, work life balance, culture, no pressure",Boring job. Enterprise software is stable but not exciting,5.0,3.0,4.0,4.0,3.0
66,"""Hero worship still permeates rewards""",I worked at Microsoft full-time for more than 10 years,"Great benefits, excellent people, lots of cool technology to grow with.","Rewards go to the artificial 'heroes', who work longer, rather than smarter.",3.0,3.0,4.0,4.0,3.0
67,"""Good work life Balance insane Politics""",I have been working at Microsoft full-time for more than 5 years,Work Life Balance is pretty good,Bureaucratic . Tons of Meetings,5.0,2.0,3.0,5.0,1.0
68,"""Awesome company/team for passionate researchers""",I have been working at Microsoft full-time for less than a year,"I'm not sure how jazzed I would be working on other teams at MS, but the team I'm on is basically my dream job. I'm about a year in and I'm thoroughly enjoying the creative, supportive atmosphere and ample opportunities to network and gain research experience.","Given the specific work I do, I have been told that we tend to get paid less than similar roles at other companies. I have they to verify this for myself.",5.0,5.0,5.0,5.0,5.0
69,"""10+ years at MSFT""",I worked at Microsoft full-time for more than 8 years,Very inclusive culture and extremely talented minds all around you. Everyone loves to help peers and the culture is extremely casual,Sometimes long hours or travel,3.0,5.0,5.0,5.0,4.0
70,"""Awesome company/team for passionate researchers""",I have been working at Microsoft full-time for less than a year,"I'm not sure how jazzed I would be working on other teams at MS, but the team I'm on is basically my dream job. I'm about a year in and I'm thoroughly enjoying the creative, supportive atmosphere and ample opportunities to network and gain research experience.","Given the specific work I do, I have been told that we tend to get paid less than similar roles at other companies. I have they to verify this for myself.",5.0,5.0,5.0,5.0,5.0
71,"""10+ years at MSFT""",I worked at Microsoft full-time for more than 8 years,Very inclusive culture and extremely talented minds all around you. Everyone loves to help peers and the culture is extremely casual,Sometimes long hours or travel,3.0,5.0,5.0,5.0,4.0
72,"""Overall, a great place to work""",I worked at Microsoft full-time for more than 10 years,"Microsoft offers opportunities not available elsewhere, simply due to size and scale. Pay and benefits are decent.","While Satya has worked to change the culture to be more diverse and inclusive, there are still pockets where speaking up to challenge status quo are still frowned on.",3.0,4.0,4.0,4.0,3.0
73,"""Good but too large for me""",I have been working at Microsoft full-time,"Cool company, large and has diverse impact",A bit slow moving and can be large bureaucracy,5.0,5.0,5.0,5.0,5.0
74,"""Okay""",I worked at Microsoft full-time,"Benefits,pay,coworkers, nice buildings, relax area",No career advancement unless management like you,,,,,
75,"""Great place to work""",I have been working at Microsoft full-time for more than 8 years,"Mentoring help, Great benefits, location","Hierarchical ,Top down, review system sucks",3.0,4.0,4.0,4.0,4.0
76,"""Nice company""",I have been working at Microsoft full-time,"nice work-life balance, good perks","Too much politics, sometimes boring projects",,,,,
77,"""No complaints""",I have been working at Microsoft full-time for more than a year,"Good compensation, tons of resources","Difficult to get promoted, difficult to make changes",5.0,4.0,3.0,5.0,4.0
78,"""Great company to work for""",I have been working at Microsoft full-time for more than 3 years,Great work life balance and flexible hours. Good pay and stock has been doing very well.,Legacy engineering systems which evolve too slowly,5.0,4.0,4.0,4.0,4.0
79,"""Complexed feeling""",I worked at Microsoft full-time for more than 3 years,"1. Learn most advanced industry standard software developing process.
2. Ship top quality level product can influence billions of people.",Has Cons that all big companies have.,5.0,5.0,4.0,4.0,3.0
80,"""Complexed feeling""",I worked at Microsoft full-time for more than 3 years,"1. Learn most advanced industry standard software developing process.
2. Ship top quality level product can influence billions of people.",Has Cons that all big companies have.,5.0,5.0,4.0,4.0,3.0
81,"""Good""",I have been working at Microsoft full-time,"Good environment and colleagues, managers",Too big too corporate and easy to drown,,,,,
82,"""Amazing""",I have been working at Microsoft full-time for more than 8 years,Very kind people to work with,Politics Has been a bit brutal,3.0,4.0,5.0,4.0,3.0
83,"""Good opportunities but with a price""",I worked at Microsoft full-time for more than 10 years,"Exposure to many disciplines, diversity and challenges to solve. Global footprint.",Excessive work load with expectation often to work many hours consistently. Still progress to make with recognizing contributions of individual and rewarding contributing to others' successes.,1.0,2.0,4.0,4.0,3.0
84,"""Great culture and benefits""",I have been working at Microsoft full-time for more than 5 years,"The culture change during Satya leadership is visible and provides positive impacts across all aspects of work. Benefits are great, in addition to usual benefits there is a lot of focus on giving back to the community and providing matching gifts also for volunteer time.",Continues to have pockets of resistance to cultural change and 'old boy networks',4.0,5.0,4.0,5.0,5.0
85,"""Unlimited amount of work""",I have been working at Microsoft full-time for more than a year,"Huge organization, so you are never asked to do something outside of your job scope",My team is very undermanned and has high turnover. No end in sight due to hiring being slow.,4.0,4.0,5.0,5.0,5.0
86,"""Whatever you do, make sure you get along well with your manager. Nothing else matters.""",I worked at Microsoft full-time for more than 8 years,"- Outstanding benefits, including medical insurance, 401K, time off
- Great name to have on your resume
- Think big","- Mid level leaders haven´t adjusted to the new culture, so they are causing employee sat issues and churn
- Still not a good place for introverts...although the culture is evolving
- Poor performance evaluation system. Managers don´t care about your performance and how you have helped or enabled others. 

Advice: Whatever you do, make sure you get along well with your manager. Nothing else matters.",2.0,,5.0,1.0,
87,"""Great company to work for, but longterm growth stalls out""",I have been working at Microsoft full-time for more than 5 years,Excellent benefits and broad opportunities within the company,Advancement incredibly slow and often encouraged to leave and return in order to accelerate growth at the company,4.0,4.0,4.0,4.0,3.0
88,"""Great benefits""",I worked at Microsoft full-time for more than 10 years,Amazing benefits and perks. Total compensation very competitive,"Very hard to navigate culture. Very political environment, driven by performance rewards",2.0,2.0,5.0,5.0,2.0
89,"""Great place to start your career""",I have been working at Microsoft full-time for more than 3 years,"Great place to learn useful state-of-the-art technology in a (mostly) laid back atmosphere.
Great benefits, including 50% 401(K) match up to the IRS max (~19k).","Sometimes politics gets in the way of getting things done.
Some teams/orgs are better than others, so you have to detect when things are not going well and switch teams.",4.0,4.0,4.0,4.0,4.0
90,"""Great place to work if in Azure""",I have been working at Microsoft full-time for more than a year,"Good work life balance
Good management and culture","- Below average pay
- Infrequent promotions",5.0,5.0,4.0,2.0,5.0
91,"""Good Company to work for""",I have been working at Microsoft full-time for more than 5 years,"401k match, benefits, insurance plans, paternity, maternity",Need to be in right team to reap the benefits of the company,4.0,4.0,4.0,4.0,3.0
92,"""PM at Microsoft""",I have been working at Microsoft full-time for more than 5 years,"Ethical company that's doing well
Satya Nadella is an awesome leader","Partner teams often don't get along well
In some orgs, it feels like we're always playing catch up to our competitors
Easiest way to move up is to leave and come back later",5.0,4.0,3.0,5.0,4.0
93,"""Great place to make a career""",I have been working at Microsoft full-time for more than 3 years,"Good opportunity to grow. 
Team members are supportive.",Can be hierarchical at times,4.0,4.0,5.0,4.0,4.0
94,"""Best of the tech giants""",I have been working at Microsoft full-time,"Terrific work/life balance. Culture shift towards empathetic, user-first product development and innovation thanks to Satya","Historically engineering-first, feature-driven work culture; extra effort for designers to do some convincing on behalf of the end users...",5.0,4.0,4.0,5.0,4.0
95,"""Interview process for working at Microsoft""",I worked at Microsoft full-time for more than 5 years,Great atmosphere and great pay,None that really come to mind,4.0,4.0,3.0,4.0,4.0
96,"""Microsoft is still a good company""",I have been working at Microsoft full-time for more than 5 years,Microsoft overall Azure cloud development and operation is good.,CSS is misaligned with development.,4.0,5.0,4.0,4.0,4.0
97,"""A decent place to work, but not without issue.""",I worked at Microsoft full-time for more than 3 years,"Broad range businesses, lots of internal mobility opportunities. Culture trending in a positive direction (at least when I left). Lots of smart people. Pay + benefits generally competitive for the area, but not always up to par with the FAANG,","Artificial separation and politics between business units that makes it harder to get things done.  At least in my org, some very short-sighted decisions that didn't make much sense.",3.0,3.0,5.0,4.0,4.0
98,"""Tell it how it is.""",I worked at Microsoft full-time for more than 5 years,"Great Company, great benefits, looking to do the right thing.",Your portfolio of customers is changed every year so you don't get to actually build long lasting relationships with your customers.,2.0,5.0,4.0,4.0,2.0
99,"""hi""",I worked at Microsoft full-time for more than a year,office work not heavy lifting,sitting all day makes for a slow day,,,,,
100,"""Review""",I worked at Microsoft part-time for less than a year,Good company to work for,Pay scale is not great,3.0,,4.0,3.0,
101,"""Great Place to work and great work life balance""",I have been working at Microsoft full-time for more than a year,"amazing work life balance
very intelligent and capable thinkers and doers
lot's of focus on culture and D&amp;I of all forms","huge, slow moving, corporation",5.0,5.0,5.0,4.0,4.0
102,"""Not a Job! Microsoft is my Home!""",I have been working at Microsoft full-time for less than a year,"Since College, my dream was to Join MICROSOFT, has been a long journey, 10 Years working with top Finance Corporations Globally, today I can say, ""Microsoft, I'm Home!""

Thank you all for the fantastic opportunity and privilege to be part of such amazing company that leads Global Tech-Transformation. 

#PalabraDeAmor
#Microsoft
#KeepDreaming
#Feb2020",No Cons! Microsoft has a fantastic Work/Life balance and great leadership,5.0,5.0,5.0,5.0,5.0
103,"""Amazaing place to work, but hard to spend your entire career there.""",I worked at Microsoft full-time for more than 10 years,"- Ability to impact an entire industry
- Freedom to move within the company as your interests change","- You need to be able to take strong feedback
- The longer you are there, more internal politics impact your career growth",3.0,2.0,5.0,4.0,3.0
104,"""It's all about your connections, the stack rank and the MS bottom line.""",I worked at Microsoft full-time for more than 10 years,"If you find a good manager to work for (they're rare), you'll do fine.  Comp is decent.  That's how it was for me for 18 or so years.  Mostly good people solving tough problems in a super-fast paced environment.","They cut engineering staff by a minimum of 10% every year.  No matter what.  Even top performers will be asked to go eventually, since they promote folks  into a band without their consent (but you'll like it because comp will go way up at first).  Also, it was very political at Principal level and higher.  I know this because they kept a widely-known dumpster fire of a manager around by consistently reassigning him to other projects.  There's more, but I'm saving it for a tell-all book.",1.0,1.0,1.0,3.0,1.0
105,"""Its a big tech company. Its what you'd expect""",I have been working at Microsoft full-time for more than a year,"Good Pay and benefits, largely hands off manager",The work environment makes the things you work on not worth caring about.,5.0,1.0,5.0,5.0,4.0
106,"""Great company""",I worked at Microsoft full-time for more than 3 years,"Smart people, interesting projects etc",Night and weekends 'pager' duty,4.0,4.0,5.0,5.0,4.0
107,"""Amazing Company""",I worked at Microsoft full-time for more than a year,"- Fantastic opportunities within the company; easy to transfer internally
- Good company culture and mission
- Collaborative environment","- Excessive re-organizations
- Limited upward mobility with too many managers-for-life",,,,,
108,"""Great company to work for""",I worked at Microsoft full-time for more than 8 years,Mature company with mature leadership,Could move faster against competitor,5.0,5.0,4.0,5.0,4.0
109,"""Great place to work. Did see some back stabbing with upper management.""",I worked at Microsoft full-time for more than 8 years,Great benefits and salary; they really take care of you.,No complaints while I was there.,4.0,5.0,5.0,5.0,4.0
110,"""Don't join the Dynamics org""",I have been working at Microsoft full-time for more than a year,"If you have a family, Microsoft benefits are best in class, for health insurance and 401k matching among other reasons.","The Dynamics org has tone-deaf management that no one trusts due to their frequency of allowing retaliation to happen against their employees.
In particular, the location of South Bellevue is poor, especially for lateral moves, as any sort of networking happens on their main Redmond campus.",4.0,2.0,2.0,4.0,2.0
111,"""The new 'Good Place'""",I worked at Microsoft full-time for more than 5 years,"Good salary, great growth potential, good stock growth, excellent benefits. Really nice if you like developing on a PC, or with .NET tech. Incredible work life balance.",Stock grants are quite low for the industry. Easy to stagnate and become too cushy. Management culture is quite hierarchical and decisions are made very top-down.,5.0,5.0,5.0,3.0,5.0
112,"""Good Place""",I have been working at Microsoft full-time,Good Benefits and positive work environment,None to management for now,,,,,
113,"""Great place to work. Very competitive. Growth is easy when handled well""",I have been working at Microsoft full-time for more than 10 years,"Leadership (mainly Satya)
Growth mindset
Nature of work
Opportunities
Technically smart people","Diversity and Inclusion are great, but are being misused and weaponized unfortunately at all levels. People who don't deserve a promotion, often get it these days.",2.0,4.0,5.0,4.0,4.0
114,"""Great""",I have been working at Microsoft full-time,Big campus at hq has lots of amenities,Night meetings With India team,,,,,
115,"""Good""",I worked at Microsoft full-time for more than 3 years,Nice people. Good culture. Stimulating projects.,None come to mind. Mostly good.,5.0,5.0,5.0,5.0,5.0
116,"""Great Company to work for""",I have been working at Microsoft full-time for more than 5 years,Awesome company to work for,Little room to move up in the company.,4.0,5.0,3.0,5.0,4.0
117,"""Amazing""",I have been working at Microsoft full-time for more than 5 years,Good environment and truly helpful people,Not too much growth in terms of career,5.0,5.0,5.0,5.0,5.0
118,"""Good perks WLB""",I have been working at Microsoft full-time,Enjoyed my time there.,No free food which is atypical,,,,,
119,"""Good place to work""",I have been working at Microsoft full-time for more than a year,"Benefits, salary, parental leave, team work","Work life balance doesn't exits here. you are almost 24/7, customer  support and internal training etc.",2.0,5.0,5.0,5.0,3.0
120,"""Great company""",I have been working at Microsoft full-time,Projects are intersting and challenging,No free food like other companies,5.0,5.0,5.0,5.0,5.0
121,"""HR Has Weaponized Identity Politics""",I have been working at Microsoft full-time for more than 5 years,Pay is incredible for what people do.  Benefits are outstanding.  Most people are good to work with and very smart.,"HR Has weaponized Inclusiveness and Diversity to mean, ""white men please leave"".  And there's a heightened culture of victims in waiting.  The statement ""everyone has a personal truth"" means you can get in trouble for anything.  There are even policies about words and phrases to use that HR wants you to use, but if those preferred words and phrases offend someone you are in trouble.  And there are quiet talks by managers about how the rules are different for white men.  One message is that if a white man sees someone of another category harassing or intimidating someone, they aren't allowed to report.   
If you are of a protected class this doesn't apply and you definitely should work at Microsoft.  You'll be treated fairly.",3.0,3.0,3.0,5.0,3.0
122,"""Microsoft Review as Program Manager""",I worked at Microsoft full-time for more than 5 years,Great company! Great benefits and perks!,Depends on which team u get into.,,,,,
123,"""Hierarchical and bureaucratic but growing fast""",I worked at Microsoft full-time for more than a year,"Growing fast - Azure business is resonating with large enterprises
Lots of room to define success for yourself","Highly bureaucratic
Very hierarchical.  Slow moving.",5.0,5.0,3.0,2.0,5.0
124,"""Nice place to work (depending on the team)""",I worked at Microsoft full-time for more than a year,Casual. The campus in Redmond is huge. there are a lot of different things to work on (aka you can switch teams fairly easily).,"Sometimes too big can be annoying for typical reasons, but overall it's a great place to work.",5.0,5.0,5.0,5.0,5.0
125,"""Great Comany""",I worked at Microsoft full-time for more than 10 years,A lot of smart people around.,It is hard to be promoted.,4.0,5.0,3.0,4.0,5.0
126,"""Best company I've ever worked for.""",I worked at Microsoft full-time for more than 5 years,"If you love technology, Microsoft is a great place to work for. You learn a lot that will help you succeed. But, it's more than the technology that makes it a great place, it's the people that work there. Not only are they very helpful, but also very friendly and caring.","Some members of management may seem to be cool, but some cannot be trusted.",4.0,5.0,4.0,5.0,4.0
127,"""Work here""",I have been working at Microsoft full-time,Great work life balance and interesting work.,The Seattle-Redmond commute is getting worse.,,,,,
128,"""Excellent culture, vision, and work-life balance""",I worked at Microsoft full-time for more than a year,"I can't say enough good about my time at Microsoft. The work culture was excellent. Driven colleagues, pushing the boundaries of what is possible with developer tools. I have so much respect for my manager. She guided me to a fulfilling two years in my position, and helped me achieve incredible work life balance.","The company can feel large at times, as you'd expect. Some of the internal systems are out dated (expense reporting, I'm looking at you).",5.0,5.0,5.0,5.0,5.0
