,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
61,"""Experience dependent on direct manager / unknown future for HP""",I have been working at HP Inc. full-time for more than 3 years,"Dion did a good job, no opinion on new CEO.","Declining market, going through org changes to plan for future....15% layoffs for new CEO is a bold move.",4.0,5.0,4.0,4.0,3.0
62,"""Great company moving in the right direction""",I have been working at HP Inc. full-time for less than a year,Business work life is very well balanced,The best way to move up the pay scale is jumping between jobs,5.0,4.0,3.0,3.0,4.0
63,"""Good company culture""",I have been working at HP Inc. full-time for more than 8 years,"Good company culture, Flexible working hours","Job insecurity, hard to get promoted",,,,,
64,"""Great company to work for""",I worked at HP Inc. full-time for more than a year,"- Great coworkers who are smart, hard-working, friendly
- Good perks that come with a big company: college tuition reimbursement, onsite gym &amp; workout classes, onsite volleyball court &amp; soccer field (these might have gotten taken down though) occasional free lunches, etc.
- Generally pretty good retention--lot of mentors/people to learn from","- Older company that was downsizing a lot--over the ~2 years I was there, I saw the physical campus shrink in size to be 1/3 of the original size.
- Having company stock doesn't mean very much",5.0,5.0,4.0,4.0,5.0
65,"""Reinventing or just hanging on?""",I have been working at HP Inc. full-time for more than 10 years,"Easy work
Highly predictable and repeatable work
Great quality of life",Management is in denial of business outlook and leadership is risk adverse.,4.0,2.0,2.0,2.0,1.0
66,"""Meh - 2 and half stars at best""",I have been working at HP Inc. full-time,"+ Great people in IC roles
+ Management consists of mostly good people and relatively transparent 
+ Minimal bureaucracy
+ Nice offices and flexibility w/ remote work","- watch your back if you are over 50
- watch your back if you are a US-based employee
- salaries are not competitive 
- minimal opportunities for advancement, if you are based in US
- awful products to get behind; this company will become as relevant as Acer in the next 10 years.",4.0,3.0,1.0,4.0,2.0
67,"""Good workplace""",I have been working at HP Inc. full-time,Great company to work for,Training is less than expected,2.0,,5.0,5.0,
68,"""Inside Account Manager""",I have been working at HP Inc. full-time for more than 5 years,"1. Great Work-Life Balance
2. Improved internal career advancement opportunity
3. Collaborative culture","1. Dismal investments in people development - specifically around new employee onboarding experience (completely inconsistent based on which team and/or organization you end up in)
2. Competitive pay - From a tech company perspective, HP is more of a GE t rather than your Googles and FB.  Market competitiveness for pay is at mid-low range rather than the top of the industry.",5.0,5.0,4.0,3.0,5.0
69,"""Was Ok""",I worked at HP Inc. full-time for more than 10 years,For the most part the people were nice to work with,Upper management started getting to micromanagement,1.0,3.0,3.0,3.0,1.0
70,"""OEM""",I worked at HP Inc. full-time for more than 8 years,"Great People, Great Product, Great Everything",None to offer at this point.,5.0,5.0,5.0,5.0,5.0
71,"""Good company""",I have been working at HP Inc. full-time,"Independency, company vehicle, generous benefit package.",Currently going through many changes.,,,,,
72,"""A fun workplace full of smart people""",I worked at HP Inc. full-time for more than 5 years,"The people are fun to work with. The work is interesting for a mechanical engineer. If you are early to mid career, there are many experienced people who can help you to become a much better engineer.",It suffers from some extra bureaucracy from the fact that teams are spread out all over the world and because manufacturing is out-sourced to a separate company.,4.0,4.0,5.0,3.0,3.0
73,"""WAS a great company, too many questionable practices""",I have been working at HP Inc. full-time for more than 8 years,"Colleagues, benefits, flexibility, meaningful, reputation","Politics, unsavory leaders, unethical behavior, bureaucratic processes",4.0,1.0,1.0,5.0,1.0
74,"""Amazing company to work with""",I have been working at HP Inc. full-time for more than a year,"No dress code, company focuses on career development, travel is optional in most positions, company closes Christmas week giving extra vacation days",Outsourced labor makes it difficult to gain an entry level position in the US,5.0,5.0,5.0,5.0,5.0
75,"""good company""",I have been working at HP Inc. full-time,great people and good culture,no bonus and not growing,,,,,
76,"""No career opportunities. Contractor position. Only PM and higher jobs are good. No career improvement.""",I have been working at HP Inc. full-time for more than 5 years,- None for contractors that don't aspire to become managers.,"- Upper management does not consider current group for new positions.
- Highly political. Must look good to be hired. Not merit based at all.
- Preferential status is given to people. Family hiring common. Ethnicity preferential hiring common.
- Lots of overseas commitment. Night meetings are a must for perm hires.",3.0,3.0,1.0,1.0,1.0
77,"""Morale""",I have been working at HP Inc. full-time for more than 5 years,"Great place to work, many opportunities, and encouraged development.",Limited locations and not seeming to grow.,4.0,5.0,4.0,5.0,4.0
78,"""A good company. Not a great company""",I worked at HP Inc. full-time for more than 8 years,"Open to flexible/remote employment (but less so now than in the past)
Not a dog-eat-dog environment.
Ethical and cares about hearing the voice of the worker.","No stock unless you're a manger - does nothing to retain top talent.
Stingy company. Squeak when you walk budgets. Even travel is rare.
They always want to hear your voice, but nothing ever seems to change.",5.0,3.0,2.0,3.0,2.0
79,"""Continuing to Struggle""",I have been working at HP Inc. full-time for more than 10 years,"Foundations of the HP culture make it a good place to work...if you're working for a long-time HP manager
Work-life balance is still good","Slow to adapt to changing market dynamics
Continuous reorganizations, downsizing exercises, etc",,,,,
80,"""A place that drives hard, innovates, and cares about it's people""",I have been working at HP Inc. full-time for more than 10 years,"I have worked at HP for 17 years.  I've had 11 different jobs, and have seen a lot.  This is a place that truly values people, customers, and it's broader mission to the world across diversity, environmental responsibility, and many other areas.","Tech moves fast.  HP Inc. does as well, so hold onto your seat.",4.0,5.0,5.0,4.0,5.0
81,"""Great place to build a resume""",I worked at HP Inc. full-time for more than 8 years,They pay well.  Huge focus on Integrity. Working at a Fortune 50 company teaches you things,"Many 30 year employees are bitter about 'how it was'. Huge company = lots of bureaucracy.  Truth is, though, much of it is needed.  It's hard but it's reality.",5.0,4.0,4.0,4.0,4.0
82,"""Unfocused bureaucracy""",I worked at HP Inc. full-time for more than 5 years,Good process and procedures for development and company culture. Benefits are solid in all aspects,Company was trying to find its focus while in the midst of years-long restructuring and executive missteps and scandals.,4.0,4.0,3.0,5.0,2.0
83,"""Project Manager: Operations, Process Improvement, Technology Upgrades, Customer Retention""",I have been working at HP Inc. full-time for more than a year,Great culture with amazing benefits and coworkers.,Outdated systems and infrastructure with non-automated systems,5.0,5.0,5.0,5.0,5.0
84,"""Company supports growth and continued education""",I worked at HP Inc. ,Leadership continued education teamwork and healthcare,Schedule and workload is sometimes inconvenient,,,,,
85,"""Great People""",I have been working at HP Inc. full-time for more than 10 years,The best people that I have been working with in my career. I am fortunate to be in the good teams where colleagues are always willing to help and patient and fun to work with. Direct managers are easy to work with and put serving and growing the engineers in the first place.,the future of the company is not super exciting. do not expect a lot of bleeding technologies in your daily work. higher management could do a better job in leading this (at least used to be) great company,4.0,4.0,3.0,3.0,2.0
86,"""Great work life balance, little to do (contractor at HP inc through Kforce)""",I have been working at HP Inc. full-time for less than a year,"Zero micromanagement
Lots of freedom
Good pay
Great work life balance
They do seem to care about my well being
Ping Pong","The pace of work is slooooooow at HP Inc (good and bad).
As a contractor, I'm pretty certain that regardless of how hard I work, I'll be the first to be laid off in a recession.",5.0,3.0,3.0,5.0,3.0
87,"""A great place to work""",I have been working at HP Inc. full-time for more than 10 years,"Extremely diverse workforce and really great people to work with. The acquisitions HP has made over the years have melded well with their HP way. Remember Silicon Valley exist due to Bill and Dave, and HP hasn't forgotten the importance of their workers lives and careers.","This is an extremely competitive industry to be in, PC's and Printers are ubiquitous and fighting for market share will always be the future.",4.0,5.0,4.0,4.0,4.0
88,"""Great Company to work for""",I worked at HP Inc. full-time for less than a year,"Lots of smart people, great work/life balance",Maybe the job security could be a little better,5.0,4.0,4.0,4.0,
89,"""Executive Assistant""",I worked at HP Inc. full-time for less than a year,Discount for workout on campus,"No job security, revolving door",1.0,1.0,1.0,5.0,1.0
90,"""Okay""",I worked at HP Inc. full-time,"Minimal Travel, Good Benefits, Solid Pay, Awesome Direct Management","Giant, top-heavy corporation made it feel like I was part of a government agency",,,,,
91,"""Many Pros""",I have been working at HP Inc. full-time,"Many Events
Modern Workplace
many pros etc...",I don't really have any.N/A,,,,,
92,"""I Loved the culture""",I have been working at HP Inc. full-time for more than 5 years,"Management is conscious of a family/work life balance and encourage you to make sure they stay balanced.  Of course there are times for nights and weekends to get a feature caught up, but that does not happen often.
The culture was always fun, and I enjoyed my team. We have an annual review to check if we are happy where we are, what our goals are, if we'd like to move to a new department/team/etc - HP to me seemed interested in making sure people feel happy and productive and are willing to help get that balance.
Able to come and go as my sch","It's a large company so the typical cons that go with that also apply here (ie management helps and wants you to succeed, but upper management doesn't know individuals).",5.0,5.0,5.0,5.0,4.0
93,"""Great when EDS but downhill from there""",I worked at HP Inc. full-time,Work/Life Balance was good here,Job outsourced after almost 30 years with the company,,1.0,,,
94,"""Updating with the times""",I have been working at HP Inc. full-time for more than a year,Company is adjusting to the modern digital landscape.,"There are adjusting pains, it will take time to sort.",5.0,3.0,3.0,3.0,4.0
95,"""Not like it used to be""",I have been working at HP Inc. full-time for more than 10 years,Very good work life balance,Fear of workforce reduction is a constant worry,4.0,3.0,3.0,3.0,3.0
96,"""HP is great place to work""",I have been working at HP Inc. full-time for more than 10 years,"HP has an excellent, ethical culture.  Open to diversity and the company is focused on environmental impact, social impact.  Great benefits package.",Work life balance is difficult as everyone works really hard and often long hours.  This is somewhat dependent upon the job and direct manager.,2.0,5.0,4.0,4.0,4.0
97,"""Great company and people - no growth.""",I have been working at HP Inc. full-time for more than 10 years,talented people with great brand and strong history,tons of cost pressure due to no growth in biz,4.0,5.0,3.0,3.0,5.0
98,"""Great work environment, good benefits""",I worked at HP Inc. full-time for more than 10 years,"Loved working there, my managers were great and work was good. They gave us good tools and I liked being in the field. The job training was great too. Best job I ever had.",Some field jobs were a little stressful at times. I guess that came with the job.,4.0,5.0,5.0,5.0,5.0
99,"""Nice people good pay challenging work questionable leadership""",I have been working at HP Inc. full-time for more than 10 years,"Great people in general 
Good pay
Challenging work
Mostly stable","Stressful
Poor work life balance at times
Promote men or male qualities
Not risk taking
Not cool or attracting young people",3.0,4.0,3.0,4.0,3.0
100,"""Good people, stagnant thinking, uncompetitive salary and benefits""",I have been working at HP Inc. full-time for more than 5 years,"It’s surprising when you run into some very sharp people working at a stagnant legacy tech company, but really, there are very good people to work with at HP.","For a company that has focused on essentially 2 things forever, it’s unsurprising that change is hard. However, with all the profit printing cartridges have rung up over the years, HP management and CTO really failed to ever invest in the “next business.” 3D print may become a good business over time, but it cannot be the only business. For a company that has the muscle and makeup for building hardware, HP has been inept at acquiring or home-growing any growth businesses.",4.0,4.0,3.0,2.0,2.0
101,"""Great Work/Life Balance""",I have been working at HP Inc. full-time for more than a year,"Competitive pay
Work from home options",Compensation is not so great,5.0,5.0,5.0,3.0,5.0
102,"""going down in flames""",I worked at HP Inc. full-time for more than 10 years,cant really think of any,"CEO bailed for ""medical reasons""  ,  entire division going through re-org with no plan and layoffs pending",,,,,
103,"""nice location , good people""",I have been working at HP Inc. full-time,good life work life balance,benefits could be improved further,,,,,
104,"""Financial Services Subsidiary of HPE""",I worked at HP Inc. full-time for more than 10 years,"Long term leadership continuity, collaborative and supportive environment","challenges to long term business growth, continued downsizing, reduction in benefits, lack of market based compensation",4.0,4.0,2.0,2.0,4.0
105,"""HP is a company focused around its people""",I worked at HP Inc. full-time for more than 3 years,"- Work/Life balance is great
- People are truly friendly and always willing to help you in your role
- Ability to move into different parts of the organization and grow laterally (I did this twice in my 3-year tenure)
- Strong growth potential as an industry in 3D printing (especially manufacturing) with HP well positioned to dominate the space
- Campus in Silicon Valley is one of the best locations available in the South Bay
- If you are above average, higher-ups recognize that and will put you in opportunities to grow","- Salary is below other technology companies in the Silicon Valley area
- Below average bonuses at year-end
- Depending on what sector you want to be in, limited growth as an industry in the PC space",5.0,5.0,4.0,3.0,5.0
106,"""Great place to work""",I have been working at HP Inc. full-time for more than 3 years,Invest in their employees,None this place was great and advanced my career,5.0,5.0,5.0,3.0,4.0
107,"""Pretty good company""",I have been working at HP Inc. full-time for more than 10 years,HP has the greatest people around.,The printing business is going down and HP is slow to get into other businesses.,5.0,5.0,5.0,5.0,4.0
108,"""Solutions Architect at HP Inc.""",I have been working at HP Inc. full-time for more than a year,Love the products and the people,"This is a large company with established protocols, and this can be challenging",5.0,5.0,5.0,5.0,5.0
109,"""Great Place To Work""",I have been working at HP Inc. full-time for more than a year,"Some of the best management teams in sales.
Plenty of training.
Extremely understanding when it came to time off.","C-Level is out of touch.
Constantly changing metrics and how we track them.",5.0,4.0,5.0,5.0,3.0
110,"""HP has lost its way""",I have been working at HP Inc. full-time for more than 10 years,"*Health benefits are good. 
*Employee onsite perks, gym, volleyball, basketball and soccer. 
*Free printing services.","*Employee discount is a joke, Costco is cheaper. 
*”HP Way” aka the culture that made is such a great place to work was buried with Bill and Dave.  
*Too much management, poor management at that stemming from the top down. 
*No clear direction for future, major decisions have been very poor short term answers. 
*Steadily outsourcing all of the work to other countries.   Very little left in the U.S.  
*No funding for innovation. They expect you to do it on your own time and dime and give it to them.",1.0,1.0,1.0,2.0,1.0
111,"""Large fast paced and competitive""",I worked at HP Inc. full-time for more than 10 years,Great opportunity for experience with outstanding global work force,"Male dominated, communications down to employees needs improvement",5.0,4.0,5.0,5.0,4.0
112,"""company""",I have been working at HP Inc. full-time for more than 5 years,clear strategy and continue to reinvent,matured industry. lack of growth,5.0,4.0,3.0,3.0,4.0
113,"""Good Company, Uncertain Future""",I worked at HP Inc. full-time,"Great people, including peers and low level managers",Recent employment decisions seem questionable for the company's future performance,,,,,
114,"""GREAT COMPANY!""",I have been working at HP Inc. full-time for more than 5 years,Flexible and good work life balance,Hard to advance up the management chain,,,,,
115,"""Great Place""",I have been working at HP Inc. full-time for more than 5 years,Great environment and inclusion.  Innovative products.,"Poor tools, lower pay, upper management out of touch. Poor facility when compared to other technically companies.",4.0,4.0,4.0,2.0,3.0
116,"""Plus""",I worked at HP Inc. full-time for more than 3 years,Happy to work with world-class team,"Turbulent upper executives, many changes in the 2012-2015 period",4.0,3.0,4.0,4.0,3.0
117,"""Excellent Opportunities and Competitive Pay""",I have been working at HP Inc. full-time for more than 3 years,"- Approve of the CEO
- Pay is competitive with other vendors in the same arena","- Sometimes the work can be a little monotonous.
- Expect to travel.  A lot.
- Living out of a suitcase.",2.0,3.0,4.0,5.0,3.0
118,"""A Blur between  Life and Work Balance""",I worked at HP Inc. full-time for more than 3 years,There are really good relationships,"Special clicks, favoritism, outsourcing of jobs, etc",1.0,1.0,1.0,1.0,2.0
