,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
82,"""Horrible""",I worked at Samsung Electronics full-time for less than a year,Pay is the only good thing,"Hours, Upper management, PTO, having to work a lot and not getting paid because of being salary",1.0,1.0,2.0,5.0,1.0
83,"""Disappointing""",I worked at Samsung Electronics full-time for less than a year,"Benefits, people worked with were nice.",Very little growth or opportunity.,,,,,
84,"""Poor management""",I have been working at Samsung Electronics full-time for less than a year,"Tech, location, nothing else to mention",Too many people from the same nationality,1.0,1.0,1.0,2.0,1.0
85,"""I was working full time as a Sr QA Engineer""",I worked at Samsung Electronics full-time for more than a year,"Great brand, Great company cool perks if applicable","Poor work life balance, horrible management, hard to move on or move up if you are not one of them or friends with someone in upper management",1.0,1.0,1.0,4.0,1.0
86,"""If your young with no family and don't mind being micro managed great job.""",I worked at Samsung Electronics full-time for more than a year,Good pay and benefits. First hands on of latest devices. Representing one of the top brands available.,"Look at the track record for the last 10 years layoffs, third party, micro managed. Black out from vacation for almost 6 months Thanksgiving - March 22nd and then summer time almost 2 months. Working every Saturday, Sundays mixed in and major holidays. Feeling of results only not there to help field teams succeed but to insure they are doing their jobs.",3.0,2.0,2.0,4.0,2.0
87,"""Great Company""",I have been working at Samsung Electronics full-time,Benefits are top notch and affordable.,Restructuring resulting in loss of postions.,,,,,
88,"""Enterprise Account Manager - Mobility""",I have been working at Samsung Electronics full-time for more than 5 years,Freedom and flexibility to run your business from home. Premier leading brand in tech.,Leadership is constantly changing sales strategy. Compensation Plans are never concrete. Executive leadership is a rotating door.  Korean leadership from HQ still plays an influential role in sales cycle and often times over promises and puts opportunities at risk. No faith in current leadership. Overall morale of the sales team is low. Constant resignations of sales team to competitors.,3.0,2.0,3.0,4.0,1.0
89,"""Only a brand name""",I worked at Samsung Electronics full-time for more than 5 years,Work life balance is good,"No growth, mediocre salary, office politics",4.0,2.0,2.0,3.0,1.0
90,"""Great until layoff""",I worked at Samsung Electronics full-time for more than a year,"Great Benefits , Perks,",Not every district is aligned with HQ,1.0,3.0,3.0,4.0,2.0
91,"""Great""",I worked at Samsung Electronics full-time,Great plans for the heads,Great place to leave your past,4.0,4.0,4.0,4.0,4.0
92,"""Stay Away SEHA!!!!""",I have been working at Samsung Electronics full-time for less than a year,"You get a paycheck, 10 days of PTO (for the entire year), No vacation time, health benefits are good","This is the most unethical, unorganized, and unstable place I have ever worked at. Be prepared to work six days(12 hours)/week. This is great if you are an hourly associate since you will receive overtime pay. However, if you are salary do not expect to receive overtime pay.  Supervisors are paid $12.50/hr on Saturdays.  That's right $12.50/hr on Saturdays. We make less than  hourly associates on Saturdays. Area Leaders make more than supervisors with all the overtime we are working. Some Area Leaders base pay is over $20/hr and $30+ with overtime. Supervisors are well underpaid (salary range $49k-$70k+) when considering the amount of time spent in the plant as well as the workload.  There is a major disconnect between HR and supervisors on the production floor.  We are treated like incompetent children by HR. They do not take the time to establish a professional relationship with us. The communication between HR and management here is extremely poor. There is no chain of command in the way information is delivered.  Quite often the associates will receive pertinent information before the supervisor. This place is also not a safe place to work at.  Safety is not a top concern to upper management. The turnover rate is alarming high. We lost at least 20 salary employees within the month of July alone. I have been working at SEHA for less than six months and I am leaving as soon as I find another job.",1.0,1.0,1.0,2.0,1.0
93,"""excellent respect given and received""",I worked at Samsung Electronics full-time for more than 3 years,multitasking is recognized and you work  w authority,"sometimes hastily reactions equaled decisions on 
impulses",4.0,5.0,5.0,4.0,4.0
94,"""Meh""",I have been working at Samsung Electronics full-time,Good experience and lots of ownership,Treated poorly and no work life balance,2.0,1.0,2.0,4.0,2.0
95,"""Highly motivated engineer""",I worked at Samsung Electronics full-time for more than 10 years,"Mechanical engineering, Process improvement, Cost reduction, Process Innovation, and Development of creative idea.  Quick learner as highly motivated engineering mind.",Sharing information with Oversea facilities,3.0,5.0,3.0,3.0,4.0
96,"""Weird culture""",I worked at Samsung Electronics full-time for more than a year,Offered some exciting opportunities and pay was ok,"Weird company culture, lots of politics",5.0,1.0,4.0,5.0,1.0
97,"""Cool, Small and Excelling team within the big company""",I have been working at Samsung Electronics full-time for more than a year,"- Able to work from scratch
- Being able to put one's own thoughts into process 
- Very supportive team for a combined success","- Not a big infrastructure in place, need to create new request for any technology one might want to explore",5.0,4.0,4.0,4.0,4.0
98,"""Great location no work life balance""",I worked at Samsung Electronics full-time for more than 10 years,"Benefits, gym, cafeteria, bonuses and that's about it",24/7 company expecting 24/7 support 365,1.0,1.0,2.0,4.0,3.0
99,"""engineer""",I worked at Samsung Electronics part-time for more than a year,work at network infras development,work load is too much,3.0,3.0,5.0,5.0,3.0
100,"""Great Benefits with no leadership""",I worked at Samsung Electronics full-time,Great Benefits and people around you. Leading company in Korea,Not a bright future in apparel retails in Korea. Bad leadership and management,,,,,
101,"""Not terrible""",I worked at Samsung Electronics full-time for more than a year,"Laid back, bonus incentives, flexible schedules","Poor management, favoritism, unorganized",3.0,3.0,3.0,2.0,1.0
102,"""[Samsung R&amp;D] A lot of opportunities""",I worked at Samsung Electronics full-time,"-A lot of learning opportunities
-Exposure to real R&amp;D work","-Salary is not that high as compared to other R&amp;D companies
-Too much workload (no more life outside work)
-Office politics",3.0,4.0,5.0,4.0,3.0
103,"""Good job""",I have been working at Samsung Electronics full-time,Salary benefits is good to star,No cons in the,5.0,5.0,5.0,5.0,5.0
104,"""Great career growth""",I have been working at Samsung Electronics full-time,Very talented team &amp; coworkers,"too many cooks in the kitchen, difficult to make solid decisions.  Challenging work/life balance",,,,,
105,"""No Job Security""",I worked at Samsung Electronics full-time for more than a year,"Starbucks machine in lobby, clean atmosphere.","You need to speak fluent Korean to move up in the company. They hire as “contractors”, don’t give you raises and then will let you go.  Middle management will not help you move up in the company.",3.0,1.0,1.0,1.0,1.0
106,"""Account Manager""",I have been working at Samsung Electronics full-time for more than 5 years,Experience at Samsung adds value to your resume,"Work Life Balance, Promotion can take 10 years, Bad City to live,",1.0,2.0,2.0,4.0,3.0
107,"""Aggressive and cutthroat""",I have been working at Samsung Electronics full-time for more than 8 years,"Great salary, decent commute, great teams",Competitive and toxic work environment.,2.0,1.0,1.0,5.0,1.0
108,"""One of the best companies to work for""",I worked at Samsung Electronics full-time,"Treats employees fairly, policies are very lenient",Lower management can be disorganized,4.0,4.0,4.0,4.0,4.0
109,"""Working exp at samsung""",I worked at Samsung Electronics full-time for more than a year,"Profitable company for most of the divisions. 
Lot of good people in technical areas","Internal systems and tools are outdated. 
Not a very open culture.  Controlling managers.",3.0,1.0,2.0,4.0,1.0
110,"""Good Environment""",I have been working at Samsung Electronics full-time for more than 3 years,"benefits, flexible, people, environment, colleagues","time off, time off, time off",3.0,4.0,4.0,4.0,4.0
111,"""Unbiased & Still Employed""",I have been working at Samsung Electronics full-time for more than a year,Excellent benefits (SEA Only) & decent pay,"Horrible work life balance. Never a set schedule and punished for taking PTO by having to make up days missed once you return. Field sales managers feel like retail employees based on leadership directives, which constantly change by the week. None of which helps with our never ending schedule changes mid cadence which ruins our executive presence in-store. no one really gets reimbursed for mileage so in turn, our car's need heavy maintenance for only about $5-$10 back in return a week for gas. I could go on but all in all, I'm still with the company (for now) so until a better opportunity that's financially rewarding with good enough benefits presents itself, I will reluctantly remain an FSM.",1.0,2.0,3.0,4.0,1.0
112,"""good place to work""",I have been working at Samsung Electronics full-time for more than a year,Good benefits and employee discounts. Good products.,hard to grow within the company. Not many positions open above the current role. Almost feel like a dead end at times.,4.0,2.0,1.0,3.0,3.0
113,"""Great Company with Excellent Benefits""",I worked at Samsung Electronics full-time for more than 8 years,"Health Plan, Vacation Time, Great Coworkers",Nothing really bad to say,5.0,4.0,4.0,5.0,4.0
114,"""Highly Inefficient""",I worked at Samsung Electronics full-time for more than 3 years,"I was lucky to work out in the Playa Vista office for the first year and half and then worked from home mostly for another 1.5 years, this may not be the case for most other employees especially for those who work at the main offices.","Lack of communication between departments, which often resulted in misunderstanding and contradictory decisions.

Toxic office politics, one of the worst working environment if ever experienced, I wouldn't have been able to stay for 3 years if I weren't working remotely.

Too many people in the management roles, not enough people who actually do work.

Many people are not capable of performing their jobs, the lack of knowledge plagues the company.

These are the 3 main things that generates unnecessary chaos and stress, and it is not a healthy work environment at all.",4.0,1.0,1.0,4.0,1.0
115,"""Maintenance tech""",I worked at Samsung Electronics full-time for more than 5 years,The benefits they offer are good.,The expectations of the management are unrealistic to achieve.,1.0,1.0,1.0,4.0,1.0
116,"""Samsung review""",I have been working at Samsung Electronics full-time for more than 8 years,"Work life balance, great benefit",difficult to grow within org,4.0,4.0,2.0,5.0,3.0
117,"""Relatively new team""",I worked at Samsung Electronics full-time,Relatively new team so lots of opportunities &amp; resources to experiment with,Internal office politics that gets very complicated to navigate,,,,,
118,"""Review of job so far""",I have been working at Samsung Electronics full-time,great benefits in the company,no growth curve in the team,,,,,
119,"""Better opportunities out there""",I have been working at Samsung Electronics full-time,Free Food and great benefits.. that's about it..,"Management provides unrealistic goals
No work/life balance
Stuck in old ways
No opportunity to grow",1.0,1.0,1.0,1.0,1.0
120,"""good company to work""",I worked at Samsung Electronics full-time for more than 8 years,good for career development,Work flow is fast. work/life balance,3.0,4.0,4.0,4.0,4.0
121,"""Logistics""",I have been working at Samsung Electronics full-time for less than a year,Easy work friendly environment nice temperature,Lots of hours for Little money,,2.0,2.0,1.0,2.0
122,"""Say No""",I have been working at Samsung Electronics full-time for more than a year,"Close to home
Benefits
Free lunches
Holidays off","Long hours (no work life balance)
Lack of Job Security
Hostile Work Environment",1.0,1.0,1.0,3.0,1.0
123,"""They own your soul""",I have been working at Samsung Electronics full-time for more than 3 years,"Very small paycheck, Costly benefits, little time off, work remotely (The best pro)","Mini, micro management
Manage by intimidation
Their failures translate to the employees fault
Toxic environment
Hostile work environment",1.0,1.0,1.0,2.0,1.0
124,"""Great place""",I worked at Samsung Electronics full-time for more than 3 years,Pay and benefits are great there.,Very political in terms of advancement,4.0,5.0,3.0,5.0,3.0
125,"""Good starting spot""",I have been working at Samsung Electronics full-time,"Money is really good 
You can work tons of hours","Management is not always good 
Turnover is high",,,,,
126,"""Benefits only - nothing else""",I have been working at Samsung Electronics full-time,"Good benefits.  
If you're lucky, you'll have a good supervisor or manager who will protect you from all the negativities in the company.","No room to move up.  All the higher positions are given to Korean expats.
Can't participate in some meetings as they are in Korean.
Long work hours.  More than 8 hours of work each day (around 10 to 12 hours of work) and they expect you to finish everything every day but they will question you if you apply for OT too much and then be blamed if you fall behind.  So you end up working extra hours for free if you want to catch up with work.
Orientation talks about how Samsung Values its people and its corporate responsibility.  But reality is different.  There are managers/executives that shout and yell at employees as if we were in the Middle Ages.  And even if the employees complain to HR, the company does not do anything about it as they would rather keep the executive than the lowly employee.  Thus, good employees just give up and either stay and be miserable,  or resign to preserve their health, or find work with another company.",1.0,1.0,1.0,,
