,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
27,"""Ananemous""",I have been working at IBM full-time,Good Employer and I enjoy working there,I do not have any cons to report at this time,,,,,
28,"""Loved the Learning opportunity""",I worked at IBM ,Good peer network and work flexibility,Nothing that I can think of,4.0,4.0,4.0,5.0,3.0
29,"""Flexibility""",I have been working at IBM full-time for more than 10 years,"Flexibility, friendly co-workers, Inspired mission for Watson Health","Healthcare benefits lacking, frequent layoffs",5.0,5.0,4.0,4.0,5.0
30,"""IBM Credit LLC""",I have been working at IBM full-time for more than 10 years,You can work remote,Constant cadence and unreasonable quota's that make it a challenge to achieve one's OTE,2.0,4.0,3.0,3.0,2.0
31,"""Great Company""",I have been working at IBM full-time,work flexibility is great and great work environment,Requires a lot of travel for consulting assignments,3.0,5.0,4.0,4.0,4.0
32,"""Run.""",I have been working at IBM full-time for more than a year,Great historical relevance and brand name,"I set out at IBM to be a strong PR leader who can work &amp; thrive in a fast-paced environment and do needle-moving storytelling. When I interviewed and was eventually hired, I was told my media chops would be welcomed and embraced but that hasn't been the case. My  tenure at IBM Research has been marked by negativity, managers who pick favorites and allow only a chosen few to do compelling work while people like me who are not favored, get few opportunities and new chances to learn. I am not alone.",2.0,2.0,1.0,4.0,1.0
33,"""Pretty Good""",I have been working at IBM full-time for more than 10 years,"Iconic company, inspirational mission, extremely ethical. Flexible work options.",Oh the bureaucracy. Lots of red tape. Minimal to no raises.,4.0,5.0,4.0,3.0,4.0
34,"""Lots of changes""",I have been working at IBM full-time for more than 3 years,"Good benefits, good training opportunities, interesting work","Business unstable, too many execs,",5.0,4.0,3.0,4.0,1.0
35,"""Good""",I worked at IBM full-time for more than 3 years,"People, perks and work-life balance; Great for people who appreciate wor-life balance and time off work",Decision making can be very slow sometimes; Lots of processes; Slow coworkers; Not clear deadlines;,5.0,5.0,5.0,4.0,4.0
36,"""Great Program, Excited to Continue""",I have been working at IBM full-time for more than a year,"- Great Curriculum in teachings within Program (started in the Summit Program)
- High Flexibility for work/life balance
- lots of movement possibilities","- large organization sometimes has slow moving parts
- working with other business units can be tricky sometimes as you will end up competing for clients with other internal teams",5.0,5.0,5.0,4.0,4.0
37,"""no longer IBM of past""",I worked at IBM full-time for more than 10 years,"remote,  tech resources, great 1st line mgr,","bureaucracy,  more about stockholders vs. employees, 45+hrs/wk mandatory to  compensate for contract $ bottom-line, unrealistic utilization target",4.0,4.0,4.0,4.0,3.0
38,"""Great""",I worked at IBM full-time,Everything was great to be honest,Nothing At all!!!!! Everything great,,,,,
39,"""Flexable""",I have been working at IBM full-time for more than 3 years,Flexible and great work life balance,compensation lower than market value,5.0,4.0,4.0,3.0,4.0
40,"""IBM Envornment""",I have been working at IBM full-time for more than 10 years,"Transformational company, support of autonomy and self-advancement, cutting edge.","Highly competitive environment, extensive low-cost international competition.",5.0,5.0,5.0,4.0,4.0
41,"""Good""",I worked at IBM full-time for less than a year,Learn a lot of technologies,No payments given for 3 months,5.0,5.0,5.0,5.0,5.0
42,"""Consulting by Degrees (Cbd) Alum""",I worked at IBM full-time for more than a year,"Solid entry-level opportunity with competitive salary, great benefits, and opportunity for advancement. The CbD community is full of intelligent, friendly, and ambitious people.",Individual experiences vary dramatically by assignment. Unlucky CbDers are staffed on internal administrative assignments instead of client-facing work. CbD management provides little information or support.,5.0,3.0,4.0,5.0,3.0
43,"""Building up momentum again""",I have been working at IBM full-time for more than 10 years,"Focussed on Transformation, more competetive positioning in the market",Despite all the changes still very bureaucratic,3.0,5.0,4.0,3.0,4.0
44,"""Great tech, great people, need better leadership""",I have been working at IBM full-time,"Diversity - of age, backgrounds, experience. Wide opportunity to do anything you want/are able.",j Slow transformation relative to,1.0,3.0,5.0,5.0,2.0
45,"""It's Up To You""",I worked at IBM full-time,"The benefits are cool, like the finance advisor","It's hard to find a home nearby, aka commute",,,,,
46,"""Software Engineer""",I have been working at IBM full-time for more than 3 years,Opportunity to learn new technologies,Not much growth in the career path,,,,,
47,"""intern""",I have been working at IBM full-time,good company wonderful experience,often got lost but people were willing to help,5.0,4.0,5.0,5.0,4.0
48,"""Consistent, well paid, but GIANT company""",I have been working at IBM full-time,"Excellent benefits, connections to other individuals, and consistency.","This is a giant company, meaning that most individuals are simply working to check the boxes.",2.0,2.0,1.0,5.0,2.0
49,"""Large technology firm""",I worked at IBM full-time for more than 10 years,"Global opportunities, scope and variety of work assignments","Frequent resource actions, no longer top of mind company",3.0,4.0,3.0,5.0,3.0
50,"""Cool company""",I worked at IBM full-time for more than 3 years,Flexibility and easy to change teams,Growth is slow and old technologies,4.0,4.0,5.0,3.0,3.0
51,"""Technical Sales""",I have been working at IBM full-time,working from home is convenient,slow working paced culture,,,,,
52,"""Great Company!""",I worked at IBM full-time for more than 3 years,Good Pay and horizontal organization.,Too big and sometimes slow.,5.0,5.0,4.0,5.0,4.0
53,"""Quality disciplines within software although still older""",I worked at IBM part-time,Good resources to research internally,Felt like software was old and not up to latest innovation,,,,,
54,"""Great Emloyer""",I have been working at IBM full-time for more than 8 years,Great Atmosphere and Great Health Care,Some times in can be a bit hectic with HR,4.0,3.0,4.0,5.0,4.0
55,"""Good""",I have been working at IBM full-time,"Benefits 
Environment
Life balance 
Team","Pay 
Work
Manager 
Food 
Location",3.0,3.0,5.0,2.0,3.0
56,"""Lots of red tape, slow""",I worked at IBM full-time,"Work Life Balance, People, Decent benefits",No Direction. Lack of Transparency.  Lots of red tape.,,,,,
57,"""Great company""",I worked at IBM full-time for more than 3 years,"Overall, great benefits and company.",Complete depends on each individual team,5.0,5.0,5.0,5.0,4.0
58,"""Decent Place to work""",I worked at IBM full-time,Great environment and learning opportunity,Lots of bureaucracy here. It can halt things,,,,,
59,"""Good place to start""",I have been working at IBM full-time,"good environment, good tools, great work life","no bonus this year, hard to move up vertically",,,,,
60,"""Better leadership needed""",I have been working at IBM full-time,"remote work option, sometimes flexible","Salaries are not as competitive as other big tech companies. Bureaucracy, more concerned about stockholders rather than  employees.",,,,,
61,"""N/A""",I have been working at IBM full-time,Good company with good management,Work life balances Is hard,,,,,
62,"""Great Place to Build a Career""",I have been working at IBM full-time for more than 8 years,Top-notch company  focused on delivering the best solution to their customers.,A big company with lots of initiative that can be overwhelming.,4.0,5.0,5.0,5.0,4.0
63,"""Good experience""",I have been working at IBM full-time,"Good experience
Learned a lot
Good team",No cons available at this time,,,,,
64,"""Constant Transformation""",I worked at IBM full-time for more than 10 years,"(FROM A GBS PERSPECTIVE)
Respectful, inclusive culture for entry, low, and middle
The legacy that IBM'ers feel a sense of purpose is alive though weakening
Choose your own adventure-- many options for internal movement if you go for it
Broad perspective to business and technology
New leadership may represent a fresh change that will unleash pent up potential and capability","Culture: legacy direct and open culture has become aggressive and punitive.  This was once a competitive advantage for IBM.  It can be again.  
Consistency: constant change has not been directed by a single strategy or perspective-- as a result, many approaches and tribes have been brought in each with the expectation they will save the company, or consulting.
Finance and legal are too empowered, limiting smart risk and protecting leaders who just barely succeed with incremental results.",3.0,2.0,4.0,2.0,1.0
65,"""Developer""",I have been working at IBM full-time,work from home is the real pro,you get stuck by the system,,,,,
66,"""Great place to work""",I have been working at IBM full-time,Plenty of experienced attorneys to learn from. Flexible  with work life balance,Wish IBM allowed full time remote work from anywhere,4.0,4.0,4.0,4.0,3.0
67,"""New CEO means new opportunities come April""",I have been working at IBM full-time for more than 10 years,"respect for women, maternity/paternity time off","hierarchical, political, navigation can be tough",4.0,4.0,3.0,3.0,3.0
68,"""Just shy of 3 years at IBM""",I have been working at IBM full-time for more than 3 years,"High pay, great work-life balance","Lack of culture / feeling on belonging. With IBM being such a big company with many business units, it quickly see that culture is pretty non-existent and there is a lack of feeling like you're apart of a team.",5.0,1.0,3.0,4.0,2.0
69,"""Great team. Smart people. Great products. Lots of resources.  And LOTS of red tape.""",I worked at IBM ,Great team. Smart people. Great products. Lots of resources.,Red tape!!! It’s so difficult to get things through the approval flow.,,,,,
70,"""Great company to be a leader in the industry""",I worked at IBM full-time for more than 3 years,"Exposure to  cutting edge demands in the industry, robust analytics and tools, flexible work environment, competitive benefits,  learning culture","self managed environment could lead to a feeling of non-managed, disconnect between delivery and client due to management structure, limited exposure to opportunities outside of direct line of work",4.0,5.0,4.0,5.0,4.0
71,"""move on to better""",I have been working at IBM full-time for more than 3 years,"efficient process, nice brand name ,","almost no hikes, no growth, just stagnant",5.0,1.0,1.0,1.0,1.0
72,"""ibm""",I worked at IBM full-time for more than 3 years,great company for graduate students,none to be very honest,4.0,4.0,4.0,3.0,4.0
73,"""Great for going places""",I worked at IBM full-time for more than 5 years,"Every possible client and the art of the possible with such a massive roster of smart, talented folks. Truly a remarkable machine when you think about what they do on a global scale.",Can’t move fast enough or outside of its processes to take the chances The smartest of the smart know they need to take.,4.0,4.0,5.0,5.0,2.0
74,"""beurocratic""",I have been working at IBM full-time for more than a year,"Good Salary 
Job Security
Lenient Holidays","Can get boring
Too traditional
Slow growth",,,,,
75,"""IBM mortgage servicer  review""",I worked at IBM full-time for more than 5 years,Great benefits and competitive pay,IBM didnt understand the mortgage industry that well so they would make questionable decisions,3.0,4.0,3.0,5.0,3.0
76,"""It's alright if you don't have a better offer""",I have been working at IBM full-time for more than a year,a lot of flexibility in work schedule,big company so you can get lost in the fray,5.0,3.0,3.0,3.0,3.0
77,"""Employee benefits""",I have been working at IBM full-time for more than 3 years,Good work life balance At company,Worst timing on meetings,4.0,3.0,4.0,3.0,3.0
78,"""Great company!""",I worked at IBM full-time for more than 3 years,Great benefits and also good people at the company.,"Not so much flexibility and depending on your manager, you can have growth or stay stagnant.",4.0,4.0,4.0,4.0,3.0
79,"""many things to like and not to like""",I have been working at IBM full-time for more than 8 years,salary was not bad actually testing,no room for growth opportunity testing,3.0,3.0,3.0,3.0,3.0
80,"""abc""",I have been working at IBM full-time,I have been working as a consultant,Having worked as consultant in the travel domain,,,,,
81,"""Great place to start your career""",I have been working at IBM full-time,Great place to start your career,The pay is very low,,,,,
82,"""Good atmosphere""",I worked at IBM full-time,Energetic people with great personality,"Hot climates, you may be hot",,,,,
83,"""Welcoming, tolerant, professional culture with big company red tape and politics""",I have been working at IBM full-time for more than 5 years,"Welcoming, tolerant, inclusive, all genuinely so. No bullying, shouting, sour grapes etc. Those attributes at IBM are not manufactured or beat into your head all day like they are at places like Google, rather, it is just how it is. Very professional. At the same time, casual dress, flexible work hours depending on manager.

Complex, relevant technologies. Opportunity for promotions and growth for those who take initiative, ask questions, push for progress, take a stand.

Upcoming CEO Arvind is a huge step above Ginni. Things are looking up for IBM from the inside. Positive things are happening.","Boring culture, global teams can leave people feeling isolated, big company politics in executive management, executive management is fair to poor. Yearly cash bonuses are pathetic, no stock comp.",5.0,5.0,4.0,3.0,2.0
84,"""Great Place""",I worked at IBM full-time for more than 10 years,Bleeding edge technology with unlimited resources to grow your career.,I really cannot say any cons.,5.0,5.0,3.0,4.0,5.0
85,"""AMAZING team""",I have been working at IBM full-time for more than 3 years,"I love the team I'm on.  Great pay, innovative environment, no complaints.","NONE, love this place so much",5.0,5.0,5.0,5.0,5.0
86,"""review""",I have been working at IBM full-time,it is good for the most part,too big to function sometimes,,,,,
87,"""Not what it used to be""",I worked at IBM full-time for more than 10 years,World of resources available to employees,No longer concerned about customer,3.0,3.0,1.0,4.0,1.0
88,"""A good blend of technology company and a consulting firm!""",I have been working at IBM full-time for more than 8 years,Cutting edge work and access to top clients (Fortune 100). Great solutions and offerings.  Smart and talented people.,Very monthly and quarterly focused culture and that often leads to bad behavior. Too many processes and bean counters in the entire chain and very few people actually creating value and delivering to the clients.,4.0,4.0,4.0,4.0,4.0
89,"""Good!""",I worked at IBM part-time for less than a year,Good working climate/ Team work/ Learning,Working hours could be more constant,5.0,5.0,5.0,5.0,5.0
90,"""Software tester""",I have been working at IBM part-time for less than a year,Good good good good glld,Overall good so no complaints,,,,,
91,"""Good products, political senior managers""",I worked at IBM full-time for more than 8 years,"Great clients, good coworkers, reasonable autonomy in your area of expertise","Executive management focus is on their own success, sometimes at expense of product decision and company success",5.0,4.0,4.0,4.0,2.0
92,"""What you make of it""",I have been working at IBM full-time,"Encouraged to learn
Ability to explore many different things","Very large company focused on profit margin
You have to be focused and have a plan because the number of career options can be overwhelming",,,,,
93,"""Crappy place""",I worked at IBM full-time for more than 5 years,"If you are in engineering, run","There is nothing in engineering, it's a consulting company",3.0,2.0,1.0,1.0,1.0
94,"""Be ready to learn on your own""",I have been working at IBM part-time for less than a year,A lot of uninterrupted time and resources to learn what you want to learn.,Delivery managers on the whole did not make much effort to find projects for interns to work on.,4.0,3.0,3.0,2.0,3.0
95,"""Disorganized and Misleading""",I worked at IBM full-time for less than a year,"Good day-to-day colleagues, smart and kind people","Terrible management, leading the company in the wrong direction. They hired too many new graduates in one summer (~1000), then fired most of them within a year because there wasn't enough projects in the pipeline to staff everyone.",5.0,2.0,2.0,3.0,1.0
96,"""Great culture, lots of opportunity for growth""",I worked at IBM full-time for more than a year,"-Flexible work environments
-Incredibly smart teammates and management
-Interesting clients and projects to work on","-Early career roles more self-directed than might be helpful
-Communication from leadership not always effective because of organization size",,,,,
97,"""Good Company Overall""",I worked at IBM full-time for more than 5 years,"Teamwork, Great projects most of the time",Feedback from managers takes a while,3.0,4.0,3.0,4.0,3.0
98,"""IBM is a great company""",I worked at IBM full-time for more than 5 years,"Good culture, good co worker","Slow in decision making, some groups are innovative most are not",4.0,4.0,2.0,1.0,2.0
99,"""Decent company to work for""",I have been working at IBM full-time for more than a year,"Lots of good projects, motivated team","Lack of support, long working hours sometimes",3.0,3.0,3.0,4.0,3.0
100,"""IBM has lost its way""",I worked at IBM full-time,"Career growth, skills growth, family-oriented","No longer stable, no clear strategy",5.0,4.0,4.0,4.0,3.0
101,"""Great history in this company, but slow to make right changes""",I worked at IBM full-time for more than a year,"Great support systems, fair pay, and easy access to management",Slow to adopt outside tech and still figuring out how to make Big Blue great again,3.0,5.0,4.0,3.0,5.0
102,"""Overall Good""",I have been working at IBM full-time for more than a year,Good opportunities. Relaxed work environment. Pay is competetive for my location.,Lack of transparency. Lots of corporate politics to deal with. Work/Life balance can be bad depending on the team.,4.0,5.0,5.0,4.0,3.0
103,"""Great Company to work for""",I have been working at IBM full-time for more than 10 years,Great company to work for,I do not have anything to say that is negative.,5.0,5.0,5.0,3.0,4.0
104,"""Deal with the cross functional teams""",I worked at IBM full-time,"Excellent work culture
Flexibility
Work from Home",At times work is too hectic,3.0,4.0,4.0,3.0,4.0
105,"""Still got it!""",I have been working at IBM full-time for more than 10 years,"Culture,  training, exposure, grooming, leadership, hard working culture, traditional progression and rewards",Over correcting for women. Very traditional company. No frills!,2.0,5.0,5.0,5.0,4.0
106,"""Best company""",I have been working at IBM full-time for more than 3 years,"I love IBM &lt;3, I can find the perfect work/life balance and great environment for growth. The culture is woderfull, great collaboration between colleagues and management helps to create the best  place to work.",I don't have any cons.,5.0,5.0,5.0,5.0,5.0
107,"""Great Company to Work For""",I have been working at IBM full-time for less than a year,"The Environment is very Professional, and it's a very well built corporate structure, where IBMers come together to support and help each other the get the job done.
What amazes me the most is there is so much free training and classes on any and every topic related to IT, Business solutions, Current Technology and Procurement that can help you develop in your career field.",Too early to tell right now.,5.0,5.0,5.0,5.0,5.0
108,"""Good People""",I have been working at IBM full-time,"Good salary, benefits and vacation for early professionals or new grad","Can take 4 months to a year to actually start billable work for clients.
Hires an abundance of people to maintain government subsidy.",3.0,4.0,3.0,4.0,3.0
109,"""Review Devops""",I worked at IBM full-time for more than a year,"good benefits across the board , not the salary , but rest","not so much to learn , not challenging projects",,,,,
110,"""Good job overall. Costly benefits.  Low pay for the work""",I worked at IBM full-time for more than a year,"Culture and structure 
Events 
Friendly people",Pay and lack of support,4.0,3.0,3.0,3.0,3.0
111,"""Meh""",I have been working at IBM full-time for less than a year,"Benefits, people, and experience (brand name of the company)","Beauracracy, little opportunities to move up",5.0,4.0,3.0,3.0,2.0
112,"""Good company but no upward mobility""",I worked at IBM full-time for more than 5 years,"The company itself still has a reputation even though it's not special anymore. The job is good, some days boring, some days are exciting, the people are nice and remote work is fantastic","No upward mobility
No salary increase, you get maybe 2% so plan you base salary accordingly
Bonus is like 1 week worth of salary if any if you are in a cost center (basically anything other than sales, pre-sales)",4.0,4.0,1.0,3.0,2.0
113,"""Very good place to work""",I have been working at IBM full-time for more than 3 years,Lots of opportunities to work.,No cons for this company as such.,5.0,5.0,5.0,4.0,5.0
114,"""Reinventing a company is not easy on the employees, especially with dysfunctional management""",I worked at IBM full-time for more than 10 years,"Flexible work schedule, decent benefits, interesting challenges.","Dysfunctional upper management (and sometimes lower management too), total lack of common sense in business procedure (procurement designed not to procure, etc). Little or unclear paths to career advancement.",3.0,3.0,2.0,4.0,2.0
115,"""Great company, good community""",I have been working at IBM full-time for more than 3 years,"Despite being a huge company, IBM does a great job at creating communities with the organization that everyone can get involved in,","It is a huge company, so you get out of it what you put into it",4.0,4.0,5.0,3.0,4.0
116,"""Great Work Experience!!""",I have been working at IBM full-time for more than 3 years,Great perks and benefits for the company.,None that come to mind.,5.0,5.0,5.0,5.0,5.0
117,"""SVL""",I worked at IBM full-time for more than 3 years,"Very easy going place with a lot of nice peers to work with.  Great atomsphere, and very stable.",A bit laid back sometimes,5.0,5.0,4.0,3.0,4.0
118,"""High level of apathy at this place""",I worked at IBM full-time for less than a year,Managers typically don't police or aren't even present much of the time,"Weird office environment, mostly low lifes working there; managers work from home but don't allow their employees to work from home. High level of hypocrisy and apathy. Virtually no training, no communication on what's going on. Very disorganized, every man for himself. No support",3.0,1.0,1.0,2.0,1.0
119,"""Great experience.""",I have been working at IBM full-time,Great culture and support from the team.,Bureaucracy can be a little slow.,,,,,
120,"""Not a great place for a longterm career.""",I worked at IBM full-time for more than 8 years,IBM has an outstanding name recognition.,The company is Sales focused and has no regards for its workforce.,3.0,2.0,1.0,3.0,1.0
121,"""Good Learning Opportunity""",I have been working at IBM full-time for more than a year,"-Lots of opportunities to learn new technologies and get certifications paid by the company. 
-Great place to start your career.","-Wages are low, salaried, and may require lots of overtime.
-There is absolutely nothing to do in this area. 
-Stuck in career path you may not want and changing roles is almost impossible. 
-No incentive to stay once you build experience.
-Good work ethic doesn't seem to be appreciated.",2.0,3.0,4.0,1.0,3.0
122,"""Decent company""",I have been working at IBM full-time for more than 8 years,Quite stable environment with great people to work with,"A bit slow, heavy processes and political some times",3.0,3.0,3.0,3.0,3.0
123,"""IBM""",I have been working at IBM full-time for more than a year,"Lots of resources, expertise, and employees willing to help","Remote work, not much culture",,,,,
124,"""Lots of Stuff Going On""",I worked at IBM full-time for more than 3 years,Very collaborative within the company. You get exposed to a lot of things in digital innovation.,Hierarchy structure makes communication and efficiency very ineffective. Things move too slow.,5.0,2.0,5.0,5.0,2.0
125,"""Please review for""",I worked at IBM full-time for more than a year,Great ethics. Solid cloud strategy. Nice place to learn and grow.,Sometimes too slow to react to market needs,4.0,4.0,4.0,4.0,4.0
126,"""Ibm""",I worked at IBM full-time for more than a year,Flexible schedule and work from home,Disorganized with little direction as a company,2.0,2.0,2.0,2.0,2.0
127,"""Deep pool of talent buried under poor leadership""",I worked at IBM full-time for more than 10 years,"Deep pool of talent. There are some amazing people buried in layers of reporting hierarchy. Also, good culture, very professional.","Poor executive leadership. The company up to this point has not been led by technologists, unlike its FAMGA competitors",3.0,4.0,3.0,3.0,2.0
128,"""Great Company""",I have been working at IBM full-time for more than a year,"-Work life balance
-Fellow employees &amp; culture
-Respect from management
-401K match &amp; PTO/vacation days",Financial compensation was below industry standard,5.0,5.0,5.0,4.0,5.0
129,"""Fair place to work""",I have been working at IBM full-time,"Not much effort, fair salary","Huge bureaucracy, toxic culture",,,,,
130,"""Fair place to work""",I have been working at IBM full-time,"Not much effort, fair salary","Huge bureaucracy, toxic culture",,,,,
131,"""Beware of where you go and what you do""",I worked at IBM full-time for more than 10 years,Looks good on your CV when you leave and go elsewhere,"Mindless dedication to immediate revenue recognition
All decisions are short term, the delivery organization is continuously left to clean up the mess that the Sales and Marketing groups pass onto them",1.0,2.0,2.0,2.0,1.0
132,"""Constant layoffs""",I have been working at IBM full-time for more than 5 years,"Flexible environment, opportunity to work from home","Constant company layoffs, no bonuses, no raises",5.0,1.0,2.0,2.0,1.0
133,"""It's what you make of it""",I have been working at IBM full-time for more than 5 years,Lots of opportunities and room to move around (functionally and business unit wise),Company is big. To make changes it takes time.,5.0,4.0,5.0,3.0,3.0
134,"""Not the company it used to be""",I worked at IBM full-time for more than 10 years,It used to be a great company where all employees were loyal and worked hard and were treated well for it.,Just a number and the quality of your work no longer matters. It’s  just being in the right place to be able to keep your job. Sad.,3.0,1.0,,3.0,1.0
135,"""Highly Political""",I worked at IBM full-time for more than 3 years,moving more into digital and experience design work - more interesting spectrum of digital consulting (as opposed to tech implementations),Everyone is focused on their sales targets and nothing else matters (which is understandable).  But the underhandedness between co-workers is unimaginable.,2.0,1.0,2.0,2.0,1.0
136,"""Great place""",I have been working at IBM full-time,Good pay if you are seller,hierarchical culture and customers find it tough to buy from us,2.0,2.0,5.0,5.0,3.0
137,"""Big Blue""",I have been working at IBM full-time,"Big, lots of opportunity and learning","Big, struggling to catch up to market speed, rigid internal structure",,,,,
138,"""Great for workaholics""",I worked at IBM full-time for more than 3 years,Great team and good training,Manage team is very junior,1.0,2.0,4.0,3.0,1.0
139,"""IBM as working place""",I have been working at IBM full-time for more than 10 years,Flexibility on hours and type of work,"Heavy management structure, slow execution",4.0,3.0,2.0,2.0,3.0
140,"""The hardest working IBMers""",I have been working at IBM full-time for more than 3 years,Learning like you’ve never before and experience technology implementations that are cutting a ledge and transformative.,Tough and highly complex,3.0,3.0,4.0,4.0,4.0
141,"""Great so far!""",I have been working at IBM full-time for more than a year,Very friendly environment and culture,None that I've discovered so far!,5.0,5.0,4.0,4.0,4.0
142,"""Meh""",I worked at IBM full-time for more than a year,Easy. Good work life balance,Limited growth opportunities. Takes too long to get to management position. Very hierarchical,4.0,2.0,2.0,3.0,2.0
143,"""Flexible and Agile""",I have been working at IBM full-time for more than 10 years,"Agile environment
Employees are empowered
opportunities to grow skills
flexible",opportunities to grow in leadership,5.0,5.0,3.0,3.0,3.0
144,"""Would Not Recommend""",I have been working at IBM full-time for more than 3 years,Really Smart People. You get to work on very interesting projects.,Management was too disconnected from the outside world. Too many lifers.,2.0,4.0,2.0,4.0,2.0
145,"""My experience at IBM was and is enjoyable.""",I have been working at IBM full-time for more than a year,The teams you work with.,Lack of training for the job duties.,4.0,5.0,5.0,2.0,5.0
