,pro,con
120,great opportunity,job elimination
121,huge brand,slightly old school
122,the flexibility,red tape
123,regard,things
124,home,changes
125,hours,people
126,the fact,serious business issues
127,commute,declining market
128,an hour,too big
129,each way,not clear vision
130,money,the shuffle
131,gas,not the best
132,no grinding,infrastructure
133,here,peers
134,smart coworkers,the company
135,good compensation packages,any
136,an,not many hours
137,passionate employees,multiple locations
138,good workplace,benefits
139,micro management,other tech
140,flexible work hours,fortune
141,friendly coworkers,100 companies
142,far the best,competitive
143,decent pay,lots
144,everyone,cost cutting
145,good team mates,business
146,peers,profitability
147,great team,challenge
148,good money,the culture
149,the system,the years
150,sales perspective,salary
151,most,significant
152,lifelong friends,glass
153,something,ceiling
154,way,comp
155,performance,work space
156,hp leadership,operations teams
157,great work,contractual terms
158,big company,t
159,lots,understanding
160,opportunities,working customer needs
161,different areas,customer
162,excellent benefits,matters
163,good incentives,internal cost structures
164,great work environment,competitive contract pricing
165,supportive management,hp infrastructure
166,opportunity,the
167,work experience,90
168,flex,fair hiring practices
169,good 401k,the time
170,fair employees,the right people
171,nice people,the right relationships
172,stable business,no cons
173,great place,stagnant industry
174,great company,constant layoffs
175,global presence,not the best pay
176,the recruiter,huge workload
177,the interviewer,partners
178,alot,level
179,range,bad management
180,ability,the hp way
181,the globe,environment
182,the chops,stagnant growth
183,good culture,low benefits
184,good pay,poor health care
185,great employees,other tech companies
186,customer,software tools
187,fantastic company,big company
188,both,lot
189,ones,players
190,school schedules,slow growth
191,doctors,roadblocks
192,appointments,innovation
193,personal days,bad place
194,dion,work
195,good job,new lines
196,no opinion,process
197,new ceo,months
198,business work life,such large company
199,good company culture,san diego
200,great coworkers,smaller
201,college tuition reimbursement,each year
202,onsite gym,change
203,workout classes,ongoing restructuring
204,onsite volleyball court,this time
205,soccer field,no major cons
206,these,schedule
207,occasional free lunches,quality
208,etc,current situation
209,pretty good retention,2019
210,easy work,market
211,work great quality,org changes
212,life,future
213,ic roles,new ceo
214,minimal bureaucracy,bold move
215,nice offices,the best way
216,remote work,the pay scale
217,internal career advancement opportunity,job insecurity
218,collaborative culture,older company
219,the most part,years
220,great product,the physical campus
221,independency,size
222,generous benefit package,the original size
223,fun,company stock
224,mechanical engineer,denial
225,mid career,business outlook
226,there,risk adverse
227,many experienced people,50
228,flexibility,salaries
229,meaningful,minimal opportunities
230,reputation,advancement
231,no dress code,us
232,company,awful products
233,career development,this company
234,travel,acer
235,optional,the next 10 years
236,most positions,training
237,christmas week,dismal investments
238,extra vacation days,people development
239,none,new employee onboarding experience
240,contractors,which
241,managers,organization
242,many opportunities,competitive pay
243,development,tech company
244,now,perspective
245,the past,more
246,the voice,ge
247,the worker,fb
248,foundations,market competitiveness
249,the hp culture,the industry
250,good place,upper management
251,huge focus,micromanagement
252,integrity,none
253,fortune,this point
254,50 company,many changes
255,things,some extra bureaucracy
256,good process,the fact
257,all aspects,teams
258,amazing benefits,all
259,leadership,the world
260,education teamwork,manufacturing
261,the best people,separate company
262,the good teams,politics
263,patient,unsavory leaders
264,direct managers,unethical behavior
265,the engineers,bureaucratic processes
266,the first place,labor
267,zero micromanagement lots,an entry level position
268,freedom,the us
269,being,no bonus
270,the acquisitions hp,current group
271,bill,new positions
272,the importance,good
273,smart people,not merit
274,discount,preferential status
275,workout,family
276,campus,ethnicity preferential
277,minimal travel,overseas commitment
278,solid pay,night meetings
279,awesome direct management,must
280,many events,perm
281,modern workplace,limited locations
282,many pros,no stock
283,balanced,manger
284,course,top talent
285,times,budgets
286,nights,even travel
287,feature,market dynamics
288,that,continuous reorganizations
289,the culture,downsizing exercises
290,we,etc
291,an annual review,many 30 year employees
292,new,bitter
293,that balance,huge company
294,the modern digital landscape,bureaucracy
295,very good work,truth
296,an excellent,reality
297,environmental impact,the midst
298,social impact,outdated systems
299,package,the future
300,talented people,super
301,great brand,bleeding technologies
302,strong history,higher management
303,us,better job
304,good tools,this
305,the field,great company
306,the job training,the pace
307,general good pay,slooooooow
308,some,contractor
309,stagnant legacy tech company,the first
310,competitive pay work,recession
311,home options,an
312,any,pc
313,good life work,printers
314,long term,market share
315,leadership continuity,maybe the job security
316,different parts,little
317,the organization,no job security
318,this twice,revolving
319,strong growth potential,giant
320,an industry,part
321,3d printing,government agency
322,the space,the typical cons
323,the best locations,ie
324,the south bay,individuals
325,the greatest people,job
326,the products,almost 30 years
327,the best management teams,pains
328,sales,fear
329,plenty,workforce reduction
330,training,constant worry
331,health benefits,work life balance
332,employee,the job
333,onsite,direct manager
334,perks,tons
335,gym,cost pressure
336,free printing services,no growth
337,experience,biz
338,outstanding global work force,some field jobs
339,clear strategy,guess
340,low level managers,stressful
341,inclusion,men
342,products,male qualities
343,the ceo,young people
344,other vendors,essentially things
345,the same arena,all the profit
346,good relationships,good business
347,the buddy,the only business
348,mentor system,the muscle
349,strong hr leadership team,hardware
350,enough resources,any growth businesses
351,hard problems,compensation
352,flexible time,ceo
353,very,entire division
354,coworkers,no plan
355,work schedule,layoffs pending
356,wfh,challenges
357,working hours,long term business growth
358,job,downsizing
359,even 64,reduction
360,pto,other technology companies
361,retirement,the silicon valley area
362,equipment,average bonuses
363,laptops,what sector
364,monitors,an industry
365,empathy,the pc space
366,the death,this place
367,parent,the printing business
368,four weeks,other businesses
369,paid bereavement leave,established protocols
370,flexible schedule,touch
371,remote worker,metrics
372,face,we
373,interactions,them
374,the caliber,employee discount
375,teamwork,joke
376,collaboration,costco
377,site,hp way
378,all forms,great place
379,part,bill
380,the team,poor management
381,very pro employee,no clear direction
382,no response,major decisions
383,this question,other countries
384,smart colleagues,no funding
385,interesting,male
386,innovative approaches,communications
387,great atmosphere,improvement
388,not competitive environment,industry
389,not boring,growth
390,good stuff,recent employment decisions
391,all,the management chain
392,sociable,poor tools
393,flexible work schedule,lower pay
394,very helpful coworkers,upper management out
395,questions,poor facility
396,any time,turbulent upper executives
397,tools,sometimes the work
398,resources,to
399,level managers,suitcase
400,the brand,special clicks
401,top,favoritism
402,notch,outsourcing
403,this type,course
404,community,more feedback
405,folks,declining business
406,the mindset,change management
407,ton,history
408,room,inappropriate decisions
409,mistakes,ceo level
410,few years,the last 20 years
411,the number,long hours
412,growth opportunities,multiple geographies
413,numerous,cog
414,mind,the gargantuan hp machine
415,the reward,something
416,helpful employees,mentorship
417,amazing projects,adherence
418,engineers,the bottom line
419,growth mindset,job instability
420,the top,fake reasons
421,incredible company,the stock price
422,amazing perks,conference room
423,great mentorship,any other day
424,those,different building
425,the campus,he
426,still hardworking environment,me
427,projects,the news
428,welcome challenge,him
429,team members,different reason
430,great products,interaction
431,large infrastructure,two hands
432,renown brand,the number
433,most teams,real interaction
434,work life balance,chitchat
435,easy work culture,the two different managers
436,high performer,severance package
437,departments,rehire
438,different positions,11
439,competitive,month
440,good company,no one
441,good lead generation,much
442,one company,problem
443,1000 companies,the words
444,one business unit,another person
445,another,the god
446,one role,that person
447,great benefits,mistake
448,ecommerce,she
449,401k match,anything
450,volunteering opportunities,the problem
451,no work,this other person
452,urgent issues,weeks
453,great pay,some data
454,nice place,new metric
455,the floor,the data
456,brilliant people,test
457,decent benefits,the test
458,home availability,literally 100 rows
459,starting engineer,favorites
460,little interest,better term
461,developing talent,the other new hires
462,new engineers,the other two new people
463,the first,the team
464,the chopping block,special treatment
465,good work environment,special attention
466,free trips,an athlete
467,food,some kind
468,other perks,mountain biking
469,positive environment,fit
470,amazing culture,the little clique
471,good career progression,some aspects
472,great flexibility,the compensation program
473,each other,timely pay
474,humility,quota adjustment
475,just the right level,high pressure
476,frequent constructive feedback,no executive presence
477,hold,bad quarter
478,continuous growth,ton
479,risks,less support
480,stuff,the layoffs
481,not only,former employees
482,results,contract workers
483,the expense,places
484,business priorities,regular employees
485,boundless opportunities,the decisions
486,new areas,leadership
487,new responsibilities,the workload
488,potential career paths,longer answers
489,the executive leadership team,global company
490,expectations,terms
491,shares information,time zones
492,transparency,pressure
493,themselves,business success
494,companywide commitment,profit
495,sustainability,business model
496,purpose,too few people
497,heart,the hours
498,lives,creative solutions
499,goals,the challenges
500,leaders,legacy systems
501,focus,beware
502,the customer,the big corporation
503,attention,no regard
504,the market,staffing critical projects
505,employee experience,systems
506,generations,the pitfall
507,the workforce,an efficient manner
508,the best,current issues
509,quality,the stability
510,expertise,sd office
511,meaningful work,internal positions
512,commitment,the growth
513,positive impact,groups
514,company strategy,city
515,working,no office
516,date,the major con
517,all the way,the short layoff notice
518,challenges,the end
519,proud,large project
520,the technology,the overall organization
521,sustainability consciousness,projects
522,great community volunteer opportunities,rocky
523,the year,constant reorgs
524,the tech,workforce reductions
525,society,low pay increases
526,this innovative company,bonus
527,really,business headwinds
528,great career opportunities,one division impact
529,developing employees,all divisions
530,executives,career development
531,values,the employee
532,inspiring work,no guidance
533,leadership team,weekend
534,options,no respect
535,lateral,personal time
536,unbeatable company culture,limited room
537,an amazing mission,upward advancement
538,technology,real
539,networks,little autonomy
540,job opportunities,small rest
541,strong,troubles
542,upbeat,luck
543,friendly environment,good management
544,co,the bad luck
545,employee engagement,good luck
546,anywhere else,the external environment
547,hp inc,bad executive managers
548,the right thing,the business
549,new programs,bad decisions
550,the employees,very bad things
551,value,pride
552,immediate work group,itself
553,sense,the leaders
554,variety,previous hits
555,activities,the audio oscillator
556,regular basis,calc
557,the status quo,hp3000
558,some risks,the recent breakup
559,the possibilities,hpe
560,formal,dxc
561,coaching,the toilet
562,stretch assignments,recent years
563,every level,asia
564,advancement,convoluted messages
565,current job role,not
566,responsibilities,upward mobility
567,policy,leadership positions
568,good vibe,outside
569,history,no snacks
570,competitive commission structure,no cups
571,the job,water
572,perk,free coffee
573,great managers,bad cafeteria
574,this environment,motivation
575,trust,houston
576,the employee collaboration,parties
577,ideas,other site
578,potential growth opportunities,palo alto
579,some business units,salary hikes
580,great environment,bonus mostly
581,professional development,minimum internal
582,flexible work environment,every cycle
583,open door policy,no replacement
584,authentic self,health issues
585,the stretch,doctors
586,increasing skills,toxic workplace
587,knowledge,all decisions
588,company matching,date engineers
589,charitable contributions,new
590,volunteer,updated technology
591,month,great opportunities
592,time,career growth
593,the list,the bright folks
594,flexible work arrangements,new products
595,growth opportunity,the regular employees
596,company involvement,the middle management
597,recognition,the wrong things
598,engagement,firm
599,great job,one
600,new printing technologies,all levels
601,integrity good,the management structure
602,flexible hours,support staff
603,average tech salary,individual
604,leading company,contributors
605,an interesting industry,any level
606,an adult,appreciation
607,nobody,the dribble
608,personal needs,fluffy good feeling hogwash
609,business ones,the lack
610,an old timer,substance
611,the compaq days,competition
612,the current work environment,value
613,years,stakeholders
614,some days,many great opportunities
615,parents,enough time
616,any micromanagement,strong bias
617,the employee,collaboration
618,self,gum
619,initiative,some senior managers
620,the place,tactical details
621,the opportunity,alignment
622,ww team,strategic vision
623,door policy,all companies
624,strong diversity,downsides
625,the embracing,an environment
626,the growth mindset,those downsides
627,the company culture,the moment
628,developing,agility
629,strong culture,processes
630,schedules,tendency
631,solid footing,urgent
632,greater focus,vs
633,employee satisfaction,someone
634,late,only con
635,changes,competency
636,new spring,more work
637,tx campus,hp champions
638,career development discussions,this balance
639,bad attitudes,high expectations
640,others,output
641,the,each
642,such wide known brand,every employee
643,sales rep,hours
644,team environment,complexity
645,the work life balance,tools
646,overall wellbeing,not nimble
647,human resources,empowerment
648,mentors,local area
649,coach,mostly west
650,the variety,locations
651,internal,more east coast presence
652,teams,applications
653,401k matching,an interview
654,good healthcare,networking
655,flexible working schedule,presence
656,manager,no growth opportunities
657,open environment,high volume
658,interesting problems,an integrated way
659,competitive salary,hour
660,pressure,work week
661,an incredible company,commission structure
662,yourself,reporting
663,really value,commission paychecks
664,growth,any time
665,the sky,any reason
666,the limit,only care
667,the ability,numbers
668,advance,bottom line
669,about everywhere,work force reductions
670,anything,no rhyme
671,global society,personal level
672,honest approach,most
673,business,year employees
674,better place,the drop
675,atmosphere,the hat
676,good,favor
677,home culture,grad
678,good research resources,ship
679,library access,perception
680,compute,many tools
681,software access,new site location
682,interesting work,bit
683,good salary,this location
684,solid work life balance,idea
685,most people,this city
686,the bottom line,easy
687,global business opportunities,access
688,diverse colleagues,the airport
689,stable,price
690,10,many organizations
691,year career,reviews
692,new domains,the structure
693,functions,the organization
694,geos,advance notification
695,the management team,headcount reductions
696,the company strategy,many cons
697,great focus,constraints
698,new corporate culture,supply chain
699,only lip service,order management
700,the business,several years
701,the company values,the same job
702,many years,the possibility
703,objectives,recycling
704,these issues,others
705,addition,these people
706,really fun place,new challenges
707,the split couple,late
708,years ago,this the worst workplace
709,strong desire,variety
710,fairness,antisocial behaviors
711,encouraging teamwork,ongoing harassment
712,newer employess,the point
713,great learning opportunity,serious concerns
714,these veterans,the ethics
715,another company,anyone work
716,some assurance,any way
717,upper management,an intern
718,solid financial stability,the site
719,families,young
720,gender equality,this environment
721,intelligent people,dingy
722,turnaround culture,the idea
723,excellent products,temporary workforce
724,much opportunity,constant restructuring
725,international experience,employment
726,multitude,particularly
727,internal businesses,depressing race
728,positive culture,the bottom
729,solid benefits,no macro level
730,tech industry,cons
731,good family,any company
732,work life,an individual job
733,vision,role
734,product,drawbacks
735,name brand,some
736,good morale,extensive travel
737,vacation,an international company
738,average 401k match,calls
739,dec 31st,emergencies
740,match,product quality
741,last 20 years,long days
742,hp way,the situation
743,people centric,some turd managers
744,push,no overall
745,comfort zone,mind
746,over years,an old coot
747,awesome managers,the new campus
748,an quick process,the open concept design facilities collaboration
749,endless celebrations,those
750,achievements,us employees
751,technologies,year
752,large company,service payout
753,many job opportunities,day
754,good environment,labor laws
755,developer,labor unions
756,adjustable work schedules,all other locations
757,the ranks,the interview process
758,health care,long time
759,major employer,the amount
760,the traditional hp,resources
761,great experience,competitive environment
762,25,the ladder
763,good work life,every company
764,good community,any cons
765,good vacation policy,some people
766,ww position,game
767,ceo,the system
768,good top management team,some communication difficulties
769,free,email communication
770,coffee,process improvements
771,machine,cost
772,schedule,major driver
773,fleet vehicle,vacation days
774,excellent management,proper training budget
775,cool equipment,other top tech companies
776,the cons,employee benefits
777,creative people,discounts
778,multinational experience,any large corporation
779,great company culture,hiccups
780,good corporate citizen,transitions
781,big corporation,the ship
782,every quarter,different direction
783,smartphones,not bad thing
784,stable company,slower pace
785,volunteer programs,engagement
786,classes,such big company
787,employee events,not much room
788,flexible work environments,fast growth
789,paychecks,ppt slides
790,the company process,not really site culture
791,other countries,folks
792,brazil,global offices
793,particular,difference
794,changinf,minor issue
795,no pros,ha
796,many,good run
797,new focus,frustrating systems
798,better direction,slow pace
799,innovative,mixed quality
800,boring,many employees
801,the best companies,eons
802,product development,less employee
803,friendly env,mobility limits
804,nice colleagues,advancement opportunities
805,old heritage,strong focus
806,company culture,better tools
807,feasibility,more nimble processes
808,flexible hours integrity,progress
809,volunteering,the changes
810,service,this areas
811,good company name,slow career progression
812,an exciting future,the workforce
813,pcs,interchangeable cost units
814,genius engineers,country
815,good coworkers,moments
816,pc designs,how talented
817,the history,the depersonalization
818,the future,tcow
819,manufacturing,permanent
820,significant player,rcow
821,exciting projects,resource cost
822,energetic environment,the word
823,load,the people
824,not much other,the reviews
825,then pto,the review
826,any pros,quite bit
827,support team,pr
828,nationwide opportunities,the occasional quarterly class
829,average benefits,management processes
830,the name,tuition reimbursement
831,flexible work hour,serious commitment
832,most departments,program
833,big impact,the stock holders
834,senior leaders,the work force
835,quality execs,inefficiency
836,the size,too much focus
837,the businesses,too little focus
838,home option,go
839,most employees,market models
840,competitive benefits,office politics
841,prioritization,such an established company
842,mentorship,location
843,med benefits,oil companies
844,great teamwork,the area pay
845,an incredible amount,most positions
846,healthy work environment,life
847,salaried folks,some cons
848,significant degree,an upgrade
849,growing,teamwork
850,great co workers,serious alienation
851,good management,contractors
852,friendly work environment,low visibility
853,great peers,average pay
854,pc maker,the need
855,broad range,market levels
856,3d research,life balance
857,hardware,not always
858,software,hook
859,materials,deadlines
860,embedded solutions,the best practices
861,security,no promotions
862,connectivity,low salary
863,robotics,other business
864,medical applications,newer execs
865,brand,low margin business
866,power,unnecessary cost pressure
867,very good place,programs
868,great opportunities,lumpy pay
869,autonomy,account managers
870,the overall attitude,good chuck
871,remote work options,celebrations
872,employee interaction events,food
873,boise,the table
874,idaho,sub par
875,new employees,no real path
876,great work life balance,just horizontal movement
877,good average work,you advance
878,lifr balance,many years
879,very traditional proud company,decision
880,great managament,employee salary
881,large campus,local average
882,house cafeteria,the coffee
883,multiple locations,work hours
884,new clients,wlb
885,good vacation,the group
886,great systems,too many layoffs
887,car sometime,networking opportunities
888,work environment,too many meetings
889,many options,results
890,career experiences,the intern program
891,different roles,many similar tech companies
892,major corporation,profit sharing
893,high level,many companies
894,great values,many layoffs
895,weeks,the many layoffs
896,days,stress
897,the split,being
898,the rebuilding,other companies
899,good medical benefits,employee loyalty
900,great collaboration,very pc
901,multiple functions,typical big employer
902,great platform,white males
903,higher success,no chance
904,it company,the minority status employees
905,great learning experience,past hp sins
906,excellent work,horrible manager
907,great vision,sr
908,knowledgeable management,situation
909,amazing place,no action
910,some wonderful people,expensive insurance plans
911,big place,garage office atmosphere
912,project work,printer parts
913,pm,everywhere
914,solid work experience,old dirty carpets
915,amazing work life,layers
916,friendly atmosphere,dust
917,to,hardly
918,flexible timing,any natural light
919,mission,hiring process
920,organization,number
921,the cool products,not an individual
922,2015,single team member
923,strong executive leadership,the interview
924,strong ethics,highly
925,growth mindset culture,hierarchical management structure
926,inclusive,the light
927,for,workaholics
928,work hours,few pearls
929,company values,wisdom
930,great manager,dark waters
931,substantial work assignments,age
932,the best products,clans
933,the industry,old timers
934,great colleagues,team work
935,family,good ideas
936,salary,complexities
937,location,habitual tendencies
938,sales people,healthy
939,that hunger,high energy environment
940,numbers,someplace
941,best,low income ceiling
942,policies,stagnant personal career
943,overall,growth model
944,adobe marketing cloud,consistency
945,google analytics,work overload
946,adwords,no future
947,seo,college grad hire
948,pay flexible hours,the area
949,low pressure,not the best job stability
950,good opportunity,mainly contractors
951,individual responsibility,employees too
952,decision making opportunity,budget issues
953,great benefit,blockbuster year
954,good autonomy,reasons
955,great working environment,work environment
956,free food,throat
957,possible opportunities,political
958,corporate setting,many bosses
959,some telework flexibility,person
960,team good people,not employees
961,any questions,the price
962,someone,constant organizational
963,competition,days
964,the best experience,desk
965,mobility,the new employee training
966,another direction,online
967,quality employees,no help
968,market share,direct deposit
969,good public relations,payroll withholding
970,seasoned staff,the benefits sites
971,the experience,very impersonal
972,very open culture,another number
973,global,pay increases
974,geographies,excellent reviews
975,everyday,the top field engineer
976,pleasure,hp places
977,global opportunities,stock performance
978,all levels,lip service
979,amazing employee talent,career advancement
980,leadership commitment,illogical upper management
981,strong community involvement,liability
982,the global environment,asset
983,self starter,pc line
984,extra hours,models
985,better work culture,same product
986,the freedom,market size
987,no one judges,positions
988,better environment,targets
989,regular schedule,an increasing inclination
990,great leadership,3rd party houses
991,new things,many jobs
992,continual focus,no stability
993,this organization,the 10 years
994,patience,multiple
995,an environment,mass layoffs
996,high engagement,alternate
997,top notch,contracted labor
998,heavy focus,between
999,anyone,contract
1000,the time,forced
1001,90,christmas
1002,printing,strict
1003,staff,new campus
1004,company growth,spring tx
1005,personal,the new building
1006,the same company,desks
1007,different business sections,house
1008,geographical locations,two weeks
1009,comfortable culture,the building
1010,reasonable equipment,large group
1011,some perks,the budget
1012,online learning,the reason
1013,courses,need
1014,some attempt,the talent pool
1015,managing,60 days
1016,some interesting projects,forced holiday shutdown
1017,potential,forced shutdown
1018,world travel,permanent employees
1019,fantastic turnaround story,no timeline restrictions
1020,the making great company culture,caution
1021,the last,some choices
1022,exec leadership,technology
1023,sr,not everyone
1024,prospects,stuff rolls
1025,the long run,the hill
1026,learning,no consistency
1027,excellent team mates,scope
1028,great growth opportunities,no development
1029,amazing,15 years
1030,support,promotion
1031,personal development,experienced employee
1032,excellent,the teams
1033,encouragement,the minimum
1034,new ideas,the same
1035,understanding,performance
1036,personal life,no relevance
1037,self motivation,horrible pay
1038,an individual contributor,every division
1039,the rich experience,change product development
1040,development teams,needs
1041,family friendly company,diversity
1042,the content,african american workers
1043,everybody,not much career
1044,attrition,senior management levels
1045,challenging projects,hp printers
1046,wide range,hp cartridges
1047,good managers,customers
1048,revenues,no strategy
1049,global interactions,bureocratic company
1050,new parent leave,difficult times
1051,with,the working environment
1052,no questions,no
1053,no need,few teams
1054,kids,wish
1055,events,some execs
1056,no worries,movement
1057,sick child,senior level managers
1058,school,leadership roles
1059,an atmosphere,review cycles
1060,no one,series
1061,soccer,endless reviews
1062,different job functions,policy
1063,easy networking,here
1064,more job opportunities,manager expectations
1065,innovative products,no flexibility
1066,3d printers,shifts
1067,the teams,young female workers
1068,good bonuses,internal systems
1069,best people,anyone
1070,very flexible,production
1071,no internal competition,software creativity
1072,other companies,increasingly political
1073,equality efforts,google
1074,sure employees,facebook
1075,ethical issues,twitter
1076,an ethical way,other silicon valley companies
1077,all times,the road
1078,confidence,conformity
1079,the management chain,liberal politics
1080,rich company history,the short term
1081,hewlett packard co,dissenting employees
1082,this history,the long term
1083,the past culture,conflicts
1084,the individual level,orthodoxy
1085,the degree,clue
1086,executive leadership,professional development opportunities
1087,information,no good benefits
1088,successful outcomes,corporate politics
1089,result,shrinking budgets
1090,risk,constant change
1091,amazing wealth,sales people
1092,motivated people,issues
1093,breadth,no confidence
1094,the health,executive team
1095,time flies,comp team
1096,employee well,competitive mediocre management team
1097,priority,personnel
1098,different departments,low production resources
1099,the 80s,no pay
1100,very little,the last years
1101,pride,low salary increase
1102,profits,not many opportunities
1103,stakeholder,another state
1104,friendly people,bureaucratic
1105,help,energy
1106,dave,internal stuff
1107,an influx,large
1108,young employees,tight project deadlines challenges
1109,good energy,overseas manufacturers
1110,so many great people,employees problems
1111,reason,cliquish
1112,many teams,overly bureaucratic
1113,occasional travel opportunities,poor
1114,other sites,toxic workplace environment
1115,clear strategies,companies
1116,the collaborative environment,the same experience level
1117,vp,the bay
1118,the common mobile desks,communication
1119,the vancouver site,too much politics
1120,personal growth,corporate america
1121,front row seat,some extent
1122,some amazing technology,some times
1123,great bunch,operational activities
1124,almost,women
1125,no politics,victim
1126,personal agendas,corporate buyout
1127,office environment,supervisor
1128,startup,balance
1129,this luxury,salary way
1130,great training,market average
1131,healthy sense,old methodologies
1132,urgency,small office
1133,no complacency,sometimes slow communication
1134,sound corporate environment,older
1135,top tech company,forty
1136,the hp way,inc
1137,all kinds,the negatives
1138,the interview process,large companies
1139,the bad,aggressive offshoring
1140,hr,research
1141,safe space,mature businesses
1142,roles,cya culture
1143,all the great things,double talk
1144,the next few years,enormous egos
1145,the success,supervisor role
1146,successful company,layout
1147,some additional pros,cubicles
1148,personal development courses,the bay area san farncisco
1149,mentors programs,much tops
1150,not group,some teams
1151,individuals,low funding
1152,the best part,directors
1153,the chance,budget cuts
1154,an hp family,hiring people
1155,space,overloaded work
1156,killer products,no support
1157,itself,more data
1158,great future,less people
1159,strong sense,data systems
1160,hpi,unrealistic expectations
1161,an awesome job,recognition
1162,awesome people,intent
1163,very supporting culture,money
1164,the best work,too much separation
1165,collective experience,duties
1166,amazing products,some managers micro
1167,many career opportunities,management jobs
1168,23 years,koreans
1169,hp vancouver,samsung
1170,mechatronix playground,meetings
1171,extremely talented,heavy work load
1172,collaborative people,new changes
1173,amazing inkjet printing platforms,no salary
1174,the cornerstone,long work
1175,current upper management,the split hpi
1176,much the value,growth track
1177,the improvements,actual hp employees
1178,areas diversity,no bonuses
1179,equal pay,latoffs
1180,impact top,support
1181,most discussions,no money
1182,other organizations,cash
1183,very collaborative environment,the original hp way values
1184,great worklife balance,not growing company
1185,many businesses,opportunities
1186,culture decision making,negative environment
1187,the results,superior pay
1188,butts,funding
1189,seats,legacy applications
1190,general flexibility,the commodity type
1191,no hours tracking,project schedules
1192,growth mode,headcount
1193,flexible workplace great people,pay not
1194,great legacy,ground
1195,the birthplace,waste resource
1196,excellent leadership team,outlook
1197,diverse work culture,not one thing
1198,great support,not many options
1199,the entire management chain,an entrepreneurial environment
1200,new parents,no investment
1201,good compensation,professional development
1202,bottom,not much
1203,the challenge,management structure
1204,great support network,solid performance reviews
1205,veterans,20
1206,active duty,outside company
1207,overall environment,former
1208,solutions,company culture
1209,incredible coworkers,spoiled business
1210,strong commitment,segments
1211,awards,organizations
1212,marketing,all the great ideas
1213,other areas,little room
1214,very engaging,term focus
1215,great leader,concern
1216,the betterment,much cash
1217,mankind,shareholders
1218,one big family,average salary
1219,single,the right direction
1220,outside,poor reporting
1221,companies,analysis paralysis
1222,strategy,strategic direction
1223,nothing,evening conference
1224,unused,multiple times
1225,such great progress,no proper growth
1226,top talent,contributions
1227,nimble,no promotion
1228,agile,all temp agency
1229,professional,some jobs
1230,fun activities,operations
1231,bond,the dynamic
1232,mentoring,revenue
1233,development diversity inclusion growth,con
1234,inc,self check
1235,primary driver,ppc campaigns
1236,management respects people,ppc experts
1237,excellent work life balance,advice
1238,many people,an main campaigns
1239,40 years,many projects
1240,truly excellent colleagues,orders
1241,difference,internal political struggles
1242,exciting work,halt
1243,never,the technical career
1244,dull moment,the bar
1245,life balance flexibility,general
1246,senior leadership,technical expertise
1247,positive work,that group
1248,the coworkers,transfers
1249,an entrepreneurial spirit,onsite opportunities
1250,different vibe,client interactions
1251,more hip,none none none none
1252,more fun,growth opportunity
1253,venture,san diego site
1254,the unknown,most teams
1255,global projects,singapore
